Time (min),JNK1_data,JNK1_data_StdDev,MK2_data,MK2_data_StdDev,IKK_data,IKK_data_StdDev,Casp3_data,Casp3_data_StdDev,Casp8_data,Casp8_data_StdDev,MEK_data,MEK_data_StdDev,ERK_data,ERK_data_StdDev,P-EGFR_data,FKHR_data,FKHR_data_StdDev,Akt_data,Akt_data_StdDev,IRS1S_data,IRS1S_data_StdDev,IRS1Y_data,IRS1Y_data_StdDev,Number_of_levels
0,0.2433,0.1614460256,0.1686,0.0321515124,3.6238,0.7773,7.5781963557,0.2178141929,0.015197626,0.0405467341,1,0.3350903993,0.7773220212,0.4584997347,3.9444237994,0.5856749386,0.3313338421,2.8867026615,0.9191320229,0.8408258682,0.1593345987,0.4637348665,0.0760865821,15
5,2.2157,0.3270407511,3.7691,0.5261923256,3.7669,0.56,6.8627488129,1.1043557307,0,0,1.4857649455,0.4161399508,1.8555909796,0.5922492654,4.2525083275,0.4089604424,0.1588436885,2.9458143741,0.4249120372,1.4816845237,0.2195237314,0.7767867906,0.1841759328,
15,13.437,0.96472965,8.1383,1.4287245889,4.4202,0.1881,5.6564020199,1.4383524937,0,0,4.1718316775,0.5334156154,7.7642249694,0.471958814,4.2215813931,6.9141755943,1.016584803,3.8572564726,0.139635736,9.5075284266,0.4431159514,0.8815642692,0.1197620999,
30,5.3508,0.6913916915,4.8658,0.9241052779,5.707,2.0217,5.0988164584,1.9700270428,0.0364807013,0.0631864281,2.2096850431,0.5398745899,4.4037925636,0.3700448454,4.2221992643,6.3146122787,1.4410153655,2.1452924858,0.3265923519,7.6656803544,1.1735234941,0.7340412265,0.2619443347,
60,0.3942,0.1108760438,1.9647,0.5318248261,3.5914,0.9345,7.2855079506,0.5590437073,0.092331941,0.1599236129,1.6505025619,0.3749241916,1.9685570803,0.2995287173,3.7761613095,0.8124054413,0.4044668878,1.7785557602,0.1298641223,3.3964928193,0.3656244629,0.5173569129,0.0944918135,
90,0.7254,0.1656739278,2.3312,0.0763039717,3.3671,1.4447,7.2277669612,2.4039879845,0.1061134776,0.1837939345,1.6670377559,0.7735728856,1.8529285764,0.2990789916,3.6670167938,0.129972964,0.1913603061,2.5622058577,0.4864586691,1.7627365902,0.6119655591,0.4322218759,0.3600784299,
120,0.6306,0.137605397,1.4959,0.2310806702,3.4909,1.2807,3.2587940718,0.3499876771,0.6986793614,0.3342665238,2.6541024211,0.316946336,1.2997776762,0.2917082588,3.9276474192,7.1841136525,1.0885478691,2.5523948876,0.5068320967,1.7152079385,0.248784114,0.6434400421,0.1277462315,
240,1.1144,0.306287247,0.7605,0.074996108,3.7382,2.0476,5.5533853408,0.7209993293,1.6677817768,0.2212603643,2.6174696777,0.3027700841,1.4068851192,0.4642589042,3.7830201991,4.1758566985,2.0010681713,2.241487675,0.2022408096,1.1225620272,0.1704376809,1.2470553263,0.3145348888,
480,1.032,0.081249384,0.7886,0.1391682974,5.1814,0.1813,7.9667783601,0.8214446596,9.8675153217,2.2939301769,2.4858399546,0.5242884559,1.8859624974,0.0329018361,4.3742149754,5.262636609,1.0866434875,3.1331354406,0.7754017047,1.3150191504,0.0464512083,1.1692897357,0.1269221452,
720,0.5212,0.0115668916,0.3008,0.0639069393,5.3547,1.5729,10.5010590227,0.4873892791,12.3531176145,0.9609404719,1.9385929258,0.1214939289,2.0901948324,0.4478111791,4.7848378896,0,0,3.0335755689,0.5926307577,0.9088503751,0.1393676559,0.8859014386,0.0922792104,
960,0.2963,0.0727285997,0.1816,0.0432668971,5.8783,1.0076,11.4597758109,0.3298344371,12.6073935275,1.0095420672,1.8250808764,0.3351230602,1.8036960759,0.1618403608,4.8958806616,0,0,2.9159920444,0.319648781,0.7532977303,0.0493243044,0.8070655365,0.0480804842,
1200,0.2523,0.1068477024,0.2101,0.0731345223,6.7175,1.4751,12.3620965464,0.5045915637,13.5284982961,1.2807863778,1.7197862369,0.0153804767,1.6443081509,0.327501921,5.2795596101,0,0,2.9252018258,0.4458040683,0.648629535,0.0962879278,0.7639299056,0.0679232953,
1440,0.1184,0.0590690516,0.106,0.0135536654,10.6111,3.8027,12.7332763592,0.3239612804,13.7996371636,0.7377016694,1.5870828331,0.0780930218,2.0398568764,0.7129279896,6.5611371432,0,0,3.9554939177,1.0976610409,0.3991490011,0.0350556246,0.3546832927,0.2866362724,
