Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
0,100,69,100,100,11,5,35,55,34,7,25,20,0,18,17,20,
1.392, , , ,99, , , , , , , , , , , , ,
2.32, , , ,100, , , , , , , , , , , , ,
3.208, , , ,99, , , , , , , , , , , , ,
4.048, , , , , , , , ,35, , , , , , , ,
4.176, , , ,100, , , , , , , , , , , , ,
4.48, , , , , , , ,56, , , , , , , , ,
4.64, , , , , , , , , , ,26, , , , , ,
5.568, , , ,99, , , , , , , , , , , ,21,
6.072, , , ,100, , , , , , , , , , , , ,
7.32, , , ,99, , ,36, ,36, , , , ,19, , ,
8.352, , , ,100, , , ,57, , , , , , , , ,
8.568, , , , , , , , , , , , , , ,18, ,
9.28, , , ,99, , , , , , ,27, , , , , ,
10.12, , , ,100, , , , , , , , , , , , ,
10.92, , , , ,12, , , , , , , , , , ,22,
11.136, , , , , , , , ,37, , , , , , , ,
11.304, , , ,99, , , , , , , , , , , , ,
12.374, , , ,100, , , ,58, , , , , , , , ,
13.328, , , ,99, , , , , , , , , , , , ,
13.92, , , , , , , , , , ,28, , , , , ,
14.168, , , ,100, , , , , , , , , ,20, , ,
14.54, , , , , , ,37, ,38, , , , , , , ,
15.352, , , ,99, ,6, , , , , , , , , , ,
15.92, , , , , , , ,59, , , , , , , , ,
16.192, , , ,100, , , , , , , , , , ,19,23,
17.582, , , ,99, , , , , , , , , , , , ,
18.46, , , ,100, , , , ,39, ,29, , , , , ,
19.76, , , ,99, , , ,60, ,8, , , , , , ,
20.24, , , ,100, , , , , , , , , , , , ,
20.88, , , , , , , , , , , , , ,21, , ,
21.424, , , ,99, , , , , , , , , , , ,24,
21.86, , , , ,13, ,38, ,40, , , , , , , ,
22.386, , , ,100, , , , , , , , , , , , ,
23.12, , , , , , , ,61, , ,30, , , , , ,
23.448, , , , , , , , , , , , , , ,20, ,
23.664, , , ,99, , , , , , , , , , , , ,
24.288, , , ,100, , , , , , , , , , , , ,
25.472, , , ,99, , , , ,41, , , , , , , ,
26.58, , , ,100, , , ,62, , , , , , , , ,
26.81, , , , , , , , , , , , , , , ,25,
27.84, , , ,99, , , , , , ,31, , ,22, , ,
28.336, , , ,100, , , , , , , , , , , , ,
29.232, , , , , , , , ,42, , ,21, , , , ,
29.72, , , ,99, , , , , , , , , , , , ,
30.04, , , , , , , ,63, , , , , , , , ,
30.36, , , , , , , , , , , , , , ,21, ,
30.624, , , ,100, ,7, , , , , , , , , , ,
31.544, , , ,99, , , , , , , , , , , , ,
32.384, , , , , , , , , , , , , , , ,26,
32.66, , , ,100, , , , , , , , , , , , ,
32.96, , , , , , , ,64,43, ,32, , , , , ,
33.598, , , ,99, , , , , , , , , , , , ,
34.64, , , ,100, , , , , , , , , , , , ,
34.8, , , , ,14, , , , , , , , , , , ,
34.88, , , , , , , , , , , , , ,23, , ,
35.592, , , ,99, , , , , , , , , , , , ,
36.432, , , , , , , ,65, , , , , , , , ,
36.72, , , ,100, , , , ,44, , , , , ,22, ,
37.82, , , ,99, , , , , , , , , , , , ,
38.04, , , , , , , , , ,9,33, , , , ,27,
38.654, , , ,100, , , , , , , , , , , , ,
39.64, , , , , , , ,66, , , , , , , , ,
39.866, , , ,99, , , , , , , , , , , , ,
40.48, , , ,100, , , , ,45, , , , , , , ,
41.78, , , ,99, , , , , , , , , ,24, , ,
42.504, , , ,100, , , ,67, , , , , , , , ,
