Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri
0,100,100,100,98.9795918367,60,33.3333333333,81.5789473684,14.0625,42,23.0769230769,52.6315789474,13.0434782609,0,44.4444444444,19.1489361702,48.7179487179
0.84,,,,100,,,,,,,,,,,,
2.024,,,,98.9795918367,,,,,,,,,,,,
2.864,,,,100,,,,,,,,,,,,
4.06,,,,98.9795918367,,,,,44,,,,,,,
5.22,,,,100,,,,,,,55.2631578947,,,,,
5.28,,,,,,,,,,,,,,,,51.2820512821
5.6,,,,,,,,15.625,,,,,,,,
6.072,,,,98.9795918367,,,,,,,,,,,,
7.14,,,,100,,,,,,,,,,,,
7.42,,,,,,,84.2105263158,,,,,,,48.1481481481,,
8.096,,,,,,,,,46,,,,,,,
8.4,,,,98.9795918367,,,,,,,,,,,,
9.24,,,,100,,,,,,,,,,,,
9.56,,,,,,,,,,,57.8947368421,,,,21.2765957447,
10.34,,,,98.9795918367,,,,17.1875,,,,,,,,53.8461538462
11.2,,,,100,66.6666666667,,,,,,,,,,,
12.144,,,,98.9795918367,,,,,48,,,,,,,
12.984,,,,100,,,,,,,,,,,,
14.32,,,,98.9795918367,,,,,,,,,,,,
14.62,,,,,,,86.8421052632,,,,60.5263157895,,,51.8518518519,,
15.2,,,,100,,,,18.75,,,,,,,,56.4102564103
15.66,,,,,,,,,50,,,,,,,
16.192,,,,98.9795918367,,,,,,,,,,,,
17.032,,,,100,,,,,,,,,,,,
17.52,,,,,,,,,,,,,,,23.4042553191,
18.216,,,,98.9795918367,,41.6666666667,,,,,,,,,,
19.28,,,,100,,,,,,,,,,,,
19.62,,,,,,,,20.3125,52,,63.1578947368,,,,,
20.38,,,,98.9795918367,,,,,,,,,,,,58.9743589744
21.08,,,,100,,,,,,,,,,,,
21.52,,,,,,,89.4736842105,,,,,,,,,
22.04,,,,,,,,,,,,,,55.5555555556,,
22.4,,,,98.9795918367,73.3333333333,,,,,,,,,,,
23.44,,,,100,,,,,54,,,,,,,
24.08,,,,,,,,21.875,,,,,,,,
24.288,,,,98.9795918367,,,,,,30.7692307692,65.7894736842,,,,,
25.42,,,,100,,,,,,,,,,,25.5319148936,61.5384615385
26.312,,,,98.9795918367,,,,,,,,,,,,
27.28,,,,100,,,,,56,,,,,,,
28,,,,,,,,23.4375,,,,,,,,
28.336,,,,98.9795918367,,,,,,,,,,,,
28.96,,,,,,,92.1052631579,,,,68.4210526316,,,,,
29.176,,,,100,,,,,,,,,,59.2592592593,,
30.36,,,,98.9795918367,,,,,,,,,,,,64.1025641026
31.2,,,,100,,,,,58,,,,,,,
31.92,,,,,,,,25,,,,,,,,
32.62,,,,98.9795918367,,,,,,,,,,,27.6595744681,
33.34,,,,100,,,,,,,,,,,,
33.6,,,,,80,50,,,,,,,,,,
33.82,,,,,,,,,,,71.0526315789,,,,,
34.408,,,,98.9795918367,,,,,,,,,,,,
34.88,,,,,,,,,60,,,,,,,
35.48,,,,100,,,,,,,,,,,,
35.74,,,,,,,,,,,,,,,,66.6666666667
36.1,,,,,,,94.7368421053,26.5625,,,,,,,,
36.432,,,,98.9795918367,,,,,,,,,,62.962962963,,
37.272,,,,100,,,,,,,,,,,,
38.72,,,,98.9795918367,,,,,62,,73.6842105263,,,,,
39.54,,,,100,,,,28.125,,,,,,,29.7872340426,
40.5,,,,98.9795918367,,,,,,,,,,,,69.2307692308
41.32,,,,100,,,,,,,,,,,,
42.504,,,,98.9795918367,,,,,64,,,,,,,
43.344,,,,,,,,29.6875,,,,,,,,
43.46,,,,100,,,97.3684210526,,,,,,,66.6666666667,,
43.76,,,,,,,,,,38.4615384615,76.3157894737,17.3913043478,,,,
44.86,,,,98.9795918367,86.6666666667,,,,,,,,,,,
45.38,,,,100,,,,,,,,,,,,71.7948717949
46.06,,,,,,,,,66,,,,,,31.914893617,
46.552,,,,98.9795918367,,,,31.25,,,,,,,,
47.6,,,,100,,,,,,,,,,,,
48.576,,,,98.9795918367,,58.3333333333,,,,,78.9473684211,,,,,
49.416,,,,100,,,,,,,,,,,,
49.88,,,,,,,,32.8125,68,,,,,,,
50.6,,,,98.9795918367,,,,,,,,,,70.3703703704,,74.358974359
51.44,,,,100,,,,,,,,,,,,
52.06,,,,,,,,,,,,,,,34.0425531915,
52.624,,,,98.9795918367,,,,,,,,,,,,
53.58,,,,,,,,34.375,,,,,,,,
53.72,,,,100,,,,,70,,81.5789473684,,,,,
54.648,,,,98.9795918367,,,,,,,,,,,,
55.72,,,,100,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,76.9230769231
56.672,,,,98.9795918367,,,,35.9375,,,,,,,,
57.56,,,,100,,,,,72,,,,,,,
58.02,,,,,,,,,,,,,,74.0740740741,36.170212766,
58.696,,,,,93.3333333333,,,,,,,,,,,
59,,,,98.9795918367,,,,,,,84.2105263158,,,,,
59.84,,,,100,,,,37.5,,,,,,,,
61.04,,,,98.9795918367,,,,,,,,,,,,79.4871794872
61.76,,,,100,,,,,74,46.1538461538,,,,,,
63.06,,,,98.9795918367,,66.6666666667,,39.0625,,,,,,,,
63.8,,,,100,,,,,,,,,,,38.2978723404,
64.62,,,,,,,100,,,,,,,,,
64.768,,,,98.9795918367,,,,,,,86.8421052632,,,,,
65.608,,,,100,,,,,76,,,,,77.7777777778,,
66.4,,,,,,,,40.625,,,,,,,,
66.56,,,,,,,,,,,,,,,,82.0512820513
66.792,,,,98.9795918367,,,,,,,,21.7391304348,,,,
67.632,,,,100,,,,,,,,,,,,
69.12,,,,98.9795918367,,,,,,,,,,,,
69.4,,,,,,,,42.1875,78,,,,,,,
69.656,,,,,,,,,,,,,,,40.4255319149,
70,,,,100,,,,,,,,,,,,
70.38,,,,,,,,,,,89.4736842105,,,,,
70.84,,,,98.9795918367,,,,,,,,,,,,
71.86,,,,100,,,,,,,,,,,,
72.12,,,,,,,,43.75,,,,,,,,84.6153846154
73.16,,,,98.9795918367,,,,,,,,,,81.4814814815,,
73.4,,,,,,,,,80,,,,,,,
73.704,,,,100,100,,,,,,,,,,,
75.04,94.4444444444,,,98.9795918367,,,,45.3125,,,,,,,42.5531914894,
75.728,,,,100,,,,,,,,,,,,
76.28,,,,,,,,,,,92.1052631579,,,,,
77.1,,,,98.9795918367,,,,,,,,,,,,
77.46,,,,,,,,,82,,,,,,,
77.752,,,,,,75,,,,,,,,,,87.1794871795
77.9,,,,100,,,,46.875,,,,,,,,
78.4,,,,,,,,,,53.8461538462,,,,,,
78.936,,,,98.9795918367,,,,,,,,,,,,
80.12,,,,100,,,,,,,,,,,44.6808510638,
80.96,,,,,,,,48.4375,,,,,,85.1851851852,,
81.24,,,,98.9795918367,,,,,84,,,,,,,
81.8,,,,100,,,,,,,,,,,,
82.984,,,,98.9795918367,,,,,,,94.7368421053,,,,,
83.58,,,,,,,,,,,,,,,,89.7435897436
83.824,,,,,,,,50,,,,,,,,
84,,,,100,,,,,,,,,,,,
85.24,,,,98.9795918367,,,,,,,,,,,,
85.5,,,,,,,,,86,,,,,,46.8085106383,
85.848,,,,100,,,97.3684210526,,,,,26.0869565217,,,,
86.32,,,,,,,,51.5625,,,,,,,,
87.032,,,,98.9795918367,,,,,,,,,,,,
87.872,,,,100,,,,,,,,,,,,
89.16,,,,98.9795918367,,,,53.125,,,,,,88.8888888889,,
89.896,,,,,,,,,88,,,,,,,92.3076923077
90.24,,,,100,,,,,,,97.3684210526,,,,48.9361702128,
91.08,,92.3076923077,,98.9795918367,,,,,,,,,,,,
91.92,,,,,,,,54.6875,,,,,,,,
92.16,,,,100,,,,,,,,,,,,
92.4,,,,,,,94.7368421053,,,,,,,,,
93.104,,,,98.9795918367,,,,,,,,,,,,
93.48,,,,,,83.3333333333,,,,,,,,,,
94.16,,,,100,,,,,,,,,,,,
94.5,,,,,,,,,,61.5384615385,,,,,,
94.64,,,,,,,,56.25,90,,,,,,,
95.28,,,,98.9795918367,,,,,,,,,,,51.0638297872,
95.968,,,,100,,,,,,,,,,,,
97.16,,,,98.9795918367,,,,57.8125,,,,,,,,94.8717948718
98,,,,100,,,,,,,,,,,,
98.84,,,,,,,,,,,,,,92.5925925926,,
99.176,,,,98.9795918367,,,92.1052631579,,,,,,,,,
100.016,,,,,,,,59.375,92,,,,,,,
100.18,,,,100,,,,,,,,,,,53.1914893617,
