Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
0,0,1,0,20,1,2,2,71,22,14,4,32,29,16,55,9,
25.4, , , ,19, , , ,70, , , , , , , , ,
29, , , , , , , , , , , , , , ,54, ,
31.16, , , , , , , , ,21, , , , , , , ,
34.8, , , , , , , , , , , , , , , ,8,
45, , , , , , , , , , ,3, ,28,15, , ,
46.8, , , , , , , ,69, , , , , , , , ,
49.02, , , , , , , , , , , ,31, , , , ,
53.4, , , ,18, , , , , , , , , , , , ,
54.18, , , , , , , , , , , , , , ,53, ,
62.8, , , , , , , , ,20, , , , , , , ,
65.68, , , , , , , ,68, , , , , , , , ,
74.82, , , , , , , , , , , , , , , ,7,
76, , , , , , , , , ,13, , , , ,52, ,
84.6, , , ,17, , , , , , , , , , , , ,
85.88, , , , , , , ,67, , , , , , , , ,
90.4, , , , , , , , , , , ,30, , , , ,
93, , , , , , , , , , , , ,27,14, , ,
96.4, , , , , , , , ,19, , , , , , , ,
99.26, , , , , , , , , , , , , , ,51, ,
100.4, , , , , , , , , , ,2, , , , , ,
103, ,0, , ,0,1,1, , , , , , , , , ,
103.78, , , , , , , ,66, , , , , , , , ,
117.6, , , , , , , , , , , , , , , ,6,
119.6, , , ,16, , , , , , , , , , ,50, ,
123, , , , , , , ,65, , , , , , , , ,
133.6, , , , , , , , ,18, , , , , , , ,
134.2, , , , , , , , , , , ,29, , , , ,
140, , , , , , , ,64, , , , , , , , ,
140.6, , , , , , , , , , , , , , ,49, ,
141, , , , , , ,0, , , , , ,26,13, , ,
145.4, , , , , , , , , ,12,1, , , , , ,
152.8, , , , , , , , , , , , , , , ,5,
158.18, , , , , , , ,63, , , , , , , , ,
159.2, , , ,15, , , , , , , , , , , , ,
159.7, , , , , , , , , , , , , , ,48, ,
162.6, , , , , , , , ,17, , , , , , , ,
167.4, , , , , , , , , , , ,28, , , , ,
174.4, , , , , , , ,62, , , , , , , , ,
179.48, , , , , , , , , , , , , , ,47, ,
183.5, , , , , , , , , , , , ,25,12, , ,
191.68, , , , , , , ,61, , , , , , , , ,
192.8, , , , , , , , ,16, , , , , , , ,
193.22, , , , , , , , , , , , , , , ,4,
197.32, , , , , , , , , , , , , , ,46, ,
200.8, , , , , , , , , , ,0, , , , , ,
202.4, , , , , , , , , , , ,27, , , , ,
