Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,pdp1,PDP1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
0,4,3,100,27,5,4,15,18,29,5,12,8,15,11,17,11,
7.52, , , , , , , , ,30, , , , , , , ,
8.18, , , ,28, , , , , , , , , , , , ,
8.72, , , , , , , ,19, , , , , , , , ,
9.8, , , , , , , , , , ,13, , , , ,12,
10.68, , , , , , , , , , , , , , ,18, ,
13.02, , , , , , , , , , , , ,16,12, , ,
13.68, , , , , , ,16, , , , , , , , , ,
14.46, , , , , , , , ,31, , , , , , , ,
16.56, , , , , , , ,20, , , , , , , , ,
17.16, , , ,29, , , , , , , , , , , , ,
18.6, , , , , , , , , , ,14, , , , ,13,
19.52, , , , ,6, , , , , , , , , , , ,
20.52, , , , , , , , , , , , , , ,19, ,
20.88, , , , , , , , ,32, , , , , , , ,
24.54, , , , , , , ,21, , , , , , , , ,
25.08, , , , , , , , , , , , ,17,13, , ,
26.88, , , ,30, ,5, , ,33,6, , , , , , ,
28.84, , , , , , , , , , , , , , , ,14,
29.64, , , , , , , , , , , , , , ,20, ,
29.94, , , , , , ,17, , , ,15, , , , , ,
32.86, , , , , , , ,22,34, , , , , , , ,
35, , , , , , , , , , , ,9, , , , ,
36.24, , , , , , , , , , , , ,18, , , ,
37.26, , , ,31, , , , , , , , , ,14, , ,
38.68, , , , , , , , ,35, , , , , ,21,15,
40.48, , , , , , , , , , ,16, , , , , ,
41.34, , , , , , , ,23, , , , , , , , ,
44.14,5, , , , , , , ,36, , , , , , , ,
45.12, , , , ,7, , , , , , , , , , , ,
46.34, , , , , , , , , , , , ,19, , , ,
46.92, , , , , , , , , , , , , , ,22, ,
48.86, , , ,32, , , , , , , , , , , ,16,
49.98, , , , , , , ,24,37, , , , ,15, , ,
50.6, , , , , , , , , ,7, , , , , , ,
52, , , , , ,6, , , , ,17, , , , , ,
55.12, , , , , , , , ,38, , , , , ,23, ,
55.5, , , , , , , , , , , , ,20, , , ,
60.06, , , , , , , , , , , ,10, , , , ,
60.42, , , , , , , ,25,39, , , , , , , ,
60.96, , , , , , , , , , , , , , , ,17,
62.14, , , ,33, , , , , , , , , , ,24, ,
64.74, , , , , , , , , , , , ,21,16, , ,
65.78, , , , , , , , ,40, , , , , , , ,
69.14, , , , , , , , , , ,18, , , , , ,
69.66, , , , , , , , , , , , , , ,25, ,
71.12, , , , , , , ,26,41, , , , , , , ,
72, , , , , , , , , ,8, , , , , , ,
74.36, , , , , , , , , , , , ,22, , ,18,
76.02, , , , , , , , ,42, , , , , , , ,
76.7, , , , , , , , , , , , , , ,26, ,
77.38, , , ,34, , , , , , , , , , , , ,
79.48, , , , , , ,16, , , , ,11, , , , ,
81.24, , , , , , , , ,43, , , , , , , ,
82.94, , , , , , , , , , , , , ,17, , ,
83.06, , , , , , , , , , , , ,23, , , ,
84.22, , , , , , , ,27, , , , , , ,27, ,
86.18, , , , , , , , ,44, , , , , , , ,
87.94,6,4, , , ,7, , , , , , , , , , ,
