Time (min),clk_ANIMO,CLK_ANIMO,cry_ANIMO,CRY_ANIMO,cwo_ANIMO,CWO_ANIMO,CYC/CLK_ANIMO,pdp1_ANIMO,PDP1_ANIMO,PER_ANIMO,per_ANIMO,PER/TIM-p_ANIMO,TIM_ANIMO,tim_ANIMO,VRI_ANIMO,vri_ANIMO
0,15.3846153846,11.5384615385,57,85.1851851852,26.6666666667,5.2631578947,31.4285714286,12.5,1.3513513514,0,19.3548387097,0,5.7692307692,10.7142857143,0,13.8888888889
2.86,,,56,,,,,,,,,,,,,
5.72,,,55,,,,,,,,,,,,,
6.72,,,,,,,,,,,22.5806451613,,,,,
6.92,,,,,,,34.2857142857,15,,,,,,,,16.6666666667
8.58,,,54,,,,,,,,,,,,,
11.44,,,53,,,,,,,,,,,14.2857142857,,
12.56,,,,,,,,,,,25.8064516129,,,,,
13.7,,,,,33.3333333333,10.5263157895,,17.5,2.7027027027,,,,,,,
14.3,,,52,,,,37.1428571429,,,,,,,,,19.4444444444
17.16,,,51,,,,,,,,,,,,,
17.94,,,,,,,,,,,,,7.6923076923,,,
19.1,,,,,,,,,,,29.0322580645,,,,,
20.02,,,50,,,,,,,,,,,,,
20.54,,,,,,,,20,,,,,,,,
21.8,,,,81.4814814815,,,,,,,,,,,,22.2222222222
22.88,,,49,,,,40,,,,,,,17.8571428571,,
24.2,19.2307692308,,,,,,,,4.0540540541,,,,,,,
25.12,,,,,,,,,,,32.2580645161,,,,,
25.74,,,48,,,,,,,,,,,,,
26.94,,15.3846153846,,,,,,22.5,,,,,,,,
27.54,,,,,40,15.7894736842,42.8571428571,,,,,,,,,
28.6,,,47,,,,,,,,,,,,1.25,25
31.66,,,46,,,,,,,5.5555555556,35.4838709677,,,,,
32.72,,,,,,,,,,,,,9.6153846154,,,
32.92,,,,,,,45.7142857143,25,5.4054054054,,,,,21.4285714286,,
34.32,,,45,,,,,,,,,,,,,
34.82,,,,,,,,,,,,,,,,27.7777777778
37.18,,,44,,,,,,,,,,,,,
37.7,,,,,,,,,,,38.7096774194,,,,,
38.42,,,,,,,48.5714285714,27.5,,,,,,,,
40.04,,,,,46.6666666667,21.0526315789,,,,,,,,,,
40.12,,,43,,,,,,6.7567567568,,,,,,,
41.52,,,,,,,,,,,,,,,,30.5555555556
41.8,,,,77.7777777778,,,,,,,,,,,2.5,
42.5,,,,,,,,,,,,,11.5384615385,25,,
42.9,,,42,,,,,,,,,,,,,
44.54,,,,,,,51.4285714286,30,,,41.935483871,,,,,
45.76,,,41,,,,,,,,,,,,,
46.74,23.0769230769,,,,,,,,8.1081081081,,,,,,,
47.48,,,,,,,,,,,,,,,,33.3333333333
48.62,,,40,,,,,,,,,,,,,
50.3,,,,,,,,32.5,,,45.1612903226,,,,,
51.76,,,39,,,26.3157894737,54.2857142857,,,,,,13.4615384615,28.5714285714,,
53.1,,19.2307692308,,,,,,,9.4594594595,,,,,,3.75,
54,,,,,,,,,,,,,,,,36.1111111111
54.34,,,38,,53.3333333333,,,,,,,,,,,
55.72,,,,,,,57.1428571429,,,,,,,,,
56.06,,,,,,,,35,,11.1111111111,48.3870967742,1.4084507042,,,,
57.2,,,37,,,,,,,,,,,,,
58.52,,,,,,,,,10.8108108108,,,,,,,
59.9,,,,,,,,,,,,,,,,38.8888888889
60.06,,,,,,,,,,,,,15.3846153846,32.1428571429,,
60.3,,,36,74.0740740741,,,,,,,,,,,,
60.88,,,,,,,60,37.5,,,,,,,,
61.44,,,,,,,,,,,51.6129032258,,,,,
62.22,,,,,,,,,,,,,,,5,
62.94,,,35,,,31.5789473684,,,,,,,,,,
63.82,,,,,,,,,12.1621621622,,,,,,,
65.78,,,34,,,,,,,,,,,,,41.6666666667
66.7,26.9230769231,,,,60,,62.8571428571,40,,,,,,,,
67.22,,,,,,,,,,,54.8387096774,,,,,
67.88,,,,,,,,,,,,,17.3076923077,35.7142857143,,
68.8,,,33,,,,,,13.5135135135,,,,,,,
70.58,,,,,,,,,,,,,,,6.25,
71.78,,,32,,,,,42.5,,,,,,,,44.4444444444
73.48,,,,,,36.8421052632,65.7142857143,,14.8648648649,,58.064516129,,,,,
74.7,,,31,,,,,,,16.6666666667,,,,,,
75.42,,,,,,,,,,,,,19.2307692308,,,
76.02,,,,,,,,,,,,,,39.2857142857,,
77.24,,,,,,,,45,,,,,,,,
77.58,,,30,,,,,,,,,,,,,47.2222222222
77.9,,,,70.3703703704,,,,,,,,,,,7.5,
78.2,,23.0769230769,,,,,68.5714285714,,16.2162162162,,,,,,,
78.96,,,,,,,,,,,61.2903225806,,,,,
79.34,,,,,66.6666666667,,,,,,,,,,,
80.08,,,29,,,,,,,,,,,,,
82.26,,,,,,,,47.5,17.5675675676,,,2.8169014085,21.1538461538,,,
82.94,30.7692307692,,,,,,,,,,,,,,,50
83.14,,,28,,,42.1052631579,,,,,,,,,,
83.7,,,,,,,71.4285714286,,,,,,,42.8571428571,,
84.12,,,,,,,,,,,,,,,8.75,
85.2,,,,,,,,,,,64.5161290323,,,,,
85.8,,,27,,,,,,,,,,,,,
86.5,,,,,,,,,18.9189189189,,,,,,,
87.32,,,,,,,,50,,,,,,,,
88.66,,,26,,,,,,,,,,23.0769230769,,,52.7777777778
89.44,,,,,,,74.2857142857,,,,,,,,,
90.6,,,,,,,,,,,,,,,10,
90.94,,,,,,,,,20.2702702703,,,,,,,
90.98,,,,,,,,,,22.2222222222,67.7419354839,,,46.4285714286,,
91.52,,,25,,,,,,,,,,,,,
92.34,,,,,73.3333333333,47.3684210526,,52.5,,,,,,,,
94.38,,,,,,,,,,,,,,,,55.5555555556
94.5,,,24,66.6666666667,,,,,21.6216216216,,,,25,,,
96.12,,,,,,,77.1428571429,,,,,,,,11.25,
97.24,,,23,,,,,55,,,70.9677419355,,,,,
98.32,34.6153846154,26.9230769231,,,,,,,22.972972973,,,,,50,,
99.78,,,,,,,,,,,,,,,,58.3333333333
100.1,,,22,,,,,,,,,4.2253521127,26.9230769231,,,
101.64,,,,,,,80,,,,,,,,,
101.78,,,,,,,,57.5,24.3243243243,,,,,,12.5,
102.96,,,21,,,52.6315789474,,,,,,,,,,
104.02,,,,,,,,,,,74.1935483871,,,,,
105.42,,,,,,,,,,,,,,,,61.1111111111
105.76,,,,,,,,,25.6756756757,,,,,,,
105.84,,,20,,,,,,,27.7777777778,,,28.8461538462,53.5714285714,,
106.78,,,,,,,,,,,,,,,13.75,
107.06,,,,,80,,82.8571428571,60,,,,,,,,
108.92,,,19,,,,,,27.027027027,,,,,,,
110.32,,,,62.962962963,,,,,,,77.4193548387,,,,,63.8888888889
111.16,,,,,,,,,,,,,30.7692307692,,,
111.6,,,18,,,,,62.5,,,,,,,15,
112.54,,,,,,,,,28.3783783784,,,,,,,
112.88,38.4615384615,,,,,57.8947368421,,,,,,5.6338028169,,,,
113.52,,,,,,,,,,,,,,57.1428571429,,
114.4,,,17,,,,,,,,,,,,,
115.68,,30.7692307692,,,,,85.7142857143,,29.7297297297,,,,,,,66.6666666667
116.48,,,,,,,,65,,,,,32.6923076923,,16.25,
117.26,,,16,,,,,,,,80.6451612903,,,,,
119.32,,,,,,,,,31.0810810811,,,,,,,
119.48,,,,,,,,,,33.3333333333,,,,,,
120.12,,,15,,,,,,,,,,,,,
120.78,,,,,86.6666666667,,88.5714285714,,,,,,,60.7142857143,,
121.08,,,,,,,,67.5,,,,,34.6153846154,,17.5,69.4444444444
121.74,,,,,,63.1578947368,,,,,,,,,,
122.12,,,,,,,,,32.4324324324,,,,,,,
122.98,,,14,,,,,,,,,,,,,
123.44,,,,,,,,,,,,7.0422535211,,,,
124.5,,,,,,,,,,,83.8709677419,,,,,
125.38,,,,59.2592592593,,,,,33.7837837838,,,,,,18.75,
126.18,,,13,,,,,,,,,,,,,
126.52,42.3076923077,,,,,,,70,,,,,36.5384615385,,,72.2222222222
127.96,,,,,,,,,,,,,,64.2857142857,,
128.7,,,12,,,,,,35.1351351351,,,,,,,
129.16,,,,,,,91.4285714286,,,,,,,,,
129.7,,,,,,,,,,,,,,,20,
131.3,,,,,,,,72.5,,,,,,,,
131.44,,,,,,,,,,,,,38.4615384615,,,
131.56,,,,,,,,,,,87.0967741935,,,,,
131.76,,,11,,,,,,36.4864864865,,,,,,,
132.1,,,,,,,,,,,,,,,,75
132.32,,34.6153846154,,,,68.4210526316,,,,38.8888888889,,8.4507042254,,,,
133.88,,,,,,,,,,,,,,,21.25,
134.5,,,10,,,,,,37.8378378378,,,,,,,
135.66,,,,,,,,,,,,,,67.8571428571,,
135.92,,,,,,,,,,,,,40.3846153846,,,
136.18,,,,,93.3333333333,,94.2857142857,75,,,,,,,,
137.44,,,9,,,,,,39.1891891892,,,,,,,77.7777777778
138.22,,,,,,,,,,,,,,,22.5,
138.74,,,,,,,,,,,90.3225806452,,,,,
139.82,46.1538461538,,,,,,,,,,,,,,,
140.14,,,,55.5555555556,,,,,,,,,,,,
140.44,,,8,,,,,,,,,,,,,
140.74,,,,,,,,,40.5405405405,,,,,,,
140.86,,,,,,,,77.5,,,,9.8591549296,42.3076923077,,,
141.96,,,,,,73.6842105263,,,,,,,,,23.75,
143.34,,,7,,,,,,41.8918918919,,,,,71.4285714286,,80.5555555556
145.14,,,,,,,,,,44.4444444444,,,44.2307692308,,,
145.86,,,6,,,,,,,,,,,,25,
146.42,,,,,,,,80,43.2432432432,,,,,,,
148.2,,,,,,,,,,,,11.2676056338,,,,
148.72,,38.4615384615,,,,,97.1428571429,,,,93.5483870968,,,,,
149.06,,,5,,,,,,,,,,,,,
149.14,,,,,,,,,44.5945945946,,,,,,,83.3333333333
149.6,,,,,,,,,,,,,,,26.25,
150.4,,,,,,,,,,,,,46.1538461538,75,,
151.88,50,,4,,,,,82.5,45.9459459459,,,,,,,
153.5,,,,51.8518518519,,78.9473684211,,,,,,,,,27.5,
154.72,,,3,,,,,,47.2972972973,,,,48.0769230769,,,
155.54,,,,,,,,,,,,12.676056338,,,,86.1111111111
157.4,,,2,,,,,85,48.6486486486,50,,,,,28.75,
158.38,,,,,,,,,,,,,,78.5714285714,,
159.08,,,,,,,,,,,,,50,,,
160.16,,,1,,,,,,50,,96.7741935484,,,,,
160.78,,,,,100,,,,,,,,,,30,
161.48,,,,,,,,,,,,14.0845070423,,,,
162.3,,,,,,,,,,,,,,,,88.8888888889
163.02,53.8461538462,42.3076923077,0,,,,100,87.5,51.3513513514,,,,,,,
163.78,,,,,,84.2105263158,,,,,,,51.9230769231,,,
164.36,,,,,,,,,,,,,,,31.25,
166.02,,,,,,,,,52.7027027027,,,,,,,
166.78,,,,48.1481481481,,,,,,,,,,82.1428571429,,
168.16,,,,,,,,,,,,15.4929577465,,,,
168.3,,,,,,,,,,,,,,,32.5,
168.48,,,,,,,,,54.0540540541,,,,53.8461538462,,,
169.22,,,,,,,,90,,,,,,,,91.6666666667
169.6,,,,,,,,,,55.5555555556,,,,,,
171.48,,,,,,,,,55.4054054054,,,,,,33.75,
173.14,,,,,,,,,,,100,16.9014084507,55.7692307692,,,
173.9,57.6923076923,,,,,,,,56.7567567568,,,,,,,
175.14,,,,,,,,,,,,,,85.7142857143,,
175.26,,,,,,,,,,,,,,,35,
175.62,,46.1538461538,,,,89.4736842105,,92.5,,,,,,,,
176.54,,,,,,,,,58.1081081081,,,,,,,
177.42,,,,,,,,,,,,,57.6923076923,,,94.4444444444
178.52,,,,,,,,,,,,18.3098591549,,,36.25,
179.24,,,,,,,,,59.4594594595,,,,,,,
181.36,,,,44.4444444444,,,,,,,,,,,,
182,,,,,,,,,,61.1111111111,,,,,,
182.04,,,,,,,,,60.8108108108,,,,59.6153846154,,37.5,
182.42,,,,,,,,95,,,,,,,,
183.56,,,,,,,97.1428571429,,,,,19.7183098592,,,,
184.66,61.5384615385,,,,,,,,62.1621621622,,,,,,,
185.4,,,,,,,,,,,,,,89.2857142857,,
185.6,,,,,,,,,,,,,,,38.75,
186.84,,,,,,,,,,,,,61.5384615385,,,97.2222222222
187.512,,,,,,,,,63.5135135135,,,,,,,
188.06,,50,,,,,,,,,,21.1267605634,,,,
188.82,,,,,,,,,,,,,,,40,
190.14,,,,,,94.7368421053,,,64.8648648649,,,,,,,
191.26,,,,,,,,,,,,,63.4615384615,,,
192.34,,,,,,,,97.5,,,,,,,41.25,
