Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri
0,100,100,100,100,68.75,38.4615384615,89.7435897436,23.7288135593,51.9230769231,23.0769230769,62.5,4.347826087,0,53.5714285714,17.5,57.1428571429
1.392,,,,98.9795918367,,,,,,,,,,,,
2.32,,,,100,,,,,,,,,,,,
3.208,,,,98.9795918367,,,,,,,,,,,,
4.048,,,,,,,,,53.8461538462,,,,,,,
4.176,,,,100,,,,,,,,,,,,
4.48,,,,,,,,25.4237288136,,,,,,,,
4.64,,,,,,,,,,,65,,,,,
5.568,,,,98.9795918367,,,,,,,,,,,,60
6.072,,,,100,,,,,,,,,,,,
7.32,,,,98.9795918367,,,92.3076923077,,55.7692307692,,,,,57.1428571429,,
8.352,,,,100,,,,27.1186440678,,,,,,,,
8.568,,,,,,,,,,,,,,,20,
9.28,,,,98.9795918367,,,,,,,67.5,,,,,
10.12,,,,100,,,,,,,,,,,,
10.92,,,,,75,,,,,,,,,,,62.8571428571
11.136,,,,,,,,,57.6923076923,,,,,,,
11.304,,,,98.9795918367,,,,,,,,,,,,
12.374,,,,100,,,,28.813559322,,,,,,,,
13.328,,,,98.9795918367,,,,,,,,,,,,
13.92,,,,,,,,,,,70,,,,,
14.168,,,,100,,,,,,,,,,60.7142857143,,
14.54,,,,,,,94.8717948718,,59.6153846154,,,,,,,
15.352,,,,98.9795918367,,46.1538461538,,,,,,,,,,
15.92,,,,,,,,30.5084745763,,,,,,,,
16.192,,,,100,,,,,,,,,,,22.5,65.7142857143
17.582,,,,98.9795918367,,,,,,,,,,,,
18.46,,,,100,,,,,61.5384615385,,72.5,,,,,
19.76,,,,98.9795918367,,,,32.2033898305,,30.7692307692,,,,,,
20.24,,,,100,,,,,,,,,,,,
20.88,,,,,,,,,,,,,,64.2857142857,,
21.424,,,,98.9795918367,,,,,,,,,,,,68.5714285714
21.86,,,,,81.25,,97.4358974359,,63.4615384615,,,,,,,
22.386,,,,100,,,,,,,,,,,,
23.12,,,,,,,,33.8983050847,,,75,,,,,
23.448,,,,,,,,,,,,,,,25,
23.664,,,,98.9795918367,,,,,,,,,,,,
24.288,,,,100,,,,,,,,,,,,
25.472,,,,98.9795918367,,,,,65.3846153846,,,,,,,
