Time (min),CLK/CYC_ODE,CLK_ODE,clk_ODE,CRY_ODE,CWO_ODE,cwo_ODE,PDP1_ODE,pdp1_ODE,PER/TIM_ODE,PER_ODE,per_ODE,TIM_ODE,tim_ODE,VRI_ODE,vri_ODE,
0,99.3635,0.0038,5.4093,65.1737,7.175,59.0983,44.4646,68.8157,24.7411,60.4062,96.5035,68.3538,82.8,29.7579,83.3336,
23.4141,99.4711,0.0134,5.6608,64.768,7.4816,59.8622,45.0602,69.3804,25.2989,61.0405,96.7311,68.9181,83.2878,30.306,83.8321,
25.5484,99.5701,0.0286,5.9181,64.3609,7.7954,60.6282,45.658,69.9438,25.863,61.6743,96.9531,69.4807,83.7715,30.8581,84.3262,
38.9189,99.6603,0.0497,6.1812,63.9522,8.1165,61.396,46.2578,70.5058,26.4333,62.3075,97.1694,70.0416,84.251,31.4143,84.8158,
42.6225,99.7409,0.0765,6.45,63.542,8.445,62.1653,46.8596,71.0662,27.0098,62.9401,97.3796,70.6007,84.7261,31.9745,85.3007,
47.9582,99.8147,0.1108,6.738,63.1104,8.7973,62.9732,47.4926,71.6521,27.6208,63.6024,97.5933,71.1849,85.2192,32.566,85.8038,
50.5946,99.8769,0.1515,7.0323,62.6772,9.1578,63.782,48.1276,72.2358,28.2385,64.2638,97.7999,71.7669,85.7071,33.1618,86.3013,
53.796,99.927,0.1985,7.333,62.2425,9.5264,64.5914,48.7645,72.8173,28.8628,64.9239,97.9991,72.3465,86.1895,33.7617,86.7929,
60.7637,99.9644,0.252,7.6399,61.8062,9.9032,65.4009,49.4031,73.3963,29.4935,65.5827,98.1905,72.9235,86.6662,34.3657,87.2783,
63.9024,99.9899,0.3161,7.9744,61.339,10.3144,66.2644,50.0863,74.0112,30.1737,66.284,98.3858,73.5363,87.1683,35.0145,87.7891,
67.1037,100,0.3876,8.316,60.8701,10.735,67.127,50.7713,74.6227,30.8611,66.9834,98.5715,74.1459,87.6633,35.6678,88.2922,
70.8701,99.9946,0.4664,8.6647,60.3995,11.165,67.9881,51.4579,75.2306,31.5557,67.6807,98.7473,74.752,88.1509,36.3254,88.7874,
79.9093,99.9735,0.5526,9.0205,59.9272,11.6044,68.8473,52.146,75.8347,32.2572,68.3756,98.9126,75.3544,88.6308,36.9872,89.2741,
80.9765,99.94,0.639,9.3564,59.4883,12.0198,69.6407,52.7843,76.3904,32.9131,69.017,99.0562,75.9089,89.0682,37.6037,89.7172,
82.0436,99.8933,0.7318,9.6984,59.0481,12.4434,70.4315,53.4237,76.9423,33.5748,69.656,99.1902,76.4599,89.4985,38.2237,90.1525,
89.5135,99.8337,0.8309,10.0464,58.6065,12.875,71.2192,54.0639,77.4903,34.2423,70.2925,99.3146,77.0072,89.9215,38.8468,90.5798,
91.0828,99.7614,0.9364,10.4005,58.1636,13.3148,72.0032,54.7048,78.034,34.9153,70.9262,99.429,77.5506,90.337,39.4732,90.9989,
94.8492,99.6777,1.0475,10.758,57.7225,13.7595,72.7777,55.3418,78.5695,35.5889,71.5525,99.5325,78.0862,90.742,40.0982,91.4067,
102.3191,99.5826,1.1649,11.1214,57.28,14.2122,73.5477,55.9791,79.1005,36.2679,72.1757,99.6258,78.6175,91.1392,40.726,91.8059,
104.9555,99.4765,1.2885,11.4906,56.8364,14.6728,74.3128,56.6167,79.6268,36.952,72.7957,99.7089,79.1444,91.5284,41.3566,92.1964,
107.592,99.36,1.4185,11.8658,56.3915,15.1414,75.0726,57.2545,80.1481,37.6411,73.4122,99.7816,79.6668,91.9094,41.9899,92.5779,
111.3583,99.2497,1.5377,12.1995,56.0004,15.5588,75.734,57.8137,80.6011,38.2494,73.9497,99.8368,80.1209,92.2368,42.5472,92.905,
115.0619,99.1323,1.6618,12.5377,55.6083,15.9822,76.3908,58.3727,81.0501,38.8613,74.4843,99.8839,80.5712,92.5577,43.1063,93.225,
117.1962,99.0081,1.7908,12.8803,55.2154,16.4117,77.0425,58.9315,81.495,39.4768,75.0158,99.923,81.0176,92.8721,43.6673,93.5379,
118.8282,98.8773,1.9246,13.2273,54.8215,16.8472,77.6889,59.49,81.9356,40.0957,75.5441,99.9541,81.46,93.18,44.2299,93.8435,
122.5318,98.7512,2.0525,13.5517,54.4571,17.2546,78.2809,60.0053,82.3387,40.6701,76.0289,99.9757,81.8648,93.4583,44.7507,94.1192,
127.8675,98.62,2.1846,13.8797,54.0919,17.6671,78.8679,60.5202,82.7381,41.2474,76.5107,99.9905,82.266,93.7309,45.2729,94.3886,
131.5711,98.484,2.3208,14.2115,53.726,18.0847,79.4498,61.0345,83.1337,41.8273,76.9895,99.9986,82.6635,93.9978,45.7962,94.6517,
134.2703,98.3435,2.4612,14.547,53.3594,18.5073,80.0264,61.5482,83.5255,42.4098,77.4651,100,83.0573,94.2589,46.3207,94.9084,
143.8745,98.2037,2.6007,14.8742,53.0048,18.92,80.5777,62.0433,83.9,42.9743,77.9211,99.9951,83.4337,94.5054,46.8279,95.1502,
147.578,98.0601,2.744,15.2049,52.6496,19.3372,81.1237,62.5378,84.2707,43.5412,78.374,99.984,83.8065,94.7465,47.336,95.386,
156.1151,97.9127,2.8913,15.5389,52.2938,19.7591,81.6642,63.0314,84.6378,44.1102,78.8236,99.9669,84.1756,94.9821,47.845,95.6158,
159.8187,97.7617,3.0424,15.8763,51.9373,20.1856,82.1991,63.5242,85.0011,44.6812,79.27,99.9438,84.5409,95.2123,48.3548,95.8396,
161.9529,97.6092,3.1954,16.2127,51.5847,20.6111,82.7215,64.0097,85.3561,45.247,79.7074,99.9151,84.8979,95.4341,48.8588,96.0547,
166.2214,97.4534,3.3522,16.5524,51.2315,21.041,83.2381,64.4943,85.7073,45.8146,80.1415,99.8808,85.2511,95.6507,49.3634,96.264,
172.6242,97.2946,3.5128,16.8952,50.8777,21.4753,83.7489,64.9778,86.0548,46.384,80.5721,99.8408,85.6005,95.8618,49.8686,96.4673,
175.8256,97.1326,3.6772,17.2412,50.5233,21.9139,84.2535,65.4602,86.3984,46.955,80.9992,99.7953,85.946,96.0676,50.3744,96.6649,
182.7306,96.9677,3.8453,17.5904,50.1684,22.3568,84.7519,65.9414,86.7382,47.5275,81.4227,99.7443,86.2876,96.268,50.8805,96.8565,
183.7977,96.8,4.0173,17.9427,49.813,22.8039,85.2439,66.4212,87.0741,48.1015,81.8425,99.6879,86.6253,96.4631,51.3869,97.0423,
186.4969,96.6294,4.193,18.2982,49.4569,23.2552,85.7295,66.8998,87.4061,48.6769,82.2586,99.6261,86.9589,96.6528,51.8937,97.2222,
187.5013,96.4561,4.3725,18.6567,49.1003,23.7108,86.2085,67.3769,87.7341,49.2536,82.6709,99.5591,87.2886,96.8371,52.4007,97.3963,
197.1055,96.2788,4.5571,19.0211,48.7405,24.1739,86.6843,67.8561,88.0607,49.8359,83.0824,99.4864,87.6167,97.0174,52.9118,97.5658,
200.3069,96.0989,4.7456,19.3885,48.3801,24.6412,87.1532,68.3338,88.3832,50.4192,83.4899,99.4084,87.9407,97.1923,53.4229,97.7294,
203.5083,95.9163,4.9379,19.7591,48.0192,25.1127,87.615,68.8098,88.7016,51.0036,83.8934,99.3254,88.2605,97.3617,53.9341,97.8872,
205.1404,95.7313,5.134,20.1326,47.6577,25.5882,88.0697,69.2841,89.016,51.5889,84.2927,99.2373,88.5761,97.5258,54.4453,98.039,
207.2746,95.5413,5.3365,20.5139,47.2912,26.0737,88.5225,69.7625,89.3301,52.1822,84.6928,99.1431,88.8913,97.6863,54.9628,98.1868,
210.9782,95.3489,5.5428,20.8983,46.9242,26.5632,88.9677,70.2391,89.6399,52.7763,85.0885,99.0439,89.2022,97.8414,55.48,98.3285,
218.4481,95.154,5.7531,21.2856,46.5567,27.0568,89.4053,70.7136,89.9454,53.3709,85.4798,98.9398,89.5088,97.9909,55.9971,98.4643,
223.7838,94.9566,5.9672,21.676,46.1887,27.5544,89.835,71.1862,90.2467,53.9661,85.8667,98.8308,89.8109,98.1349,56.5139,98.5942,
226.4202,94.7537,6.1886,22.0755,45.8145,28.0636,90.2633,71.6639,90.5482,54.5708,86.2549,98.7153,90.1133,98.2754,57.0382,98.72,
227.4874,94.5484,6.4141,22.478,45.4398,28.5768,90.6833,72.1393,90.8453,55.1757,86.6384,98.5949,90.4111,98.4104,57.5621,98.8398,
230.1238,94.3406,6.6435,22.8835,45.0646,29.0939,91.0949,72.6125,91.1378,55.7808,87.0171,98.4698,90.7043,98.5397,58.0855,98.9534,
234.3923,94.1305,6.8769,23.2919,44.6889,29.6149,91.4981,73.0833,91.4259,56.386,87.391,98.3401,90.9929,98.6634,58.6083,99.0611,
236.5266,93.9142,7.1184,23.7104,44.3062,30.1487,91.8994,73.5598,91.7143,57.0014,87.7663,98.2033,91.2819,98.7834,59.1394,99.1644,
239.728,93.6955,7.364,24.1319,43.923,30.6864,92.2918,74.0336,91.998,57.6167,88.1366,98.0619,91.566,98.8977,59.6698,99.2616,
