Time (min),CLK_ANIMO,CLK_ODE,
0,0,0.0038,
18.7345, ,0.0134,
20.4423, ,0.0286,
31.1406, ,0.0497,
34.1039, ,0.0765,
38.3733, ,0.1108,
40.4827, ,0.1515,
43.0443, ,0.1985,
48.6194, ,0.252,
49.24,4, ,
51.1308, ,0.3161,
53.6923, ,0.3876,
56.706, ,0.4664,
63.9386, ,0.5526,
64.7925, ,0.639,
65.6463, ,0.7318,
71.6233, ,0.8309,
72.8789, ,0.9364,
75.8926, ,1.0475,
81.8696, ,1.1649,
83.979, ,1.2885,
84.64,8, ,
86.0886, ,1.4185,
89.1022, ,1.5377,
92.0656, ,1.6618,
93.7733, ,1.7908,
95.0791, ,1.9246,
98.0425, ,2.0525,
102.3118, ,2.1846,
105.2752, ,2.3208,
107.435, ,2.4612,
115.1197, ,2.6007,
118.083, ,2.744,
119.64,12, ,
124.9139, ,2.8913,
127.8773, ,3.0424,
129.5849, ,3.1954,
133.0003, ,3.3522,
138.1234, ,3.5128,
140.685, ,3.6772,
146.21, ,3.8453,
146.4,16, ,
147.0638, ,4.0173,
149.2235, ,4.193,
150.0272, ,4.3725,
157.7119, ,4.5571,
160.2735, ,4.7456,
162.835, ,4.9379,
164.1409, ,5.134,
165.8486, ,5.3365,
168.812, ,5.5428,
172.24,20, ,
174.789, ,5.7531,
179.0583, ,5.9672,
181.1678, ,6.1886,
182.0217, ,6.4141,
184.1312, ,6.6435,
187.5465, ,6.8769,
189.2543, ,7.1184,
191.8159, ,7.364,
194.7792, ,7.6137,
198,24, ,
199.0987, ,7.8675,
200.3544, ,8.1301,
202.9662, ,8.3969,
208.8929, ,8.6679,
211.0025, ,8.9431,
213.1622, ,9.2278,
215.7238, ,9.5167,
217.3813, ,9.8099,
222.24,28, ,
227.3764, ,10.1074,
231.4949, ,10.4149,
232.7506, ,10.7268,
233.6045, ,11.0431,
234.4583, ,11.3638,
235.5131, ,11.6949,
236.5678, ,12.0306,
239.5815, ,12.3706,
240.58,32, ,
243.8507, ,12.7152,
250.6313, ,13.0707,
253.1929, ,13.4309,
256.2065, ,13.7955,
257.0603, ,14.1646,
257.4,36, ,
260.0237, ,14.5453,
260.8776, ,14.9307,
269.4161, ,15.3206,
270.27, ,15.7149,
271.9777, ,16.1217,
273.82,40, ,
274.8908, ,16.5331,
277.5026, ,16.949,
279.2103, ,17.3694,
279.6624, ,17.8031,
281.7719, ,18.2414,
282.6258, ,18.6843,
282.7262, ,19.1317,
285.5891, ,19.5934,
286.443, ,20.0597,
290.36,44, ,
293.2738, ,20.5306,
294.1277, ,21.006,
295.4336, ,21.4972,
297.1413, ,21.9929,
300.5065, ,22.4932,
306.08,48, ,
306.9354, ,22.9979,
307.3373, ,23.5204,
309.497, ,24.0474,
315.4741, ,24.5789,
318.8392, ,25.1147,
319.86,52, ,
324.4144, ,25.671,
325.6701, ,26.2318,
328.6836, ,26.7969,
331.2452, ,27.3664,
331.9,56, ,
332.5009, ,27.9601,
332.9027, ,28.5583,
340.1856, ,29.1607,
342.2951, ,29.7674,
343.149, ,30.4042,
343.86,60, ,
345.3087, ,31.0452,
347.9707, ,31.6906,
349.9798, ,32.34,
350.8337, ,33.0292,
353.797, ,33.7227,
354.2491, ,34.4204,
355.98,64, ,
356.5092, ,35.122,
360.226, ,35.8824,
362.3356, ,36.6469,
368.216,68, ,
368.3125, ,37.4155,
376.8511, ,38.188,
379.978,72, ,
382.5267, ,39.0691,
383.6317, ,39.9546,
384.4855, ,40.8441,
387.4992, ,41.7374,
390.2616, ,42.7017,
392.1702, ,43.6695,
393.1,76, ,
393.878, ,44.6406,
395.1838, ,45.6145,
396.4395, ,45.7139,
399.0513, ,45.8134,
400.7088, ,45.9128,
407.184,80, ,
410.5029, ,46.0123,
413.5166, ,46.1119,
414.3704, ,46.2114,
416.4297, ,46.311,
417.3338, ,46.4106,
418.1876, ,46.9088,
419.8954, ,47.4076,
420.624,84, ,
422.0049, ,47.9068,
427.5801, ,48.4064,
428.8357, ,48.4482,
430.5434, ,48.4901,
431.3973, ,48.532,
432.2511, ,48.5739,
433.2055, ,48.5822,
434.1,88, ,
439.4838, ,48.5904,
442.4974, ,48.5986,
443.3512, ,48.6069,
446.3146, ,48.6074,
447.44,92, ,
449.278, ,48.608,
449.6798, ,48.6086,
449.73, ,48.6091,
450.1319, ,48.6096,
451.8396, ,48.61,
452.6934, ,48.6104,
454.4012, ,48.6109,
459.5242, ,48.6113,
460.3781, ,48.6117,
462.5379, ,48.6122,
464.16,96, ,
466.1542, ,48.6126,
471.0261, ,48.6148,
473.186, ,48.617,
473.5877, ,48.6191,
478.7108, ,48.6213,
485.9435, ,48.6322,
487.06,100, ,
490.2128, ,48.6431,
492.473, ,48.6539,
494.9341, ,48.6648,
500.459, ,48.7192,
502.1668, ,48.7735,
503.2215, ,48.8279,
503.8744, ,48.8823,
506.436, ,49.1543,
511.1071, ,49.4263,
512.6139, ,49.6984,
514.1207, ,49.9706,
515.3764, ,50.4655,
516.632, ,50.9605,
519.6457, ,51.4555,
520.0474, ,51.9506,
522.609, ,52.4617,
525.1705, ,52.9728,
528.1842, ,53.4837,
529.4398, ,53.9943,
532.2023, ,54.5473,
535.8186, ,55.0999,
536.6725, ,55.6521,
537.1245, ,56.2036,
538.8322, ,56.8066,
546.0649, ,57.4087,
546.9187, ,58.0098,
547.856,96, ,
552.4437, ,58.6099,
555.0053, ,59.2799,
556.3112, ,59.9484,
558.0188, ,60.6152,
558.4207, ,61.2801,
565.6533, ,62.0519,
566.9592, ,62.8208,
575.4977, ,63.5867,
575.8996, ,64.3492,
577.6073, ,65.3174,
578.21, ,66.2794,
578.3,92, ,
578.9132, ,67.2349,
579.767, ,68.1834,
581.8765, ,69.1217,
583.9861, ,70.0522,
585.292, ,70.9747,
588.7074, ,71.8885,
590.8169, ,72.7923,
591.4699, ,73.6867,
593.8305, ,74.5715,
596.3921, ,75.4461,
598.5016, ,76.1443,
601.0631, ,76.8355,
602.3,88, ,
602.7709, ,77.5195,
604.4785, ,78.1961,
604.4785, ,78.7835,
605.7342, ,79.365,
608.7478, ,79.9404,
610.8573, ,80.5096,
612.5651, ,81.035,
612.5651, ,81.5549,
613.871, ,82.069,
615.5285, ,82.5774,
619.356,84, ,
621.9574, ,83.0571,
622.8113, ,83.5314,
624.519, ,84.0001,
626.2267, ,84.4633,
628.7883, ,84.9051,
629.592, ,85.3416,
631.2996, ,85.7727,
635.5689, ,86.1983,
635.58,80, ,
640.893, ,86.607,
642.3997, ,87.0103,
643.7056, ,87.4084,
645.4134, ,87.801,
646.2672, ,88.1796,
647.5228, ,88.553,
647.9247, ,88.921,
650.96,76, ,
653.9016, ,89.2837,
656.9153, ,89.6344,
662.4402, ,89.9799,
663.54,72, ,
663.7461, ,90.3201,
664.5497, ,90.655,
665.4036, ,90.9794,
667.5633, ,91.2987,
673.9421, ,91.6126,
675.248, ,91.9211,
675.84,68, ,
682.0789, ,92.2205,
683.3345, ,92.5145,
684.5902, ,92.8033,
686.2979, ,93.0868,
688.86,64, ,
691.0192, ,93.3619,
693.9825, ,93.6317,
694.8365, ,93.8962,
696.5441, ,94.1554,
699.5075, ,94.4069,
702.5212, ,94.6531,
