Time (min),CWO_ANIMO,CWO_ODE,
0,0,7.175,
18.7345, ,7.4816,
20.4423, ,7.7954,
31.1406, ,8.1165,
34.1039, ,8.445,
38.3733, ,8.7973,
40.4827, ,9.1578,
43.0443, ,9.5264,
48.6194, ,9.9032,
51.1308, ,10.3144,
53.6923, ,10.735,
56.706, ,11.165,
63.9386, ,11.6044,
64.7925, ,12.0198,
65.6463, ,12.4434,
71.6233, ,12.875,
72.8789, ,13.3148,
75.8926, ,13.7595,
81.8696, ,14.2122,
83.979, ,14.6728,
86.0886, ,15.1414,
89.1022, ,15.5588,
92.0656, ,15.9822,
93.7733, ,16.4117,
95.0791, ,16.8472,
98.0425, ,17.2546,
102.3118, ,17.6671,
105.2752, ,18.0847,
107.435, ,18.5073,
114.4,5.2632, ,
115.1197, ,18.92,
118.083, ,19.3372,
124.9139, ,19.7591,
127.8773, ,20.1856,
129.5849, ,20.6111,
133.0003, ,21.041,
136.38,10.5263, ,
138.1234, ,21.4753,
140.685, ,21.9139,
146.21, ,22.3568,
147.0638, ,22.8039,
149.2235, ,23.2552,
150.0272, ,23.7108,
152.04,15.7895, ,
157.7119, ,24.1739,
160.2735, ,24.6412,
162.835, ,25.1127,
164.1409, ,25.5882,
165.24,21.0526, ,
165.8486, ,26.0737,
168.812, ,26.5632,
174.789, ,27.0568,
177.32,26.3158, ,
179.0583, ,27.5544,
181.1678, ,28.0636,
182.0217, ,28.5768,
184.1312, ,29.0939,
187.5465, ,29.6149,
188.36,31.5789, ,
189.2543, ,30.1487,
191.8159, ,30.6864,
194.7792, ,31.2279,
198.9,36.8421, ,
199.0987, ,31.7731,
200.3544, ,32.3319,
202.9662, ,32.8945,
208.8929, ,33.4606,
208.92,42.1053, ,
211.0025, ,34.0303,
213.1622, ,34.6142,
215.7238, ,35.2016,
217.3813, ,35.7923,
220.22,47.3684, ,
227.3764, ,36.3864,
230.52,52.6316, ,
231.4949, ,36.9949,
232.7506, ,37.6067,
233.6045, ,38.2216,
234.4583, ,38.8395,
235.5131, ,39.4721,
236.5678, ,40.1075,
239.5815, ,40.7458,
240.58,57.8947, ,
243.8507, ,41.3867,
249.78,63.1579, ,
250.6313, ,42.0423,
253.1929, ,42.7005,
256.2065, ,43.361,
257.0603, ,44.0238,
260.0237, ,44.7015,
260.26,68.4211, ,
260.8776, ,45.3812,
269.4161, ,46.0628,
269.72,73.6842, ,
270.27, ,46.7461,
271.9777, ,47.4445,
274.8908, ,48.1445,
277.5026, ,48.8457,
279.2103, ,49.5482,
279.6624, ,50.266,
281,78.9474, ,
281.7719, ,50.9847,
282.6258, ,51.7042,
282.7262, ,52.4242,
285.5891, ,53.1601,
286.443, ,53.8963,
291.64,84.2105, ,
293.2738, ,54.6324,
294.1277, ,55.3683,
295.4336, ,56.1211,
297.1413, ,56.8733,
300.5065, ,57.6246,
303.38,89.4737, ,
306.9354, ,58.3749,
307.3373, ,59.1434,
309.497, ,59.9104,
315.4741, ,60.6756,
317.66,94.7368, ,
318.8392, ,61.4388,
324.4144, ,62.2223,
325.6701, ,63.0032,
328.6836, ,63.7813,
331.2452, ,64.5562,
332.5009, ,65.3545,
332.9027, ,66.149,
340.1856, ,66.9394,
342.2951, ,67.7253,
343.149, ,68.5396,
343.86,100, ,
345.3087, ,69.3486,
347.9707, ,70.1518,
349.9798, ,70.9492,
350.8337, ,71.7834,
353.797, ,72.6104,
354.2491, ,73.4297,
356.5092, ,74.2411,
360.226, ,75.1062,
362.3356, ,75.9614,
368.3125, ,76.8061,
376.8511, ,77.6401,
382.5267, ,78.5732,
383.6317, ,79.4913,
384.4855, ,80.394,
387.4992, ,81.2808,
390.2616, ,82.2158,
390.44,94.7368, ,
392.1702, ,83.1313,
393.878, ,84.0265,
395.1838, ,84.901,
396.4395, ,84.989,
399.0513, ,85.0767,
400.7088, ,85.1643,
410.5029, ,85.2516,
413.5166, ,85.3386,
414.3704, ,85.4255,
416.4297, ,85.5121,
416.592,89.4737, ,
417.3338, ,85.5985,
418.1876, ,86.0272,
419.8954, ,86.4501,
422.0049, ,86.8673,
427.5801, ,87.2786,
428.8357, ,87.3128,
430.5434, ,87.347,
431.3973, ,87.3811,
432.2511, ,87.4152,
433.2055, ,87.4219,
439.4838, ,87.4286,
442.4974, ,87.4353,
443.3512, ,87.442,
445.88,84.2105, ,
446.3146, ,87.4424,
449.278, ,87.4429,
449.6798, ,87.4433,
449.73, ,87.4438,
450.1319, ,87.4441,
451.8396, ,87.4445,
452.6934, ,87.4449,
454.4012, ,87.4452,
459.5242, ,87.4456,
460.3781, ,87.4459,
462.5379, ,87.4463,
466.1542, ,87.4466,
471.0261, ,87.4484,
473.186, ,87.4502,
473.5877, ,87.4519,
476.94,78.9474, ,
478.7108, ,87.4537,
485.9435, ,87.4625,
490.2128, ,87.4713,
492.473, ,87.4802,
494.9341, ,87.489,
500.459, ,87.533,
502.1668, ,87.577,
503.2215, ,87.6209,
503.8744, ,87.6648,
506.436, ,87.8829,
506.46,73.6842, ,
511.1071, ,88.0993,
512.6139, ,88.3139,
514.1207, ,88.5268,
515.3764, ,88.9091,
516.632, ,89.2854,
519.6457, ,89.6557,
520.0474, ,90.02,
522.609, ,90.3897,
525.1705, ,90.7528,
