Time (min),CLK_ANIMO,CLK_ODE,
0,90,0.0038,
23.4141, ,0.0134,
25.5484, ,0.0286,
38.9189, ,0.0497,
42.6225, ,0.0765,
47.9582, ,0.1108,
49.653,100, ,
49.7158,90, ,
50.5946, ,0.1515,
53.796, ,0.1985,
60.7637, ,0.252,
63.9024, ,0.3161,
67.1037, ,0.3876,
70.8701, ,0.4664,
79.9093, ,0.5526,
80.9765, ,0.639,
82.0436, ,0.7318,
89.5135, ,0.8309,
91.0828, ,0.9364,
94.8492, ,1.0475,
102.3191, ,1.1649,
104.9555, ,1.2885,
107.592, ,1.4185,
111.3583, ,1.5377,
115.0619, ,1.6618,
117.1962, ,1.7908,
118.8282, ,1.9246,
122.5318, ,2.0525,
127.8675, ,2.1846,
131.5711, ,2.3208,
134.2703, ,2.4612,
143.8745, ,2.6007,
147.578, ,2.744,
156.1151, ,2.8913,
159.8187, ,3.0424,
161.9529, ,3.1954,
166.2214, ,3.3522,
172.6242, ,3.5128,
175.8256, ,3.6772,
182.7306, ,3.8453,
183.7977, ,4.0173,
186.4969, ,4.193,
187.5013, ,4.3725,
197.1055, ,4.5571,
200.3069, ,4.7456,
203.5083, ,4.9379,
205.1404, ,5.134,
207.2746, ,5.3365,
210.9782, ,5.5428,
218.4481, ,5.7531,
223.7838, ,5.9672,
226.4202, ,6.1886,
227.4874, ,6.4141,
230.1238, ,6.6435,
234.3923, ,6.8769,
236.5266, ,7.1184,
239.728, ,7.364,
243.4316, ,7.6137,
248.83, ,7.8675,
250.3993, ,8.1301,
253.6635, ,8.3969,
261.0706, ,8.6679,
263.7071, ,8.9431,
266.4063, ,9.2278,
269.6077, ,9.5167,
271.6792, ,9.8099,
284.1709, ,10.1074,
289.3182, ,10.4149,
290.8875, ,10.7268,
291.9547, ,11.0431,
293.0218, ,11.3638,
294.34, ,11.6949,
295.6582, ,12.0306,
299.4246, ,12.3706,
304.7602, ,12.7152,
313.2345, ,13.0707,
316.4359, ,13.4309,
320.2023, ,13.7955,
321.2694, ,14.1646,
324.973, ,14.5453,
326.0401, ,14.9307,
336.7114, ,15.3206,
337.7786, ,15.7149,
339.9128, ,16.1217,
343.5536, ,16.5331,
346.8178, ,16.949,
348.952, ,17.3694,
349.517, ,17.8031,
352.1534, ,18.2414,
353.2206, ,18.6843,
353.3461, ,19.1317,
356.9241, ,19.5934,
357.9913, ,20.0597,
366.5283, ,20.5306,
367.5955, ,21.006,
369.2276, ,21.4972,
371.3618, ,21.9929,
375.5676, ,22.4932,
383.6024, ,22.9979,
384.1046, ,23.5204,
386.8038, ,24.0474,
394.2738, ,24.5789,
398.4795, ,25.1147,
405.4473, ,25.671,
407.0166, ,26.2318,
410.7829, ,26.7969,
413.9843, ,27.3664,
415.5536, ,27.9601,
416.0558, ,28.5583,
425.1578, ,29.1607,
427.7942, ,29.7674,
428.8614, ,30.4042,
431.5606, ,31.0452,
434.8875, ,31.6906,
437.3984, ,32.34,
438.4656, ,33.0292,
442.1691, ,33.7227,
442.7341, ,34.4204,
445.5588, ,35.122,
450.204, ,35.8824,
