Time (min),CRY_ANIMO,CRY_ODE,
0,97.8723,65.1737,
5.0846,97.8723, ,
6.4028,97.8723, ,
7.6582,96.8085, ,
8.0349,97.8723, ,
8.4743,96.8085, ,
9.5414,97.8723, ,
9.7925,96.8085, ,
23.4141, ,64.768,
25.5484, ,64.3609,
27.0549,96.8085, ,
28.2476,95.7447, ,
28.6242,96.8085, ,
29.0636,95.7447, ,
29.8797,96.8085, ,
30.3191,95.7447, ,
31.5118,95.7447, ,
36.408,95.7447, ,
38.9189,95.7447,63.9522,
40.2371,95.7447, ,
41.4298,94.6809, ,
41.7437,95.7447, ,
42.6225,94.6809,63.542,
42.748,95.7447, ,
43.7524,94.6809, ,
44.129,95.7447, ,
44.8823,94.6809, ,
47.9582, ,63.1104,
50.5946, ,62.6772,
53.796, ,62.2425,
60.7637, ,61.8062,
63.8396,93.617, ,
63.9024, ,61.339,
64.279,94.6809, ,
64.6556,93.617, ,
65.5972,94.6809, ,
66.0366,93.617, ,
67.1037,94.6809,60.8701,
67.1037,93.617, ,
70.8701, ,60.3995,
76.5196,93.617, ,
77.6495,92.5532, ,
78.0262,93.617, ,
79.0305,92.5532, ,
79.4699,93.617, ,
79.9093, ,59.9272,
80.1604,92.5532, ,
80.9765, ,59.4883,
82.0436, ,59.0481,
86.5632,91.4894, ,
86.8771,92.5532, ,
87.8814,91.4894, ,
88.3208,92.5532, ,
89.3252,91.4894, ,
89.5135, ,58.6065,
90.204,92.5532, ,
90.204,91.4894, ,
91.0828, ,58.1636,
94.8492, ,57.7225,
95.6652,91.4894, ,
96.7323,90.4255, ,
97.6112,91.4894, ,
98.0506,90.4255, ,
102.3191, ,57.28,
103.1351,89.3617, ,
103.5745,90.4255, ,
104.3906,89.3617, ,
104.8928,90.4255, ,
104.9555, ,56.8364,
105.7088,89.3617, ,
107.592, ,56.3915,
111.1072,89.3617, ,
111.3583, ,56.0004,
112.4255,88.2979, ,
112.8649,89.3617, ,
113.8065,88.2979, ,
114.5597,89.3617, ,
114.9364,88.2979, ,
115.0619, ,55.6083,
117.1962, ,55.2154,
118.8282, ,54.8215,
120.5231,87.234, ,
120.8997,88.2979, ,
121.7786,87.234, ,
122.5318, ,54.4571,
125.6077,86.1702, ,
126.3609,87.234, ,
126.8003,86.1702, ,
127.8675, ,54.0919,
131.2572,85.1064, ,
131.5711, ,53.726,
131.6966,86.1702, ,
132.3243,85.1064, ,
134.2703, ,53.3594,
136.7812,84.0426, ,
137.2833,85.1064, ,
138.0994,84.0426, ,
141.1125,82.9787, ,
141.4891,84.0426, ,
142.5562,82.9787, ,
143.8745, ,53.0048,
145.2554,81.9149, ,
145.6949,82.9787, ,
146.762,81.9149, ,
147.578, ,52.6496,
147.7663,82.9787, ,
147.7663,81.9149, ,
149.524,80.8511, ,
150.1517,81.9149, ,
150.5911,80.8511, ,
153.667,79.7872, ,
156.1151, ,52.2938,
156.8056,78.7234, ,
157.245,79.7872, ,
158.1866,78.7234, ,
159.6931,77.6596, ,
159.8187, ,51.9373,
160.1325,78.7234, ,
161.1997,77.6596, ,
161.9529, ,51.5847,
162.7062,76.5957, ,
163.0828,77.6596, ,
164.2127,76.5957, ,
165.7193,75.5319, ,
166.2214, ,51.2315,
166.7236,76.5957, ,
167.0375,75.5319, ,
168.6068,74.4681, ,
171.871,73.4043, ,
172.6242, ,50.8777,
173.5031,72.3404, ,
175.0724,71.2766, ,
175.7629,72.3404, ,
175.8256, ,50.5233,
176.6417,71.2766, ,
178.1482,70.2128, ,
180.0942,69.1489, ,
181.7262,68.0851, ,
182.7306, ,50.1684,
183.4211,67.0213, ,
183.7977, ,49.813,
184.8649,65.9574, ,
