Time (min),CWO_ANIMO,CWO_ODE,
0,7.2464,7.175,
9.7925,8.6957, ,
18.6434,10.1449, ,
23.4141, ,7.4816,
25.1718,8.6957, ,
25.5484, ,7.7954,
27.0549,10.1449, ,
34.9015,11.5942, ,
38.9189, ,8.1165,
42.1831,13.0435, ,
42.6225, ,8.445,
45.8867,11.5942, ,
47.9582, ,8.7973,
49.0881,13.0435, ,
50.5946, ,9.1578,
53.796, ,9.5264,
56.2441,14.4928, ,
60.7637, ,9.9032,
62.7097,15.942, ,
63.9024, ,10.3144,
64.279,14.4928, ,
67.1037, ,10.735,
69.0497,15.942, ,
70.8701, ,11.165,
74.9503,17.3913, ,
79.9093, ,11.6044,
80.9765, ,12.0198,
82.0436, ,12.4434,
86.4377,18.8406, ,
89.5135, ,12.875,
91.0828, ,13.3148,
91.6478,20.2899, ,
94.8492, ,13.7595,
95.9163,18.8406, ,
96.7323,20.2899, ,
102.0052,21.7391, ,
102.3191, ,14.2122,
104.9555, ,14.6728,
107.027,23.1884, ,
107.592, ,15.1414,
109.6007,21.7391, ,
111.3583, ,15.5588,
111.9861,23.1884, ,
115.0619, ,15.9822,
116.8195,24.6377, ,
117.1962, ,16.4117,
118.8282, ,16.8472,
121.4647,26.087, ,
121.7786,24.6377, ,
122.5318, ,17.2546,
125.6077,26.087, ,
127.8675, ,17.6671,
130.2528,27.5362, ,
131.5711, ,18.0847,
133.8936,26.087, ,
134.2703,27.5362,18.5073,
138.7271,28.9855, ,
142.9956,30.4348, ,
143.8745, ,18.92,
144.7533,28.9855, ,
147.2014,30.4348, ,
147.578, ,19.3372,
151.2188,31.8841, ,
156.1151, ,19.7591,
159.0654,33.3333, ,
159.8187, ,20.1856,
161.9529, ,20.6111,
163.0201,34.7826, ,
164.966,33.3333, ,
166.2214, ,21.041,
166.8492,34.7826, ,
170.6155,36.2319, ,
172.6242, ,21.4753,
175.8256, ,21.9139,
177.9599,37.6812, ,
181.6635,39.1304, ,
182.7306, ,22.3568,
183.1072,37.6812, ,
183.7977, ,22.8039,
185.1787,39.1304, ,
186.4969, ,23.2552,
187.5013, ,23.7108,
188.5057,40.5797, ,
191.5815,39.1304, ,
192.0209,40.5797, ,
195.599,42.029, ,
197.1055, ,24.1739,
199.177,43.4783, ,
199.6164,42.029, ,
200.3069, ,24.6412,
202.5039,43.4783, ,
203.5083, ,25.1127,
205.1404, ,25.5882,
205.8936,44.9275, ,
207.2746, ,26.0737,
207.4629,43.4783, ,
208.9695,44.9275, ,
210.9782, ,26.5632,
212.5475,46.3768, ,
214.9329,44.9275, ,
215.3723,46.3768, ,
218.4481, ,27.0568,
218.8875,47.8261, ,
223.7838, ,27.5544,
225.4159,49.2754, ,
226.4202, ,28.0636,
227.4874, ,28.5768,
228.5545,50.7246, ,
228.9939,49.2754, ,
230.1238, ,29.0939,
231.7559,50.7246, ,
234.3923, ,29.6149,
234.8945,52.1739, ,
236.0244,50.7246, ,
236.5266, ,30.1487,
238.0331,52.1739, ,
239.728, ,30.6864,
240.9834,53.6232, ,
242.49,52.1739, ,
243.4316, ,31.2279,
244.1848,53.6232, ,
247.1979,55.0725, ,
248.83, ,31.7731,
249.1439,53.6232, ,
250.2738,55.0725, ,
250.3993, ,32.3319,
253.2868,56.5217, ,
253.6635, ,32.8945,
255.4839,55.0725, ,
255.9233,56.5217, ,
259.313,57.971, ,
261.0706, ,33.4606,
261.5728,56.5217, ,
262.0122,57.971, ,
263.7071, ,34.0303,
265.0253,59.4203, ,
266.4063, ,34.6142,
269.6077, ,35.2016,
270.9887,60.8696, ,
271.6792, ,35.7923,
276.8893,62.3188, ,
282.5388,63.7681, ,
284.1709, ,36.3864,
288.2511,65.2174, ,
289.3182, ,36.9949,
290.6364,63.7681, ,
290.8875, ,37.6067,
290.9503,65.2174, ,
291.9547, ,38.2216,
293.0218, ,38.8395,
293.9634,66.6667, ,
294.34, ,39.4721,
295.6582, ,40.1075,
296.0349,65.2174, ,
296.4115,66.6667, ,
299.4246, ,40.7458,
299.6129,68.1159, ,
301.3078,66.6667, ,
302.3749,68.1159, ,
304.7602, ,41.3867,
305.1997,69.5652, ,
306.6434,68.1159, ,
307.9616,69.5652, ,
310.7864,71.0145, ,
311.7908,69.5652, ,
313.2345, ,42.0423,
313.6112,71.0145, ,
316.3731,71.0145, ,
316.4359, ,42.7005,
319.1979,72.4638, ,
320.2023, ,43.361,
321.2694, ,44.0238,
324.7847,73.913, ,
324.973, ,44.7015,
326.0401, ,45.3812,
326.7306,72.4638, ,
327.17,73.913, ,
330.3714,75.3623, ,
331.6269,73.913, ,
333.1334,75.3623, ,
335.8954,76.8116, ,
336.3348,75.3623, ,
336.7114, ,46.0628,
337.7786, ,46.7461,
338.5318,76.8116, ,
339.9128, ,47.4445,
343.5536, ,48.1445,
344.1186,78.2609, ,
345.8762,76.8116, ,
346.8178,78.2609,48.8457,
348.952, ,49.5482,
349.3915,79.7101, ,
349.517, ,50.266,
350.5841,78.2609, ,
352.1534, ,50.9847,
352.2162,79.7101, ,
353.2206, ,51.7042,
353.3461, ,52.4242,
356.9241, ,53.1601,
357.6774,81.1594, ,
357.9913, ,53.8963,
359.4978,79.7101, ,
359.9372,81.1594, ,
363.0131,82.6087, ,
364.0174,81.1594, ,
365.5867,82.6087, ,
366.5283, ,54.6324,
367.5955, ,55.3683,
369.2276, ,56.1211,
371.048,84.058, ,
371.3618, ,56.8733,
372.8056,82.6087, ,
373.8099,84.058, ,
375.5676, ,57.6246,
376.3836,85.5072, ,
376.823,84.058, ,
379.1456,85.5072, ,
383.6024, ,58.3749,
384.1046, ,59.1434,
384.544,86.9565, ,
385.7367,85.5072, ,
386.8038, ,59.9104,
387.1805,86.9565, ,
392.8928,88.4058, ,
394.211,86.9565, ,
394.2738, ,60.6756,
395.5292,88.4058, ,
398.4795, ,61.4388,
400.8649,89.8551, ,
402.4969,88.4058, ,
403.8152,89.8551, ,
405.4473, ,62.2223,
407.0166, ,63.0032,
409.0253,91.3043, ,
410.7201,89.8551, ,
410.7829, ,63.7813,
412.2267,91.3043, ,
413.9843, ,64.5562,
415.5536, ,65.3545,
416.0558, ,66.149,
417.8134,92.7536, ,
418.6922,91.3043, ,
420.5126,92.7536, ,
422.7724,91.3043, ,
423.2119,92.7536, ,
425.1578, ,66.9394,
427.7942, ,67.7253,
428.8614, ,68.5396,
429.238,94.2029, ,
430.6818,92.7536, ,
431.5606, ,69.3486,
432.1255,94.2029, ,
434.8875, ,70.1518,
437.3984, ,70.9492,
437.8378,95.6522, ,
438.34,94.2029, ,
438.4656, ,71.7834,
440.7254,95.6522, ,
442.1691, ,72.6104,
442.3575,94.2029, ,
442.7341, ,73.4297,
443.6757,95.6522, ,
445.5588, ,74.2411,
446.1866,95.6522, ,
449.5763,97.1014, ,
449.8901,95.6522, ,
450.204, ,75.1062,
452.5266,97.1014, ,
452.8405, ,75.9614,
453.9076,95.6522, ,
455.4769,97.1014, ,
457.6112,95.6522, ,
458.49,97.1014, ,
