Time (min),CLK/CYC_ODE,CYC/CLK_ANIMO,
0,99.3635,32.2222,
4.6452, ,33.3333,
5.0846, ,32.2222,
6.0262, ,32.2222,
7.2816, ,33.3333,
9.7925, ,33.3333,
10.6713, ,34.4444,
10.8596, ,33.3333,
11.299, ,34.4444,
12.5545, ,33.3333,
12.8684, ,34.4444,
13.3078, ,33.3333,
13.7472, ,34.4444,
14.1866, ,35.5556,
14.626, ,34.4444,
15.6931, ,34.4444,
17.1997, ,35.5556,
21.0288, ,36.6667,
22.4098, ,36.6667,
23.4141,99.4711, ,
23.5397, ,35.5556,
23.9163, ,36.6667,
24.2929, ,37.7778,
24.7323, ,36.6667,
25.1718, ,37.7778,
25.5484,99.5701, ,
26.1133, ,36.6667,
27.0549, ,36.6667,
27.4943, ,37.7778,
31.1979, ,38.8889,
35.3409, ,40,
35.7803, ,38.8889,
36.408, ,40,
37.4124, ,38.8889,
37.789, ,41.1111,
38.2284, ,40,
38.9189,99.6603, ,
41.6809, ,41.1111,
42.0575, ,41.1111,
42.6225,99.7409, ,
44.8823, ,42.2222,
46.2005, ,42.2222,
47.5815, ,42.2222,
47.9582,99.8147, ,
48.3976, ,42.2222,
49.4647, ,43.3333,
49.7158, ,42.2222,
50.5946,99.8769, ,
50.7829, ,43.3333,
51.2223, ,42.2222,
51.5362, ,43.3333,
51.9128, ,44.4444,
52.3522, ,43.3333,
53.796,99.927, ,
54.9887, ,44.4444,
58.8178, ,45.5556,
60.7637,99.9644, ,
62.2703, ,46.6667,
62.7097, ,45.5556,
63.0235, ,46.6667,
63.9024,99.9899, ,
64.4045, ,46.6667,
66.1622, ,47.7778,
66.6016, ,46.6667,
67.1037,100, ,
67.6059, ,47.7778,
67.857, ,46.6667,
69.0497, ,47.7778,
70.8701,99.9946, ,
71.435, ,47.7778,
72.565, ,48.8889,
75.2014, ,47.7778,
75.578, ,50,
76.7707, ,48.8889,
77.1473, ,50,
77.5867, ,48.8889,
78.8422, ,48.8889,
79.0305, ,50,
79.9093,99.9735, ,
80.0976, ,48.8889,
80.9765,99.94, ,
82.0436,99.8933, ,
82.8596, ,50,
86.3121, ,51.1111,
86.5632, ,50,
86.8771, ,51.1111,
88.1953, ,51.1111,
89.3252, ,51.1111,
89.5135,99.8337, ,
89.7018, ,52.2222,
90.3923, ,51.1111,
91.0828,99.7614, ,
91.4595, ,52.2222,
91.4595, ,51.1111,
92.8405, ,52.2222,
94.8492,99.6777, ,
96.6696, ,53.3333,
99.306, ,52.2222,
99.6199, ,54.4444,
100.6242, ,53.3333,
100.8126, ,54.4444,
101.8169, ,53.3333,
102.1935, ,54.4444,
102.3191,99.5826, ,
103.9512, ,54.4444,
104.9555,99.4765, ,
106.7132, ,55.5556,
107.592,99.36, ,
110.354, ,55.5556,
110.7934, ,56.6667,
111.3583,99.2497, ,
113.2415, ,55.5556,
113.7437, ,57.7778,
114.1831, ,56.6667,
115.0619,99.1323, ,
115.1874, ,57.7778,
115.5013, ,56.6667,
116.6312, ,57.7778,
117.1962,99.0081, ,
117.9494, ,57.7778,
118.8282,98.8773, ,
119.2677, ,57.7778,
120.7114, ,58.8889,
122.5318,98.7512, ,
124.1011, ,60,
124.415, ,58.8889,
124.7289, ,60,
125.9843, ,60,
127.8675,98.62,61.1111,
128.3069, ,60,
129.1857, ,61.1111,
129.6251, ,60,
130.5667, ,62.2222,
130.9433, ,61.1111,
131.5711,98.484, ,
131.9477, ,61.1111,
134.2703,98.3435, ,
134.3958, ,63.3333,
134.5214, ,62.2222,
137.5972, ,63.3333,
142.619, ,62.2222,
142.9956, ,63.3333,
143.3723, ,62.2222,
143.8745,98.2037, ,
144.565, ,63.3333,
147.578,98.0601, ,
148.2058, ,63.3333,
148.3941, ,64.4444,
149.7751, ,64.4444,
151.0933, ,63.3333,
151.4699, ,65.5556,
151.9093, ,64.4444,
153.0392, ,64.4444,
154.2319, ,64.4444,
154.6713, ,65.5556,
156.1151,97.9127, ,
158.4377, ,66.6667,
159.8187,97.7617, ,
161.0113, ,66.6667,
161.8901, ,66.6667,
161.9529,97.6092, ,
162.8317, ,67.7778,
163.0828, ,66.6667,
164.2127, ,67.7778,
164.7149, ,66.6667,
164.966, ,67.7778,
165.3426, ,68.8889,
165.7193, ,67.7778,
166.2214,97.4534, ,
168.3557, ,68.8889,
170.8038, ,68.8889,
172.6242,97.2946,70,
