Time (min),TIM_ANIMO,TIM_ODE,
0,0,68.3538,
23.4141, ,68.9181,
25.5484, ,69.4807,
38.9189, ,70.0416,
42.6225, ,70.6007,
44.8823,0, ,
47.9582, ,71.1849,
50.5946, ,71.7669,
53.796, ,72.3465,
60.7637, ,72.9235,
63.0235,10, ,
63.9024, ,73.5363,
64.4045,0, ,
67.1037, ,74.1459,
70.8701, ,74.752,
79.9093, ,75.3544,
80.4115,10, ,
80.9765, ,75.9089,
81.667,0, ,
82.0436, ,76.4599,
89.5135, ,77.0072,
91.0828, ,77.5506,
93.8448,10, ,
94.8492,0,78.0862,
102.3191, ,78.6175,
104.9555, ,79.1444,
107.4037,10, ,
107.592, ,79.6668,
107.8431,0, ,
111.3583, ,80.1209,
115.0619, ,80.5712,
117.1962, ,81.0176,
118.8282, ,81.46,
120.272,10, ,
121.653,0, ,
122.5318, ,81.8648,
127.8675, ,82.266,
131.5711, ,82.6635,
133.6425,10, ,
134.2703, ,83.0573,
135.5257,0, ,
143.8745, ,83.4337,
147.578, ,83.8065,
156.1151, ,84.1756,
158.061,10, ,
159.2537,0, ,
159.8187, ,84.5409,
161.9529, ,84.8979,
166.2214, ,85.2511,
168.1046,10, ,
169.0462,0, ,
172.6242, ,85.6005,
175.8256, ,85.946,
178.1482,10, ,
179.4037,0, ,
182.7306, ,86.2876,
183.7977, ,86.6253,
186.4969, ,86.9589,
187.5013, ,87.2886,
188.4429,10, ,
190.3888,0, ,
197.1055, ,87.6167,
200.3069, ,87.9407,
203.5083, ,88.2605,
205.1404, ,88.5761,
207.1491,10, ,
207.2746, ,88.8913,
208.5929,0, ,
210.9782, ,89.2022,
215.8117,10, ,
217.381,0, ,
218.4481, ,89.5088,
223.7838, ,89.8109,
224.5998,10, ,
226.4202, ,90.1133,
226.7969,0, ,
227.4874, ,90.4111,
230.1238, ,90.7043,
233.8274,10, ,
234.3923, ,90.9929,
236.5266, ,91.2819,
237.0915,0, ,
239.728, ,91.566,
242.49,10, ,
243.4316, ,91.8454,
244.5615,0, ,
248.83, ,92.12,
250.3993, ,92.3948,
251.3409,10, ,
252.5963,0, ,
253.6635, ,92.6645,
259.4385,10, ,
261.0706, ,92.9293,
261.1962,0, ,
263.7071, ,93.1892,
266.4063, ,93.4488,
267.4734,10, ,
269.6077, ,93.7032,
270.6748,0, ,
271.6792, ,93.9525,
283.1665,10, ,
284.1709, ,94.1966,
286.4935,0, ,
289.3182, ,94.44,
290.8875, ,94.6781,
291.2014,10, ,
291.9547, ,94.9109,
292.3941,0, ,
293.0218, ,95.1383,
294.34, ,95.3645,
295.6582, ,95.5852,
298.7969,10, ,
299.4246, ,95.8003,
