Time (min),clk_ANIMO,clk_ODE,
0,88.8889,5.4093,
19.8361,94.4444, ,
21.9704,88.8889, ,
23.4141, ,5.6608,
25.5484, ,5.9181,
38.7934,94.4444, ,
38.9189, ,6.1812,
42.6225, ,6.45,
42.748,88.8889, ,
47.9582, ,6.738,
50.5946, ,7.0323,
53.796, ,7.333,
57.1229,94.4444, ,
60.7637, ,7.6399,
63.9024, ,7.9744,
64.279,88.8889, ,
67.1037, ,8.316,
70.8701, ,8.6647,
75.1386,94.4444, ,
79.9093, ,9.0205,
80.9765, ,9.3564,
82.0436, ,9.6984,
84.6173,88.8889, ,
89.5135, ,10.0464,
91.0828, ,10.4005,
94.8492, ,10.758,
102.3191, ,11.1214,
104.3906,83.3333, ,
104.9555, ,11.4906,
107.592, ,11.8658,
109.2241,88.8889, ,
111.3583, ,12.1995,
115.0619, ,12.5377,
117.1962, ,12.8803,
118.8282, ,13.2273,
122.5318, ,13.5517,
124.415,83.3333, ,
124.7289,88.8889, ,
127.8675, ,13.8797,
131.5711, ,14.2115,
134.2703, ,14.547,
140.422,94.4444, ,
143.3095,88.8889, ,
143.8745, ,14.8742,
147.578, ,15.2049,
155.4246,94.4444, ,
156.1151, ,15.5389,
159.8187, ,15.8763,
161.6391,88.8889, ,
161.9529, ,16.2127,
166.2214, ,16.5524,
169.925,94.4444, ,
172.6242, ,16.8952,
175.8256, ,17.2412,
179.4664,88.8889, ,
182.7306, ,17.5904,
183.6094,94.4444, ,
183.7977, ,17.9427,
183.9861,88.8889, ,
186.4969, ,18.2982,
187.5013, ,18.6567,
196.7289,88.8889, ,
197.1055, ,19.0211,
200.3069, ,19.3885,
203.5083, ,19.7591,
205.1404, ,20.1326,
207.2746, ,20.5139,
209.8483,94.4444, ,
210.9782, ,20.8983,
213.1752,88.8889, ,
218.4481, ,21.2856,
222.0889,94.4444, ,
223.7838, ,21.676,
226.4202, ,22.0755,
227.4874, ,22.478,
229.4961,88.8889, ,
230.1238, ,22.8835,
233.8274,94.4444, ,
234.3923, ,23.2919,
236.5266, ,23.7104,
239.728, ,24.1319,
243.4316, ,24.5564,
248.83, ,24.9838,
250.3993, ,25.4219,
253.6635, ,25.863,
256.1744,100, ,
260.129,94.4444, ,
261.0706, ,26.307,
263.7071, ,26.7538,
266.4063, ,27.212,
266.8457,100, ,
269.6077, ,27.673,
271.6792, ,28.1368,
274.8806,94.4444, ,
276.1988,88.8889, ,
277.3287,94.4444, ,
284.1709, ,28.6034,
287.3095,100, ,
288.9416,94.4444, ,
289.3182, ,29.0816,
290.8875, ,29.5626,
291.9547, ,30.0464,
293.0218, ,30.5328,
294.34, ,31.0311,
295.6582, ,31.5321,
297.0392,100, ,
299.4246, ,32.0357,
303.0026,94.4444, ,
304.7602, ,32.5418,
306.5179,100, ,
313.2345, ,33.0601,
316.3731,94.4444, ,
316.4359, ,33.581,
320.2023, ,34.1042,
321.2694, ,34.6299,
324.7219,100, ,
324.973, ,35.168,
326.0401, ,35.7085,
329.116,94.4444, ,
333.4473,100, ,
336.7114, ,36.2512,
337.7786, ,36.7962,
339.9128, ,37.354,
343.5536, ,37.9139,
346.8178, ,38.4759,
348.952, ,39.0399,
349.517, ,39.6174,
352.1534, ,40.1967,
353.2206, ,40.7779,
353.3461, ,41.3607,
354.2877,94.4444, ,
356.9241, ,41.9579,
357.9913, ,42.5567,
358.4307,100, ,
366.5283, ,43.157,
367.0305,94.4444, ,
367.5955, ,43.7587,
369.2276, ,44.3759,
371.3618, ,44.9945,
374.2493,100, ,
375.5676, ,45.6142,
378.0157,94.4444, ,
381.782,100, ,
383.6024, ,46.2349,
384.1046, ,46.8729,
386.8038, ,47.5118,
394.2738, ,48.1515,
398.4795, ,48.7918,
400.3627,94.4444, ,
403.9407,100, ,
405.4473, ,49.4518,
407.0166, ,50.1122,
410.7829, ,50.773,
411.0968,94.4444, ,
413.9843, ,51.4341,
415.5536, ,52.1182,
416.0558, ,52.8023,
417.8134,100, ,
421.9564,94.4444, ,
424.7812,100, ,
425.1578, ,53.4863,
427.7942, ,54.1699,
428.8614, ,54.8821,
431.5606, ,55.5936,
432.3766,94.4444, ,
434.8875, ,56.3043,
437.3984, ,57.0141,
438.34,100, ,
438.4656, ,57.7615,
442.1691, ,58.5076,
