Time (min),cwo_ANIMO,cwo_ODE,
0,25,59.0983,
2.8248,26.1905, ,
5.0846,27.381, ,
9.667,28.5714, ,
13.3078,27.381, ,
13.7472,28.5714, ,
16.007,29.7619, ,
20.5894,30.9524, ,
22.2842,30.9524, ,
23.4141, ,59.8622,
25.5484, ,60.6282,
26.7411,32.1429, ,
28.6242,33.3333, ,
29.8797,32.1429, ,
30.3191,33.3333, ,
31.8256,32.1429, ,
32.2023,33.3333, ,
34.5876,33.3333, ,
36.408,34.5238, ,
38.354,35.7143, ,
38.9189, ,61.396,
41.0532,34.5238, ,
42.1831,35.7143, ,
42.6225, ,62.1653,
43.8779,36.9048, ,
44.3801,35.7143, ,
45.8239,36.9048, ,
47.5815,38.0952, ,
47.9582, ,62.9732,
49.0881,36.9048, ,
50.5946, ,63.782,
51.0968,38.0952, ,
52.7916,39.2857, ,
53.796, ,64.5914,
54.1099,39.2857, ,
56.2441,40.4762, ,
57.374,39.2857, ,
57.8134,40.4762, ,
58.2528,39.2857, ,
59.5711,40.4762, ,
60.7637, ,65.4009,
61.2659,41.6667, ,
63.9024, ,66.2644,
64.4045,42.8571, ,
64.6556,41.6667, ,
66.0366,42.8571, ,
67.041,41.6667, ,
67.1037, ,67.127,
67.4176,42.8571, ,
69.0497,44.0476, ,
70.6818,44.0476, ,
70.8701, ,67.9881,
73.8832,45.2381, ,
74.9503,45.2381, ,
76.959,46.4286, ,
78.4028,46.4286, ,
79.0305,45.2381, ,
79.9093, ,68.8473,
79.9721,46.4286, ,
80.9765, ,69.6407,
81.5414,47.619, ,
82.0436, ,70.4315,
84.4289,48.8095, ,
85.9983,47.619, ,
87.3793,48.8095, ,
89.0113,50, ,
89.5135, ,71.2192,
89.9529,48.8095, ,
90.3923,50, ,
91.0828, ,72.0032,
91.8989,50, ,
94.8492,51.1905,72.7777,
96.3557,52.381, ,
96.7323,51.1905, ,
97.6112,52.381, ,
98.0506,51.1905, ,
99.0549,52.381, ,
101.8169,53.5714, ,
102.3191, ,73.5477,
104.9555, ,74.3128,
106.1482,54.7619, ,
106.5248,53.5714, ,
107.4037,54.7619, ,
107.592, ,75.0726,
108.7847,55.9524, ,
109.7262,55.9524, ,
110.1029,54.7619, ,
111.3583,55.9524,75.734,
114.1831,57.1429, ,
115.0619, ,76.3908,
115.5013,55.9524, ,
116.8195,57.1429, ,
117.1962, ,77.0425,
117.9494,58.3333, ,
118.4516,57.1429, ,
118.8282, ,77.6889,
119.2677,58.3333, ,
120.7114,59.5238, ,
121.1508,57.1429, ,
121.5902,58.3333, ,
122.5318, ,78.2809,
123.2223,59.5238, ,
125.6077,60.7143, ,
126.612,60.7143, ,
126.9259,59.5238, ,
127.8675, ,78.8679,
128.3069,60.7143, ,
129.4368,61.9048, ,
129.8134,60.7143, ,
130.2528,61.9048, ,
131.5711, ,79.4498,
132.701,61.9048, ,
134.2703,63.0952,80.0264,
136.4673,63.0952, ,
138.9782,64.2857, ,
143.8745, ,80.5777,
144,65.4762, ,
145.1299,65.4762, ,
147.578, ,81.1237,
148.8335,66.6667, ,
152.3487,66.6667, ,
153.4159,67.8571, ,
154.6713,67.8571, ,
155.8012,67.8571, ,
156.1151, ,81.6642,
156.9939,69.0476, ,
157.245,67.8571, ,
158.061,69.0476, ,
159.2537,69.0476, ,
159.8187, ,82.1991,
160.4464,69.0476, ,
161.5135,69.0476, ,
161.9529, ,82.7215,
162.7062,70.2381, ,
164.966,70.2381, ,
166.2214, ,83.2381,
167.0375,71.4286, ,
171.6827,72.619, ,
172.6242, ,83.7489,
173.7541,72.619, ,
175.7629,73.8095, ,
175.8256, ,84.2535,
180.0942,75, ,
180.5336,73.8095, ,
180.973,75, ,
182.4795,73.8095, ,
182.7306, ,84.7519,
183.6094,75, ,
183.7977, ,85.2439,
185.5554,76.1905, ,
186.4969, ,85.7295,
186.6225,75, ,
187.5013, ,86.2085,
187.5641,76.1905, ,
189.6356,77.381, ,
191.2677,77.381, ,
193.7786,78.5714, ,
194.1552,77.381, ,
194.5946,78.5714, ,
195.034,77.381, ,
195.4734,78.5714, ,
197.1055, ,86.6843,
197.8588,78.5714, ,
198.8003,79.7619, ,
199.2398,78.5714, ,
199.6792,78.5714, ,
200.3069, ,87.1532,
200.4324,79.7619, ,
202.9433,80.9524, ,
203.32,78.5714, ,
203.5083, ,87.615,
203.6338,79.7619, ,
204.952,80.9524, ,
205.1404, ,88.0697,
205.3915,79.7619, ,
205.7681,80.9524, ,
207.2746, ,88.5225,
207.4629,79.7619, ,
207.8396,80.9524, ,
210.0366,82.1429, ,
210.3505,80.9524, ,
210.6016,82.1429, ,
210.9782, ,88.9677,
211.1037,80.9524, ,
213.1125,82.1429, ,
217.0044,83.3333, ,
217.381,82.1429, ,
217.8204,83.3333, ,
218.4481, ,89.4053,
218.8875,82.1429, ,
219.7663,83.3333, ,
221.7751,84.5238, ,
222.2145,83.3333, ,
223.4699,84.5238, ,
223.7838,83.3333,89.835,
