Time (min),per_ANIMO,per_ODE,
0,29.4118,96.5035,
7.2816,35.2941, ,
13.9983,35.2941, ,
21.0288,41.1765, ,
23.4141, ,96.7311,
25.5484, ,96.9531,
27.0549,35.2941, ,
27.4943,41.1765, ,
33.9599,47.0588, ,
38.354,41.1765, ,
38.9189, ,97.1694,
40.2371,47.0588, ,
42.6225, ,97.3796,
45.8867,52.9412, ,
47.9582, ,97.5933,
49.0881,47.0588, ,
50.5946, ,97.7999,
53.796, ,97.9991,
57.2485,52.9412, ,
59.0061,47.0588, ,
60.7637, ,98.1905,
62.3958,52.9412, ,
63.9024, ,98.3858,
67.1037, ,98.5715,
67.6059,58.8235, ,
68.7358,52.9412, ,
70.8701, ,98.7473,
72.565,58.8235, ,
79.9093, ,98.9126,
80.9765, ,99.0562,
82.0436, ,99.1902,
82.483,64.7059, ,
85.9355,58.8235, ,
87.1909,64.7059, ,
89.5135, ,99.3146,
91.0828, ,99.429,
93.4682,58.8235, ,
94.8492, ,99.5325,
96.4813,64.7059, ,
102.3191, ,99.6258,
104.9555, ,99.7089,
105.4577,70.5882, ,
107.592, ,99.7816,
107.8431,64.7059, ,
109.9146,70.5882, ,
111.3583, ,99.8368,
113.932,76.4706, ,
114.2459,70.5882, ,
115.0619, ,99.8839,
117.1962, ,99.923,
117.9494,76.4706, ,
118.8282, ,99.9541,
121.1508,70.5882, ,
122.1552,76.4706, ,
122.5318, ,99.9757,
127.2398,70.5882, ,
127.8675, ,99.9905,
130.4412,76.4706, ,
131.5711, ,99.9986,
133.2659,70.5882, ,
134.2703, ,100,
134.3958,76.4706, ,
138.0994,82.3529, ,
138.476,76.4706, ,
142.2424,82.3529, ,
143.8745, ,99.9951,
144.3139,76.4706, ,
146.0087,82.3529, ,
147.578, ,99.984,
153.667,88.2353, ,
154.9852,82.3529, ,
156.1151, ,99.9669,
159.8187, ,99.9438,
160.1325,76.4706, ,
161.1997,82.3529, ,
161.9529, ,99.9151,
166.2214, ,99.8808,
168.3557,88.2353, ,
169.7367,82.3529, ,
172.0593,88.2353, ,
172.6242, ,99.8408,
174.5074,82.3529, ,
175.6373,88.2353, ,
175.8256, ,99.7953,
182.4795,94.1176, ,
182.7306, ,99.7443,
183.4211,88.2353, ,
183.7977, ,99.6879,
186.4969, ,99.6261,
187.5013, ,99.5591,
187.8152,82.3529, ,
189.2589,88.2353, ,
195.9756,88.2353, ,
197.1055, ,99.4864,
199.3653,94.1176, ,
200.3069, ,99.4084,
200.4324,88.2353, ,
202.5039,94.1176, ,
203.5083, ,99.3254,
204.5126,88.2353, ,
205.1404, ,99.2373,
205.8936,94.1176, ,
207.2746, ,99.1431,
208.5929,88.2353, ,
208.9695,94.1176, ,
210.9782, ,99.0439,
214.1796,88.2353, ,
215.4978,94.1176, ,
215.8117,88.2353, ,
218.4481, ,98.9398,
218.5737,94.1176, ,
219.8919,88.2353, ,
221.7751,94.1176, ,
223.4699,88.2353, ,
223.7838, ,98.8308,
224.7254,94.1176, ,
226.4202, ,98.7153,
227.1735,88.2353, ,
227.4874,94.1176,98.5949,
230.1238, ,98.4698,
234.3923, ,98.3401,
236.5266, ,98.2033,
236.8405,100, ,
237.2799,94.1176, ,
239.728, ,98.0619,
239.9163,100, ,
240.9834,88.2353, ,
242.8038,94.1176, ,
243.4316, ,97.9158,
244.3731,88.2353, ,
245.7541,94.1176, ,
247.6373,88.2353, ,
248.7044,94.1176, ,
248.83, ,97.7652,
250.3993, ,97.6073,
250.9015,88.2353, ,
251.3409,94.1176, ,
253.6635, ,97.4447,
254.1029,94.1176, ,
261.0706, ,97.2777,
263.7071, ,97.1063,
265.9041,100, ,
266.3435,94.1176, ,
266.4063, ,96.9271,
269.6077,88.2353,96.7436,
271.4281,94.1176, ,
271.6792, ,96.5556,
272.6207,88.2353, ,
274.2528,94.1176, ,
275.5711,88.2353, ,
277.0776,94.1176, ,
278.3958,88.2353, ,
279.7768,94.1176, ,
281.4717,88.2353, ,
282.5388,94.1176, ,
284.1709, ,96.3633,
284.2964,88.2353, ,
285.3008,94.1176, ,
287.184,88.2353, ,
287.5606,94.1176, ,
289.3182, ,96.163,
290.0087,88.2353, ,
290.4481,94.1176, ,
290.8875, ,95.9583,
291.9547, ,95.7494,
292.7079,88.2353, ,
293.0218,94.1176,95.5362,
294.34, ,95.3147,
295.5327,88.2353, ,
295.6582, ,95.0889,
295.9093,94.1176, ,
297.0392,88.2353, ,
298.1691,82.3529, ,
298.6085,88.2353, ,
299.4246, ,94.8589,
300.8684,82.3529, ,
301.3078,88.2353, ,
303.5048,82.3529, ,
303.8187,88.2353, ,
304.7602, ,94.6248,
306.204,82.3529, ,
306.6434,88.2353, ,
308.8405,82.3529, ,
309.2799,88.2353, ,
311.3514,82.3529, ,
311.7908,88.2353, ,
313.2345, ,94.382,
313.7995,82.3529, ,
314.6783,88.2353, ,
316.3731,82.3529, ,
316.4359, ,94.135,
317.3775,88.2353, ,
318.8213,82.3529, ,
320.0139,88.2353, ,
320.2023, ,93.8838,
321.2694, ,93.6286,
321.5205,82.3529, ,
322.6504,88.2353, ,
323.9058,82.3529, ,
324.973, ,93.3644,
325.1613,88.2353, ,
326.0401, ,93.096,
326.5423,82.3529, ,
328.9904,76.4706, ,
330.3714,82.3529, ,
331.3758,76.4706, ,
333.0078,82.3529, ,
333.4473,76.4706, ,
335.456,82.3529, ,
335.8954,76.4706, ,
336.7114, ,92.8235,
337.7786, ,92.547,
338.0924,82.3529, ,
338.5318,76.4706, ,
339.9128, ,92.261,
340.5405,82.3529, ,
340.9172,76.4706, ,
343.1142,76.4706, ,
343.5536, ,91.9708,
346.8178, ,91.6767,
348.952, ,91.3785,
349.517, ,91.0702,
352.1534, ,90.7578,
352.8439,76.4706, ,
353.2206, ,90.4415,
353.3461, ,90.1211,
355.1665,70.5882, ,
355.6059,76.4706, ,
356.9241, ,89.7898,
357.4891,70.5882, ,
357.9285,76.4706, ,
357.9913, ,89.4544,
359.8117,70.5882, ,
360.7533,76.4706, ,
362.0715,70.5882, ,
364.3313,64.7059, ,
365.5867,70.5882, ,
366.5283, ,89.115,
366.5911,64.7059, ,
367.5955, ,88.7717,
368.1604,70.5882, ,
368.5998,64.7059, ,
369.2276, ,88.4163,
371.3618, ,88.0568,
375.5676, ,87.6934,
379.8989,58.8235, ,
380.3383,64.7059, ,
382.0331,58.8235, ,
383.1003,64.7059, ,
383.6024, ,87.3259,
384.1046, ,86.9449,
384.2302,58.8235, ,
385.4856,64.7059, ,
385.925,58.8235, ,
386.8038, ,86.5597,
387.9965,64.7059, ,
388.3104,58.8235, ,
394.2738, ,86.1706,
394.7759,52.9412, ,
395.1526,58.8235, ,
396.9102,52.9412, ,
397.9146,58.8235, ,
398.4795, ,85.7775,
398.9817,52.9412, ,
400.3627,58.8235, ,
400.8021,52.9412, ,
405.4473, ,85.3686,
407.0166, ,84.9557,
407.1421,47.0588, ,
407.5815,52.9412, ,
409.0253,47.0588, ,
410.218,52.9412, ,
410.7829, ,84.5387,
411.0968,47.0588, ,
412.6661,52.9412, ,
412.9799,47.0588, ,
413.9843, ,84.1176,
415.2398,41.1765, ,
415.5536, ,83.6778,
416.0558, ,83.2338,
419.32,35.2941, ,
419.6966,41.1765, ,
421.3915,35.2941, ,
422.6469,41.1765, ,
423.0863,35.2941, ,
425.1578, ,82.7856,
427.7942, ,82.3334,
428.8614, ,81.8578,
429.3636,29.4118, ,
429.803,35.2941, ,
431.3095,29.4118, ,
431.5606, ,81.3778,
432.565,35.2941, ,
433.0044,29.4118, ,
434.8875, ,80.8937,
437.0218,23.5294, ,
437.3984, ,80.4053,
437.4612,29.4118, ,
438.4656, ,79.8857,
439.2188,23.5294, ,
440.4115,29.4118, ,
440.8509,23.5294, ,
442.1691, ,79.3617,
442.7341, ,78.8332,
445.1194,23.5294, ,
445.5588, ,78.3004,
447.0654,17.6471, ,
448.1325,23.5294, ,
449.0741,17.6471, ,
450.204, ,77.7214,
452.8405, ,77.1375,
452.966,11.7647, ,
453.4054,17.6471, ,
454.8492,11.7647, ,
456.1046,17.6471, ,
456.544,11.7647, ,
460.3104, ,76.5489,
460.6242,5.8824, ,
461.0636,11.7647, ,
462.5702,5.8824, ,
466.3365,0, ,
466.7759,5.8824, ,
468.2197,0, ,
469.4752,5.8824, ,
469.9146,0, ,
470.9817, ,75.9556,
472.3627,5.8824, ,
473.932,0, ,
475.0619,5.8824, ,
475.4385,0, ,
477.8867,5.8824, ,
478.075, ,75.2767,
479.456, ,74.592,
479.7071,0, ,
480.4603,5.8824, ,
480.5231, ,73.9018,
481.5902,0, ,
484.2895, ,73.2062,
486.2354,5.8824, ,
487.3653,0, ,
487.7419, ,72.4524,
490.1273, ,71.6927,
492.0105,5.8824, ,
492.2616, ,70.9273,
493.0148,0, ,
493.8936, ,70.1565,
495.0235,5.8824, ,
495.4629, ,70.0776,
496.7184,0, ,
497.9111,5.8824, ,
498.3505,0, ,
498.7271, ,69.9987,
500.7986, ,69.9197,
501.1752,5.8824, ,
502.3679,0, ,
504.3139,5.8824, ,
506.1343,0, ,
507.3897,5.8824, ,
507.8291,0, ,
510.5911,5.8824, ,
511.7838,0, ,
513.0392, ,69.8406,
513.918,5.8824, ,
515.4874,0, ,
516.8056, ,69.7615,
517.8727, ,69.6824,
520.4464, ,69.6032,
520.5092,5.8824, ,
520.823,0, ,
521.5763, ,69.5239,
522.6434, ,69.1268,
524.0244,5.8824, ,
524.7777, ,68.7284,
524.966,0, ,
527.4141, ,68.3288,
527.5397,5.8824, ,
528.8579,0, ,
531.1177,5.8824, ,
532.687,0, ,
534.3819, ,67.9279,
534.7585,5.8824, ,
535.9512, ,67.8942,
536.5789,0, ,
538.0854, ,67.8606,
538.5248,5.8824, ,
539.1526, ,67.8269,
540.2197, ,67.7932,
540.408,0, ,
541.4124, ,67.7866,
542.1029,5.8824, ,
544.0488,0, ,
546.3714,5.8824, ,
548.0663,0, ,
549.2589, ,67.78,
550.3261,5.8824, ,
552.0209,0, ,
553.0253, ,67.7733,
554.0924, ,67.7667,
554.7829,5.8824, ,
555.9128,0, ,
557.796, ,67.7663,
559.2398,5.8824, ,
559.6792,0, ,
561.4996, ,67.7658,
562.0017, ,67.7654,
562.0645, ,67.7649,
562.5667, ,67.7646,
564.0105,5.8824, ,
564.701, ,67.7642,
565.7681, ,67.7639,
565.8309,0, ,
567.9024, ,67.7635,
568.7812,5.8824, ,
569.7855,0, ,
574.3051, ,67.7632,
574.4307,5.8824, ,
575.3723, ,67.7628,
575.8117,0, ,
578.0715, ,67.7625,
580.2058,5.8824, ,
582.0262,0, ,
582.5911, ,67.7621,
587.048,5.8824, ,
588.3034,0, ,
588.68, ,67.7604,
591.3793, ,67.7586,
591.8814, ,67.7569,
594.8317,5.8824, ,
596.7777,0, ,
598.2842, ,67.7551,
603.9965,5.8824, ,
605.5658,0, ,
607.3235, ,67.7464,
612.6591, ,67.7376,
615.4839, ,67.7289,
617.7437,5.8824, ,
618.5597, ,67.7201,
619.3758,0, ,
625.4647, ,67.6764,
627.599, ,67.6326,
628.9172, ,67.5889,
629.7332, ,67.5451,
632.9346, ,67.3259,
638.7724, ,67.1065,
640.6556, ,66.8867,
642.5388, ,66.6665,
644.1081, ,66.2654,
645.6774, ,65.8633,
649.4438, ,65.4601,
649.9459, ,65.056,
653.1473, ,64.6376,
656.3487, ,64.2182,
660.1151, ,63.7978,
661.6844, ,63.3765,
665.1369, ,62.919,
669.6565, ,62.4604,
670.7236, ,62.0008,
671.2886, ,61.5403,
673.4228, ,61.0352,
682.4621, ,60.5292,
683.5292, ,60.0222,
690.4342, ,59.5142,
693.6356, ,58.945,
695.2677, ,58.3747,
697.4019, ,57.8035,
697.9041, ,57.2315,
706.9433, ,56.5646,
708.5754, ,55.8967,
719.2467, ,55.2281,
719.7489, ,54.5589,
721.8832, ,53.7041,
722.6364, ,52.8487,
723.5153, ,51.993,
724.5824, ,51.1373,
727.2188, ,50.2844,
729.8553, ,49.432,
731.4874, ,48.5803,
735.7559, ,47.7297,
738.3923, ,46.8814,
739.2084, ,46.0346,
742.1587, ,45.1895,
745.3601, ,44.3464,
747.9965, ,43.6678,
751.1979, ,42.9907,
753.3322, ,42.3153,
755.4664, ,41.6417,
755.4664, ,41.0523,
757.0357, ,40.4645,
760.8021, ,39.8784,
763.4385, ,39.294,
765.5728, ,38.7503,
765.5728, ,38.2083,
767.2049, ,37.6679,
769.2764, ,37.1294,
777.3112, ,36.6171,
778.3784, ,36.1065,
780.5126, ,35.5977,
782.6469, ,35.0908,
785.8483, ,34.603,
786.8527, ,34.1171,
788.9869, ,33.633,
794.3226, ,33.1508,
800.9765, ,32.6835,
802.8596, ,32.2182,
804.4917, ,31.7547,
806.626, ,31.2931,
807.6931, ,30.8436,
809.2624, ,30.3961,
809.7646, ,29.9505,
817.2345, ,29.5068,
821.0009, ,29.0732,
827.9058, ,28.6416,
829.5379, ,28.212,
830.5423, ,27.7843,
831.6094, ,27.3652,
834.3086, ,26.9481,
842.2807, ,26.533,
843.9128, ,26.12,
852.4499, ,25.7143,
854.0192, ,25.3107,
855.5885, ,24.9091,
857.7228, ,24.5096,
863.6234, ,24.1166,
867.3269, ,23.7256,
868.3941, ,23.3367,
870.5283, ,22.9499,
874.2319, ,22.5688,
877.9983, ,22.1899,
882.769, ,21.813,
884.9032, ,21.4384,
888.6696, ,21.0688,
891.871, ,20.7013,
893.4403, ,20.3361,
896.0767, ,19.973,
898.211, ,19.6145,
899.2781, ,19.2583,
903.0445, ,18.9042,
903.9233, ,18.5524,
911.0166, ,18.2048,
914.218, ,17.8594,
916.7289, ,17.5163,
917.4194, ,17.1755,
918.4865, ,16.8385,
920.0558, ,16.5039,
920.6207, ,16.1715,
921.6879, ,15.8415,
923.8221, ,15.5151,
927.5257, ,15.1911,
930.0366, ,14.8695,
932.3592, ,14.5502,
933.9285, ,14.2344,
937.6321, ,13.9211,
941.3984, ,13.6101,
943.3444, ,13.3015,
945.102, ,13.2833,
948.3034, ,13.2651,
952.0697, ,13.2469,
952.5719, ,13.2288,
953.6391, ,13.2258,
955.7733, ,13.2228,
956.6521, ,13.2199,
958.9747, ,13.2169,
962.1761, ,13.2149,
964.3104, ,13.2129,
966.9468, ,13.211,
973.3496, ,13.209,
976.551, ,13.207,
977.0532, ,13.2051,
978.1203, ,13.2031,
