Time (min),CRY_ANIMO,CRY_ODE,
0,81.4815,65.1737,
18.7345, ,64.768,
20.4423, ,64.3609,
22.8,77.7778, ,
31.1406, ,63.9522,
34.1039, ,63.542,
38.3733, ,63.1104,
40.4827, ,62.6772,
43.0443, ,62.2425,
44.58,74.0741, ,
48.6194, ,61.8062,
51.1308, ,61.339,
53.6923, ,60.8701,
56.706, ,60.3995,
63.9386, ,59.9272,
64.7925, ,59.4883,
65,70.3704, ,
65.6463, ,59.0481,
71.6233, ,58.6065,
72.8789, ,58.1636,
75.8926, ,57.7225,
81.8696, ,57.28,
83.979, ,56.8364,
85,66.6667, ,
86.0886, ,56.3915,
89.1022, ,56.0004,
92.0656, ,55.6083,
93.7733, ,55.2154,
95.0791, ,54.8215,
98.0425, ,54.4571,
102.3118, ,54.0919,
104.4,62.963, ,
105.2752, ,53.726,
107.435, ,53.3594,
115.1197, ,53.0048,
118.083, ,52.6496,
122.4,59.2593, ,
124.9139, ,52.2938,
127.8773, ,51.9373,
129.5849, ,51.5847,
133.0003, ,51.2315,
138.1234, ,50.8777,
140.02,55.5556, ,
140.685, ,50.5233,
146.21, ,50.1684,
147.0638, ,49.813,
149.2235, ,49.4569,
150.0272, ,49.1003,
156.76,51.8519, ,
157.7119, ,48.7405,
160.2735, ,48.3801,
162.835, ,48.0192,
164.1409, ,47.6577,
165.8486, ,47.2912,
168.812, ,46.9242,
173.46,48.1481, ,
174.789, ,46.5567,
179.0583, ,46.1887,
181.1678, ,45.8145,
182.0217, ,45.4398,
184.1312, ,45.0646,
187.5465, ,44.6889,
189.2543, ,44.3062,
191.6,44.4444, ,
191.8159, ,43.923,
194.7792, ,43.5394,
199.0987, ,43.1553,
200.3544, ,42.7637,
202.9662, ,42.3716,
208.8929, ,41.9791,
211.0025, ,41.5862,
211.12,40.7407, ,
213.1622, ,41.1854,
215.7238, ,40.7842,
217.3813, ,40.3825,
227.3764, ,39.9805,
231.4949, ,39.5704,
232.64,37.037, ,
232.7506, ,39.1599,
233.6045, ,38.749,
234.4583, ,38.3377,
235.5131, ,37.9182,
236.5678, ,37.4983,
239.5815, ,37.0781,
243.8507, ,36.6574,
250.6313, ,36.2285,
253.1929, ,35.7991,
255.68,33.3333, ,
256.2065, ,35.3695,
257.0603, ,34.9395,
260.0237, ,34.5009,
260.8776, ,34.0619,
269.4161, ,33.6227,
270.27, ,33.1832,
271.9777, ,32.7347,
274.8908, ,32.286,
277.5026, ,31.837,
279.2103, ,31.3877,
279.6624, ,30.9289,
281.14,29.6296, ,
281.7719, ,30.47,
282.6258, ,30.0107,
282.7262, ,29.5513,
285.5891, ,29.0817,
286.443, ,28.6118,
293.2738, ,28.1418,
294.1277, ,27.6716,
295.4336, ,27.1902,
297.1413, ,26.7086,
300.5065, ,26.2268,
306.9354, ,25.745,
307.3373, ,25.2504,
309.12,25.9259, ,
309.497, ,24.7557,
315.4741, ,24.2609,
318.8392, ,23.7661,
324.4144, ,23.2565,
325.6701, ,22.7468,
328.6836, ,22.2371,
331.2452, ,21.7273,
332.5009, ,21.1998,
332.9027, ,20.6724,
