Time (min),CRY,
0,34,
22.8,33,
44.4,32,
65,31,
85,30,
104.4,29,
122.4,28,
140.4,27,
157.36,26,
173.46,25,
192.32,24,
211.12,23,
232.962,22,
255.68,21,
281.852,20,
309.768,19,
340.996,18,
376.004,17,
414.12,16,
458.804,15,
508.12,14,
565.52,13,
632.12,12,
735.364,13,
762.026,14,
779.42,15,
792.08,16,
802.442,17,
811.582,18,
819.484,19,
826.894,20,
834.044,21,
840.796,22,
848.392,23,
856.832,24,
865.272,25,
874.556,26,
883.062,27,
893.764,28,
905.284,29,
916.804,30,
929.582,31,
944.262,32,
960.862,33,
980.002,34,
1002.602,35,
1030.402,36,
1067.002,37,
1120.802,38,
1224.402,39,
1426.812,38,
1488.012,37,
1526.012,36,
1558.212,35,
1586.612,34,
1612.812,33,
1636.812,32,
1659.412,31,
1680.612,30,
1700.532,29,
1719.592,28,
1737.732,27,
1754.932,26,
1772.492,25,
1789.772,24,
1809.948,23,
1830.834,22,
1854.746,21,
1879.934,20,
1907.916,19,
1939.532,18,
1974.092,17,
2012.3,16,
2056.3,15,
2106.3,14,
2163.7,13,
2231.22,12,
2338.58,13,
2365.24,14,
2382.64,15,
2395.3,16,
2405.66,17,
2414.8,18,
2422.7,19,
2430.1,20,
2437.26,21,
2444,22,
2451.6,23,
2460.04,24,
2468.48,25,
2477.76,26,
2486.28,27,
2496.98,28,
2508.5,29,
2520.02,30,
2532.8,31,
2547.48,32,
2564.08,33,
2583.22,34,
2605.82,35,
2633.62,36,
2670.22,37,
2724.02,38,
2827.62,39,
3030.02,38,
3091.22,37,
3129.22,36,
3161.42,35,
3189.82,34,
3216.02,33,
3240.02,32,
3262.62,31,
3283.82,30,
3303.74,29,
3322.8,28,
3340.94,27,
3358.14,26,
3375.7,25,
3392.98,24,
3413.16,23,
3434.04,22,
3457.96,21,
3483.14,20,
3511.12,19,
3542.74,18,
3577.3,17,
3615.5,16,
3659.5,15,
3709.5,14,
3766.9,13,
3834.42,12,
3941.78,13,
3968.44,14,
3985.84,15,
3998.5,16,
4008.86,17,
4018,18,
4025.9,19,
4033.32,20,
4040.46,21,
4047.22,22,
4054.82,23,
4063.26,24,
4071.7,25,
4080.98,26,
4089.48,27,
4100.18,28,
4111.7,29,
4123.22,30,
4136,31,
4150.68,32,
4167.28,33,
4186.42,34,
4209.02,35,
4236.82,36,
4273.42,37,
4320,37,
