Time (min),CRY
0,81.4814814815
22.8,77.7777777778
44.4,74.0740740741
65,70.3703703704
85,66.6666666667
104.4,62.962962963
122.4,59.2592592593
140.4,55.5555555556
157.36,51.8518518519
173.46,48.1481481481
192.32,44.4444444444
211.12,40.7407407407
232.962,37.037037037
255.68,33.3333333333
281.852,29.6296296296
309.768,25.9259259259
340.996,22.2222222222
376.004,18.5185185185
414.12,14.8148148148
458.804,11.1111111111
508.12,7.4074074074
565.52,3.7037037037
632.12,0
735.364,3.7037037037
762.026,7.4074074074
779.42,11.1111111111
792.08,14.8148148148
802.442,18.5185185185
811.582,22.2222222222
819.484,25.9259259259
826.894,29.6296296296
834.044,33.3333333333
840.796,37.037037037
848.392,40.7407407407
856.832,44.4444444444
865.272,48.1481481481
874.556,51.8518518519
883.062,55.5555555556
893.764,59.2592592593
905.284,62.962962963
916.804,66.6666666667
929.582,70.3703703704
944.262,74.0740740741
960.862,77.7777777778
980.002,81.4814814815
1002.602,85.1851851852
1030.402,88.8888888889
1067.002,92.5925925926
1120.802,96.2962962963
1224.402,100
1426.812,96.2962962963
1488.012,92.5925925926
1526.012,88.8888888889
1558.212,85.1851851852
1586.612,81.4814814815
1612.812,77.7777777778
1636.812,74.0740740741
1659.412,70.3703703704
1680.612,66.6666666667
1700.532,62.962962963
1719.592,59.2592592593
1737.732,55.5555555556
1754.932,51.8518518519
1772.492,48.1481481481
1789.772,44.4444444444
1809.948,40.7407407407
1830.834,37.037037037
1854.746,33.3333333333
1879.934,29.6296296296
1907.916,25.9259259259
1939.532,22.2222222222
1974.092,18.5185185185
2012.3,14.8148148148
2056.3,11.1111111111
2106.3,7.4074074074
2163.7,3.7037037037
2231.22,0
2338.58,3.7037037037
2365.24,7.4074074074
2382.64,11.1111111111
2395.3,14.8148148148
2405.66,18.5185185185
2414.8,22.2222222222
2422.7,25.9259259259
2430.1,29.6296296296
2437.26,33.3333333333
2444,37.037037037
2451.6,40.7407407407
2460.04,44.4444444444
2468.48,48.1481481481
2477.76,51.8518518519
2486.28,55.5555555556
2496.98,59.2592592593
2508.5,62.962962963
2520.02,66.6666666667
2532.8,70.3703703704
2547.48,74.0740740741
2564.08,77.7777777778
2583.22,81.4814814815
2605.82,85.1851851852
2633.62,88.8888888889
2670.22,92.5925925926
2724.02,96.2962962963
2827.62,100
3030.02,96.2962962963
3091.22,92.5925925926
3129.22,88.8888888889
3161.42,85.1851851852
3189.82,81.4814814815
3216.02,77.7777777778
3240.02,74.0740740741
3262.62,70.3703703704
3283.82,66.6666666667
3303.74,62.962962963
3322.8,59.2592592593
3340.94,55.5555555556
3358.14,51.8518518519
3375.7,48.1481481481
3392.98,44.4444444444
3413.16,40.7407407407
3434.04,37.037037037
3457.96,33.3333333333
3483.14,29.6296296296
3511.12,25.9259259259
3542.74,22.2222222222
3577.3,18.5185185185
3615.5,14.8148148148
3659.5,11.1111111111
3709.5,7.4074074074
3766.9,3.7037037037
3834.42,0
3941.78,3.7037037037
3968.44,7.4074074074
3985.84,11.1111111111
3998.5,14.8148148148
4008.86,18.5185185185
4018,22.2222222222
4025.9,25.9259259259
4033.32,29.6296296296
4040.46,33.3333333333
4047.22,37.037037037
4054.82,40.7407407407
4063.26,44.4444444444
4071.7,48.1481481481
4080.98,51.8518518519
4089.48,55.5555555556
4100.18,59.2592592593
4111.7,62.962962963
4123.22,66.6666666667
4136,70.3703703704
4150.68,74.0740740741
4167.28,77.7777777778
4186.42,81.4814814815
4209.02,85.1851851852
4236.82,88.8888888889
4273.42,92.5925925926
4320,92.5925925926
