Time (min),CYC/CLK_ANIMO,CYC/CLK_ODE,
0,100,99.3635,
18.7345, ,99.4711,
20.4423, ,99.5701,
31.1406, ,99.6603,
34.1039, ,99.7409,
38.3733, ,99.8147,
40.4827, ,99.8769,
43.0443, ,99.927,
48.6194, ,99.9644,
51.1308, ,99.9899,
53.6923, ,100,
56.706, ,99.9946,
60.2,94.4444, ,
63.9386, ,99.9735,
64.7925, ,99.94,
65.6463, ,99.8933,
71.6233, ,99.8337,
72.8789, ,99.7614,
75.8926, ,99.6777,
81.8696, ,99.5826,
83.979, ,99.4765,
86.0886, ,99.36,
89.1022, ,99.2497,
92.0656, ,99.1323,
93.7733, ,99.0081,
95.0791, ,98.8773,
98.0425, ,98.7512,
101.4,88.8889, ,
102.3118, ,98.62,
105.2752, ,98.484,
107.435, ,98.3435,
115.1197, ,98.2037,
118.083, ,98.0601,
124.9139, ,97.9127,
127.2,83.3333, ,
127.8773, ,97.7617,
129.5849, ,97.6092,
133.0003, ,97.4534,
138.1234, ,97.2946,
140.685, ,97.1326,
146.21, ,96.9677,
147.0638, ,96.8,
149.2235, ,96.6294,
150.0272, ,96.4561,
157.7119, ,96.2788,
160.2735, ,96.0989,
162.835, ,95.9163,
164.1409, ,95.7313,
165.8486, ,95.5413,
168.812, ,95.3489,
174.789, ,95.154,
179.0583, ,94.9566,
181.1678, ,94.7537,
182.0217, ,94.5484,
184.1312, ,94.3406,
187.5465, ,94.1305,
189.2543, ,93.9142,
191.8159, ,93.6955,
194.44,77.7778, ,
194.7792, ,93.4744,
199.0987, ,93.2509,
200.3544, ,93.0209,
202.9662, ,92.7884,
208.8929, ,92.5534,
211.0025, ,92.316,
213.1622, ,92.0716,
215.7238, ,91.8248,
217.3813, ,91.5754,
227.3764, ,91.3235,
228.64,72.2222, ,
231.4949, ,91.0643,
232.7506, ,90.8025,
233.6045, ,90.5382,
234.4583, ,90.2713,
235.5131, ,89.9967,
236.5678, ,89.7194,
239.5815, ,89.4395,
243.8507, ,89.1569,
250.6313, ,88.8662,
253.1929, ,88.5728,
256.2065, ,88.2766,
257.0603, ,87.9777,
260.0237, ,87.6702,
260.8776, ,87.3599,
261.546,66.6667, ,
269.4161, ,87.0467,
270.27, ,86.7307,
271.9777, ,86.4056,
274.8908, ,86.0775,
277.5026, ,85.7464,
279.2103, ,85.4124,
279.6624, ,85.0686,
281.7719, ,84.7217,
282.6258, ,84.3717,
282.7262, ,84.0187,
285.5891, ,83.6549,
286.443, ,83.2879,
293.2738, ,82.9177,
294.1277, ,82.5444,
294.692,61.1111, ,
295.4336, ,82.159,
297.1413, ,81.7704,
300.5065, ,81.3785,
306.9354, ,80.9833,
307.3373, ,80.5744,
309.497, ,80.1621,
315.4741, ,79.7464,
318.8392, ,79.3273,
324.4144, ,78.8923,
325.6701, ,78.4537,
328.6836, ,78.0116,
331.2452, ,77.566,
332.5009, ,77.1012,
332.9027, ,76.6327,
335.088,55.5556, ,
340.1856, ,76.1605,
342.2951, ,75.6846,
343.149, ,75.1848,
345.3087, ,74.681,
347.9707, ,74.1734,
349.9798, ,73.662,
350.8337, ,73.1184,
353.797, ,72.5707,
354.2491, ,72.0189,
356.5092, ,71.463,
360.226, ,70.8595,
362.24,50, ,
362.3356, ,70.2514,
368.3125, ,69.6388,
376.8511, ,69.0218,
382.5267, ,68.3162,
383.6317, ,67.6052,
384.4855, ,66.8889,
386.38,44.4444, ,
387.4992, ,66.1674,
390.2616, ,65.3861,
392.1702, ,64.5991,
393.878, ,63.8066,
395.1838, ,63.0089,
396.4395, ,62.9273,
399.0513, ,62.8456,
400.7088, ,62.7639,
410.5029, ,62.6821,
413.5166, ,62.6003,
414.3704, ,62.5184,
416.4297, ,62.4365,
417.3338, ,62.3545,
418.1876, ,61.9438,
419.8954, ,61.5319,
422.0049, ,61.1188,
427.26,38.8889, ,
427.5801, ,60.7045,
428.8357, ,60.6697,
430.5434, ,60.6349,
431.3973, ,60.6001,
432.2511, ,60.5653,
433.2055, ,60.5585,
439.4838, ,60.5516,
442.4974, ,60.5448,
443.3512, ,60.5379,
446.3146, ,60.5374,
449.278, ,60.537,
449.6798, ,60.5365,
449.73, ,60.5361,
450.1319, ,60.5357,
451.8396, ,60.5353,
452.6934, ,60.535,
454.4012, ,60.5346,
459.5242, ,60.5342,
460.3781, ,60.5339,
462.5379, ,60.5335,
466.1542, ,60.5332,
471.0261, ,60.5314,
473.186, ,60.5295,
473.5877, ,60.5277,
478.7108, ,60.5259,
485.9435, ,60.5169,
490.2128, ,60.5079,
492.473, ,60.4988,
494.9341, ,60.4898,
500.459, ,60.4446,
502.1668, ,60.3994,
503.2215, ,60.3542,
503.8744, ,60.3089,
506.436, ,60.0825,
511.1071, ,59.8558,
512.6139, ,59.6287,
514.1207, ,59.4014,
515.3764, ,58.9872,
516.632, ,58.572,
519.6457, ,58.1558,
520.0474, ,57.7387,
522.609, ,57.3069,
525.1705, ,56.8742,
528.1842, ,56.4406,
528.26,33.3333, ,
529.4398, ,56.0061,
532.2023, ,55.5342,
535.8186, ,55.0614,
536.6725, ,54.5877,
537.1245, ,54.113,
538.8322, ,53.5926,
546.0649, ,53.0713,
546.9187, ,52.5491,
552.4437, ,52.026,
555.0053, ,51.4399,
556.3112, ,50.8529,
558.0188, ,50.2651,
558.4207, ,49.6766,
560.26,27.7778, ,
565.6533, ,48.9905,
566.9592, ,48.3038,
575.4977, ,47.6164,
575.8996, ,46.9286,
577.6073, ,46.0504,
578.21, ,45.1719,
578.9132, ,44.2935,
579.767, ,43.4155,
581.8765, ,42.5407,
583.9861, ,41.6669,
585.292, ,40.7942,
588.7074, ,39.923,
590.8169, ,39.0547,
591.4699, ,38.1883,
593.8305, ,37.3243,
596.3921, ,36.4628,
598.5016, ,35.7697,
601.0631, ,35.0786,
602.7709, ,34.3896,
604.4785, ,33.7029,
604.4785, ,33.1023,
605.7342, ,32.5036,
608.7478, ,31.907,
610.8573, ,31.3125,
612.5651, ,30.7597,
612.5651, ,30.209,
613.871, ,29.6603,
615.5285, ,29.1137,
621.9574, ,28.5942,
622.8113, ,28.0767,
624.519, ,27.5613,
626.2267, ,27.0481,
628.7883, ,26.5548,
629.592, ,26.0636,
631.2996, ,25.5746,
635.5689, ,25.0878,
640.893, ,24.6166,
642.3997, ,24.1476,
643.7056, ,23.6808,
645.4134, ,23.2164,
646.2672, ,22.7646,
647.5228, ,22.315,
647.9247, ,21.8678,
653.26,22.2222, ,
653.9016, ,21.423,
656.9153, ,20.9887,
662.4402, ,20.5568,
663.7461, ,20.1273,
664.5497, ,19.7002,
665.4036, ,19.2821,
667.5633, ,18.8665,
673.9421, ,18.4534,
675.248, ,18.0428,
682.0789, ,17.6399,
683.3345, ,17.2396,
684.5902, ,16.8419,
686.2979, ,16.4468,
691.0192, ,16.0586,
693.9825, ,15.673,
694.8365, ,15.29,
696.5441, ,14.9098,
699.5075, ,14.5357,
702.5212, ,14.1643,
706.3384, ,13.7957,
708.046, ,13.4298,
711.0597, ,13.0696,
713.6212, ,12.7122,
714.8769, ,12.3577,
716.9864, ,12.006,
718.6941, ,11.6596,
719.548, ,11.3161,
722.5616, ,10.9756,
723.2648, ,10.6382,
726.724,16.6667, ,
728.9404, ,10.3056,
731.502, ,9.9761,
733.511, ,9.6498,
734.0635, ,9.3266,
734.9174, ,9.0082,
736.173, ,8.693,
736.625, ,8.3811,
737.4789, ,8.0726,
739.1866, ,7.7688,
742.15, ,7.4684,
744.1591, ,7.1715,
746.0175, ,6.8782,
747.2731, ,6.5897,
750.2365, ,6.3048,
753.2501, ,6.0237,
754.8071, ,5.7465,
756.2135, ,5.7302,
758.775, ,5.7139,
761.7886, ,5.6976,
762.1904, ,5.6813,
763.0443, ,5.6787,
764.752, ,5.676,
765.4552, ,5.6734,
767.3136, ,5.6707,
769.8751, ,5.669,
771.5829, ,5.6672,
773.6924, ,5.6654,
778.8155, ,5.6637,
779.46,22.2222, ,
781.3771, ,5.6619,
781.7789, ,5.6601,
782.6327, ,5.6584,
784.3405, ,5.6566,
790.3174, ,5.6548,
793.331, ,5.653,
797.1483, ,5.6512,
798.856, ,5.6494,
802.6732, ,5.6404,
805.6868, ,5.6314,
807.3945, ,5.6225,
808.6501, ,5.6135,
809.956, ,5.5687,
811.6638, ,5.5239,
812.0656, ,5.4793,
813.6226, ,5.4348,
814.6272, ,5.3926,
815.0289, ,5.3505,
815.8828, ,5.3085,
816.7367, ,5.2666,
817.356,16.6667, ,
818.4444, ,5.0587,
825.2752, ,4.8533,
826.9829, ,4.6505,
831.2522, ,4.4505,
833.3617, ,4.1543,
835.5215, ,3.8647,
840.1925, ,3.5819,
841.4984, ,3.3063,
844.06, ,3.0545,
846.6216, ,2.8095,
848.2791, ,2.5718,
849.585, ,2.3417,
850.4388, ,2.1317,
851.86,11.1111, ,
852.5484, ,1.9291,
856.4157, ,1.7344,
859.3791, ,1.5478,
859.8312, ,1.3803,
861.5389, ,1.2207,
864.5023, ,1.0693,
865.3561, ,0.9265,
867.0638, ,0.8,
868.3195, ,0.6818,
869.6254, ,0.5721,
872.5888, ,0.4713,
873.8947, ,0.3828,
874.7485, ,0.3031,
877.3101, ,0.2322,
879.4196, ,0.1705,
882.383, ,0.1178,
884.0907, ,0.0747,
886.6523, ,0.0413,
888.812, ,0.0176,
892.6293, ,0.003,
895.1908, ,0,
896.8985, ,0.0084,
897.7524, ,0.0282,
899.4601, ,0.0595,
900.314, ,0.1019,
901.1678, ,0.1554,
907.9986, ,0.2197,
912.2679, ,0.2961,
914.3774, ,0.3832,
916.4869, ,0.4805,
919.5005, ,0.5877,
921.6101, ,0.7091,
922.0621, ,0.8404,
925.0255, ,0.9812,
927.587, ,1.1311,
929.2948, ,1.2985,
931.0024, ,1.4751,
933.564, ,1.6605,
937.8333, ,1.8543,
938.2351, ,2.0702,
940.7967, ,2.2947,
944.2121, ,2.5275,
945.518, ,2.7681,
947.1755, ,3.0356,
948.0293, ,3.3113,
948.8832, ,3.5949,
949.7371, ,3.886,
950.5909, ,4.207,
952.7506, ,4.5359,
954.8601, ,4.8724,
955.3122, ,5.216,
957.8738, ,5.5885,
959.1294, ,5.9685,
959.8326, ,6.3557,
960.4353, ,6.7498,
962.143, ,7.1672,
964.6544, ,7.5916,
966.8141, ,8.0228,
968.5219, ,8.4606,
969.7775, ,8.6494,
972.3391, ,8.8394,
973.1929, ,9.0305,
976.2065, ,9.2227,
977.9142, ,9.416,
980.8776, ,9.6105,
982.9871, ,9.806,
986.0007, ,10.0026,
989.818, ,10.3695,
989.818, ,10.74,
992.8315, ,11.114,
994.0872, ,11.4914,
997.0506, ,11.8858,
1001.7719, ,12.2837,
1002.6257, ,12.6851,
1003.4796, ,13.09,
1005.1873, ,13.528,
1006.0412, ,13.9698,
1009.0045, ,14.4153,
1012.0182, ,14.8645,
1012.8218, ,15.3499,
1014.5295, ,15.8393,
1017.5431, ,16.3328,
1018.397, ,16.83,
1018.7988, ,17.3662,
1020.5064, ,17.9066,
1022.2142, ,18.4511,
1023.068, ,18.9997,
1025.2277, ,19.5857,
1027.5885, ,20.176,
1028.26,16.6667, ,
1029.4468, ,20.7705,
1033.3143, ,21.3692,
1036.2777, ,21.9972,
1038.4374, ,22.6294,
1040.999, ,23.2657,
1041.8528, ,23.906,
1043.5605, ,24.562,
1047.3778, ,25.2219,
1050.3412, ,25.8856,
1051.6471, ,26.5528,
1053.2041, ,27.2223,
1057.5235, ,27.8952,
