Time (min),PDP1_ANIMO,PDP1_ODE,
0,17.5,44.4646,
9.32,20, ,
18.1,22.5, ,
18.7345, ,45.0602,
20.4423, ,45.658,
27.18,25, ,
31.1406, ,46.2578,
34.1039, ,46.8596,
36,27.5, ,
38.3733, ,47.4926,
40.4827, ,48.1276,
43.0443, ,48.7645,
44.58,30, ,
48.6194, ,49.4031,
51.1308, ,50.0863,
52.92,32.5, ,
53.6923, ,50.7713,
56.706, ,51.4579,
61.54,35, ,
63.9386, ,52.146,
64.7925, ,52.7843,
65.6463, ,53.4237,
70.46,37.5, ,
71.6233, ,54.0639,
72.8789, ,54.7048,
75.8926, ,55.3418,
79.2,40, ,
81.8696, ,55.9791,
83.979, ,56.6167,
86.0886, ,57.2545,
87.58,42.5, ,
89.1022, ,57.8137,
92.0656, ,58.3727,
93.7733, ,58.9315,
95.0791, ,59.49,
96.5,45, ,
98.0425, ,60.0053,
102.3118, ,60.5202,
104.98,47.5, ,
105.2752, ,61.0345,
107.435, ,61.5482,
113.74,50, ,
115.1197, ,62.0433,
118.083, ,62.5378,
122.8,52.5, ,
124.9139, ,63.0314,
127.8773, ,63.5242,
129.5849, ,64.0097,
132.2,55, ,
133.0003, ,64.4943,
138.1234, ,64.9778,
140.685, ,65.4602,
141.94,57.5, ,
146.21, ,65.9414,
147.0638, ,66.4212,
149.2235, ,66.8998,
150.0272, ,67.3769,
151.2,60, ,
157.7119, ,67.8561,
160.2735, ,68.3338,
160.56,62.5, ,
162.835, ,68.8098,
164.1409, ,69.2841,
165.8486, ,69.7625,
168.812, ,70.2391,
170.4,65, ,
174.789, ,70.7136,
179.0583, ,71.1862,
180.8,67.5, ,
181.1678, ,71.6639,
182.0217, ,72.1393,
184.1312, ,72.6125,
187.5465, ,73.0833,
189.2543, ,73.5598,
191.6,70, ,
191.8159, ,74.0336,
194.7792, ,74.5048,
199.0987, ,74.9733,
200.3544, ,75.4474,
202.36,72.5, ,
202.9662, ,75.9186,
208.8929, ,76.3867,
211.0025, ,76.8517,
213.1622, ,77.3222,
213.948,75, ,
215.7238, ,77.7893,
217.3813, ,78.2529,
226.236,77.5, ,
227.3764, ,78.713,
231.4949, ,79.1782,
232.7506, ,79.6395,
233.6045, ,80.097,
234.4583, ,80.5506,
235.5131, ,81.0086,
236.5678, ,81.4625,
238.78,80, ,
239.5815, ,81.912,
243.8507, ,82.3571,
250.6313, ,82.8062,
252.14,82.5, ,
253.1929, ,83.2506,
256.2065, ,83.6903,
257.0603, ,84.1252,
260.0237, ,84.5634,
260.8776, ,84.9965,
266.24,85, ,
269.4161, ,85.4244,
270.27, ,85.847,
271.9777, ,86.2725,
274.8908, ,86.6924,
277.5026, ,87.1066,
279.2103, ,87.5151,
279.6624, ,87.926,
281.14,87.5, ,
281.7719, ,88.3308,
282.6258, ,88.7294,
282.7262, ,89.1218,
285.5891, ,89.5163,
286.443, ,89.9041,
293.2738, ,90.2853,
294.1277, ,90.6598,
295.4336, ,91.036,
297.1413, ,91.4051,
297.24,90, ,
300.5065, ,91.7669,
306.9354, ,92.1215,
307.3373, ,92.4777,
309.497, ,92.8262,
315.4741, ,93.1668,
317.364,92.5, ,
318.8392, ,93.4995,
324.4144, ,93.8339,
325.6701, ,94.1597,
328.6836, ,94.4771,
331.2452, ,94.786,
332.5009, ,95.0965,
332.9027, ,95.3977,
339.34,95, ,
340.1856, ,95.6897,
342.2951, ,95.9724,
343.149, ,96.257,
345.3087, ,96.5314,
347.9707, ,96.7956,
349.9798, ,97.0494,
350.8337, ,97.3059,
353.797, ,97.5509,
354.2491, ,97.7844,
356.5092, ,98.0062,
360.226, ,98.2322,
362.3356, ,98.4447,
368.3125, ,98.6436,
371.94,97.5, ,
376.8511, ,98.829,
382.5267, ,99.0229,
383.6317, ,99.1992,
384.4855, ,99.358,
387.4992, ,99.4992,
390.2616, ,99.6315,
392.1702, ,99.7434,
393.878, ,99.8351,
395.1838, ,99.9066,
396.4395, ,99.9128,
399.0513, ,99.9187,
400.7088, ,99.9244,
409.14,100, ,
410.5029, ,99.9299,
413.5166, ,99.9353,
414.3704, ,99.9404,
416.4297, ,99.9452,
417.3338, ,99.9499,
418.1876, ,99.9702,
419.8954, ,99.9852,
422.0049, ,99.995,
427.5801, ,99.9996,
