Time (min),PER/TIM-p_ANIMO,PER/TIM_ODE,
0,0,24.7411,
18.7345, ,25.2989,
20.4423, ,25.863,
31.1406, ,26.4333,
33.8,4.3478, ,
34.1039, ,27.0098,
38.3733, ,27.6208,
40.4827, ,28.2385,
43.0443, ,28.8628,
48.6194, ,29.4935,
51.1308, ,30.1737,
53.6923, ,30.8611,
56.706, ,31.5557,
60.2,8.6957, ,
63.9386, ,32.2572,
64.7925, ,32.9131,
65.6463, ,33.5748,
71.6233, ,34.2423,
72.8789, ,34.9153,
75.8926, ,35.5889,
81.8696, ,36.2679,
82.2,13.0435, ,
83.979, ,36.952,
86.0886, ,37.6411,
89.1022, ,38.2494,
92.0656, ,38.8613,
93.7733, ,39.4768,
95.0791, ,40.0957,
98.0425, ,40.6701,
102.3118, ,41.2474,
103.8,17.3913, ,
105.2752, ,41.8273,
107.435, ,42.4098,
115.1197, ,42.9743,
118.083, ,43.5412,
122.4,21.7391, ,
124.9139, ,44.1102,
127.8773, ,44.6812,
129.5849, ,45.247,
133.0003, ,45.8146,
138.1234, ,46.384,
140.685, ,46.955,
141.48,26.087, ,
146.21, ,47.5275,
147.0638, ,48.1015,
149.2235, ,48.6769,
150.0272, ,49.2536,
157.7119, ,49.8359,
157.9,30.4348, ,
160.2735, ,50.4192,
162.835, ,51.0036,
164.1409, ,51.5889,
165.8486, ,52.1822,
168.812, ,52.7763,
174.789, ,53.3709,
175.96,34.7826, ,
179.0583, ,53.9661,
181.1678, ,54.5708,
182.0217, ,55.1757,
184.1312, ,55.7808,
187.5465, ,56.386,
189.2543, ,57.0014,
191.8159, ,57.6167,
194.44,39.1304, ,
194.7792, ,58.2316,
199.0987, ,58.846,
200.3544, ,59.471,
202.9662, ,60.0952,
208.8929, ,60.7185,
210.432,43.4783, ,
211.0025, ,61.3407,
213.1622, ,61.9734,
215.7238, ,62.6047,
217.3813, ,63.2344,
226.236,47.8261, ,
227.3764, ,63.8625,
231.4949, ,64.5006,
232.7506, ,65.1367,
233.6045, ,65.7705,
234.4583, ,66.402,
235.5131, ,67.0429,
236.5678, ,67.681,
239.5815, ,68.3162,
243.5,52.1739, ,
243.8507, ,68.9484,
250.6313, ,69.5892,
253.1929, ,70.2265,
256.2065, ,70.8601,
257.0603, ,71.4899,
260.0237, ,72.1277,
260.8776, ,72.7611,
261.546,56.5217, ,
269.4161, ,73.3901,
270.27, ,74.0144,
271.9777, ,74.646,
274.8908, ,75.2724,
277.5026, ,75.8935,
277.6,60.8696, ,
279.2103, ,76.5091,
279.6624, ,77.1315,
281.7719, ,77.7478,
282.6258, ,78.3579,
282.7262, ,78.9616,
285.5891, ,79.5717,
286.443, ,80.1747,
293.2738, ,80.7706,
293.958,65.2174, ,
294.1277, ,81.3593,
295.4336, ,81.954,
297.1413, ,82.5408,
300.5065, ,83.1194,
306.9354, ,83.6898,
307.3373, ,84.2663,
309.497, ,84.8339,
311.7,69.5652, ,
315.4741, ,85.3922,
318.8392, ,85.9413,
324.4144, ,86.4968,
325.6701, ,87.0422,
328.6836, ,87.5773,
329.5,73.913, ,
331.2452, ,88.102,
332.5009, ,88.6339,
332.9027, ,89.1544,
340.1856, ,89.6634,
342.2951, ,90.1608,
343.149, ,90.6667,
345.3087, ,91.1598,
347.9707, ,91.64,
349.46,78.2609, ,
349.9798, ,92.107,
350.8337, ,92.5855,
