Time (min),PER_ANIMO,PER_ODE,
0,33.3333,60.4062,
18.7345, ,61.0405,
20.4423, ,61.6743,
31.1406, ,62.3075,
34.1039, ,62.9401,
36.8,44.4444, ,
38.3733, ,63.6024,
40.4827, ,64.2638,
43.0443, ,64.9239,
48.6194, ,65.5827,
51.1308, ,66.284,
53.6923, ,66.9834,
56.706, ,67.6807,
63.9386, ,68.3756,
64.7925, ,69.017,
65.6463, ,69.656,
71.6233, ,70.2925,
72.8,55.5556, ,
72.8789, ,70.9262,
75.8926, ,71.5525,
81.8696, ,72.1757,
83.979, ,72.7957,
86.0886, ,73.4122,
89.1022, ,73.9497,
92.0656, ,74.4843,
93.7733, ,75.0158,
95.0791, ,75.5441,
98.0425, ,76.0289,
102.3118, ,76.5107,
105.2752, ,76.9895,
107.435, ,77.4651,
110.6,66.6667, ,
115.1197, ,77.9211,
118.083, ,78.374,
124.9139, ,78.8236,
127.8773, ,79.27,
129.5849, ,79.7074,
133.0003, ,80.1415,
138.1234, ,80.5721,
140.685, ,80.9992,
146.21, ,81.4227,
147.0638, ,81.8425,
149.2235, ,82.2586,
150.0272, ,82.6709,
154.2,77.7778, ,
157.7119, ,83.0824,
160.2735, ,83.4899,
162.835, ,83.8934,
164.1409, ,84.2927,
165.8486, ,84.6928,
168.812, ,85.0885,
174.789, ,85.4798,
179.0583, ,85.8667,
181.1678, ,86.2549,
182.0217, ,86.6384,
184.1312, ,87.0171,
187.5465, ,87.391,
189.2543, ,87.7663,
191.8159, ,88.1366,
194.7792, ,88.5016,
199.0987, ,88.8615,
200.3544, ,89.2226,
202.9662, ,89.5782,
205.6,88.8889, ,
208.8929, ,89.9282,
211.0025, ,90.2727,
213.1622, ,90.6178,
215.7238, ,90.9571,
217.3813, ,91.2904,
227.3764, ,91.6178,
231.4949, ,91.9452,
232.7506, ,92.2663,
233.6045, ,92.5812,
234.4583, ,92.8897,
235.5131, ,93.1975,
236.5678, ,93.4987,
239.5815, ,93.7932,
243.8507, ,94.081,
250.6313, ,94.3674,
253.1929, ,94.6468,
256.2065, ,94.9192,
257.0603, ,95.1845,
260.0237, ,95.4477,
260.8776, ,95.7035,
269.4161, ,95.9519,
270.27, ,96.1929,
271.9777, ,96.4311,
274.8908, ,96.6615,
277.5026, ,96.8843,
277.6,100, ,
279.2103, ,97.0993,
279.6624, ,97.3107,
281.7719, ,97.5141,
282.6258, ,97.7094,
282.7262, ,97.8967,
285.5891, ,98.0797,
286.443, ,98.2543,
293.2738, ,98.4205,
294.1277, ,98.5783,
295.4336, ,98.7311,
297.1413, ,98.8751,
300.5065, ,99.0104,
306.9354, ,99.1369,
307.3373, ,99.2577,
309.497, ,99.3692,
315.4741, ,99.4716,
318.8392, ,99.5648,
324.4144, ,99.6513,
325.6701, ,99.7282,
328.6836, ,99.7954,
331.2452, ,99.8531,
332.5009, ,99.9027,
332.9027, ,99.9421,
340.1856, ,99.9715,
342.2951, ,99.9907,
343.149, ,100,
345.3087, ,99.9985,
347.9707, ,99.9861,
349.9798, ,99.963,
350.8337, ,99.9271,
353.797, ,99.8793,
354.2491, ,99.8197,
356.5092, ,99.7485,
360.226, ,99.6587,
362.3356, ,99.5556,
368.3125, ,99.4392,
376.8511, ,99.3097,
382.5267, ,99.1468,
383.6317, ,98.9673,
384.4855, ,98.7713,
387.4992, ,98.5589,
390.2616, ,98.3126,
392.1702, ,98.0479,
393.878, ,97.765,
395.1838, ,97.4641,
396.4395, ,97.4324,
399.0513, ,97.4006,
400.7088, ,97.3685,
410.5029, ,97.3363,
413.5166, ,97.3039,
414.3704, ,97.2713,
416.4297, ,97.2385,
417.3338, ,97.2056,
418.1876, ,97.038,
419.8954, ,96.866,
422.0049, ,96.6895,
427.5801, ,96.5085,
428.8357, ,96.4931,
430.5434, ,96.4777,
431.3973, ,96.4623,
432.2511, ,96.4468,
433.2055, ,96.4438,
439.4838, ,96.4407,
442.4974, ,96.4377,
443.3512, ,96.4346,
446.3146, ,96.4344,
449.278, ,96.4342,
449.6798, ,96.434,
449.73, ,96.4338,
450.1319, ,96.4337,
451.8396, ,96.4335,
452.6934, ,96.4333,
454.4012, ,96.4332,
459.5242, ,96.433,
460.3781, ,96.4329,
462.5379, ,96.4327,
466.1542, ,96.4325,
471.0261, ,96.4317,
473.186, ,96.4309,
473.5877, ,96.4301,
478.7108, ,96.4293,
485.9435, ,96.4253,
490.2128, ,96.4213,
492.473, ,96.4172,
494.9341, ,96.4132,
500.459, ,96.393,
502.1668, ,96.3727,
503.2215, ,96.3524,
503.8744, ,96.3321,
506.436, ,96.2295,
511.1071, ,96.1257,
512.6139, ,96.0206,
514.1207, ,95.9142,
515.3764, ,95.7174,
516.632, ,95.5165,
519.6457, ,95.3115,
520.0474, ,95.1024,
522.609, ,94.8821,
525.1705, ,94.6575,
528.1842, ,94.4287,
529.4398, ,94.1957,
532.2023, ,93.9384,
535.8186, ,93.6762,
536.6725, ,93.4092,
537.1245, ,93.1375,
538.8322, ,92.8347,
546.0649, ,92.5263,
546.9187, ,92.2124,
552.4437, ,91.893,
555.0053, ,91.5294,
556.3112, ,91.1591,
558.0188, ,90.7823,
558.4207, ,90.399,
565.6533, ,89.9448,
566.9592, ,89.4822,
575.4977, ,89.0112,
575.8996, ,88.5322,
577.6073, ,87.9093,
578.21, ,87.2738,
578.9132, ,86.6261,
579.767, ,85.9664,
581.8765, ,85.2972,
583.9861, ,84.6168,
585.292, ,83.9256,
588.7074, ,83.2239,
590.8169, ,82.513,
591.4699, ,81.7922,
593.8305, ,81.0621,
596.3921, ,80.3228,
598.5016, ,79.7199,
601.0631, ,79.1114,
602.7709, ,78.4976,
604.4785, ,77.8787,
604.4785, ,77.3314,
605.7342, ,76.7805,
608.7478, ,76.226,
610.8573, ,75.668,
612.5651, ,75.1442,
612.5651, ,74.6177,
613.871, ,74.0883,
615.5285, ,73.5564,
621.9574, ,73.0463,
622.8113, ,72.534,
624.519, ,72.0195,
625.66,88.8889, ,
626.2267, ,71.503,
628.7883, ,71.0023,
629.592, ,70.4999,
631.2996, ,69.9958,
635.5689, ,69.49,
640.893, ,68.9965,
642.3997, ,68.5016,
643.7056, ,68.0053,
645.4134, ,67.5078,
646.2672, ,67.02,
647.5228, ,66.5312,
647.9247, ,66.0412,
653.9016, ,65.5503,
656.9153, ,65.0675,
662.4402, ,64.5837,
663.7461, ,64.0992,
664.5497, ,63.6139,
665.4036, ,63.1354,
667.5633, ,62.6562,
673.9421, ,62.1764,
675.248, ,61.6961,
682.0789, ,61.2215,
683.3345, ,60.7465,
684.5902, ,60.2711,
686.2979, ,59.7953,
691.0192, ,59.3245,
693.9825, ,58.8533,
694.8365, ,58.382,
696.5441, ,57.9106,
699.5075, ,57.4433,
702.5212, ,56.9759,
706.3384, ,56.5086,
708.046, ,56.0412,
711.0597, ,55.5775,
713.6212, ,55.1139,
714.8769, ,54.6504,
716.9864, ,54.1871,
718.6941, ,53.727,
719.548, ,53.2672,
722.5616, ,52.8076,
723.2648, ,52.3483,
728.9404, ,51.8919,
731.502, ,51.4359,
733.511, ,50.9802,
734.0635, ,50.525,
734.9174, ,50.0725,
736.173, ,49.6204,
736.46,77.7778, ,
736.625, ,49.1689,
737.4789, ,48.7179,
739.1866, ,48.2694,
742.15, ,47.8215,
744.1591, ,47.3742,
746.0175, ,46.9276,
747.2731, ,46.4834,
750.2365, ,46.04,
753.2501, ,45.5972,
754.8071, ,45.1553,
756.2135, ,45.1291,
758.775, ,45.103,
761.7886, ,45.0768,
762.1904, ,45.0507,
763.0443, ,45.0464,
764.752, ,45.0422,
765.4552, ,45.0379,
