Time (min),clk_ANIMO,clk_ODE,
0,85.7143,5.4093,
18.7345, ,5.6608,
20.4423, ,5.9181,
31.1406, ,6.1812,
34.1039, ,6.45,
38.3733, ,6.738,
40.4827, ,7.0323,
43.0443, ,7.333,
48.6194, ,7.6399,
51.1308, ,7.9744,
53.6923, ,8.316,
56.706, ,8.6647,
63.9386, ,9.0205,
64.7925, ,9.3564,
65.6463, ,9.6984,
71.6233, ,10.0464,
72.8789, ,10.4005,
75.8926, ,10.758,
81.8696, ,11.1214,
83.979, ,11.4906,
86.0886, ,11.8658,
89.1022, ,12.1995,
92.0656, ,12.5377,
93.7733, ,12.8803,
95.0791, ,13.2273,
98.0425, ,13.5517,
102.3118, ,13.8797,
105.2752, ,14.2115,
107.435, ,14.547,
115.1197, ,14.8742,
118.083, ,15.2049,
122.8,100, ,
124.9139, ,15.5389,
127.8773, ,15.8763,
129.5849, ,16.2127,
133.0003, ,16.5524,
138.1234, ,16.8952,
140.685, ,17.2412,
146.21, ,17.5904,
147.0638, ,17.9427,
149.2235, ,18.2982,
150.0272, ,18.6567,
157.7119, ,19.0211,
160.2735, ,19.3885,
162.835, ,19.7591,
164.1409, ,20.1326,
165.8486, ,20.5139,
168.812, ,20.8983,
174.789, ,21.2856,
179.0583, ,21.676,
181.1678, ,22.0755,
182.0217, ,22.478,
184.1312, ,22.8835,
187.5465, ,23.2919,
189.2543, ,23.7104,
191.8159, ,24.1319,
194.7792, ,24.5564,
199.0987, ,24.9838,
200.3544, ,25.4219,
202.9662, ,25.863,
208.8929, ,26.307,
211.0025, ,26.7538,
213.1622, ,27.212,
215.7238, ,27.673,
217.3813, ,28.1368,
227.3764, ,28.6034,
231.4949, ,29.0816,
232.7506, ,29.5626,
233.6045, ,30.0464,
234.4583, ,30.5328,
235.5131, ,31.0311,
236.5678, ,31.5321,
239.5815, ,32.0357,
243.8507, ,32.5418,
250.6313, ,33.0601,
253.1929, ,33.581,
256.2065, ,34.1042,
257.0603, ,34.6299,
260.0237, ,35.168,
260.8776, ,35.7085,
269.4161, ,36.2512,
270.27, ,36.7962,
271.9777, ,37.354,
274.8908, ,37.9139,
277.5026, ,38.4759,
279.2103, ,39.0399,
279.6624, ,39.6174,
281.7719, ,40.1967,
282.6258, ,40.7779,
282.7262, ,41.3607,
285.5891, ,41.9579,
286.443, ,42.5567,
293.2738, ,43.157,
294.1277, ,43.7587,
295.4336, ,44.3759,
297.1413, ,44.9945,
300.5065, ,45.6142,
306.9354, ,46.2349,
307.3373, ,46.8729,
309.497, ,47.5118,
315.4741, ,48.1515,
