Time (min),pdp1_ANIMO,pdp1_ODE,
0,73.913,68.8157,
15.44,78.2609, ,
18.7345, ,69.3804,
20.4423, ,69.9438,
31.1406, ,70.5058,
31.2,82.6087, ,
34.1039, ,71.0662,
38.3733, ,71.6521,
40.4827, ,72.2358,
43.0443, ,72.8173,
47.3,86.9565, ,
48.6194, ,73.3963,
51.1308, ,74.0112,
53.6923, ,74.6227,
56.706, ,75.2306,
63.9386, ,75.8347,
64.7925, ,76.3904,
65.6463, ,76.9423,
71.5,91.3043, ,
71.6233, ,77.4903,
72.8789, ,78.034,
75.8926, ,78.5695,
81.8696, ,79.1005,
83.979, ,79.6268,
86.0886, ,80.1481,
89.1022, ,80.6011,
92.0656, ,81.0501,
93.7733, ,81.495,
95.0791, ,81.9356,
96.5,95.6522, ,
98.0425, ,82.3387,
102.3118, ,82.7381,
105.2752, ,83.1337,
107.435, ,83.5255,
115.1197, ,83.9,
118.083, ,84.2707,
124.9139, ,84.6378,
127.8773, ,85.0011,
129.5849, ,85.3561,
133.0003, ,85.7073,
138.1234, ,86.0548,
140.685, ,86.3984,
145.1,100, ,
146.21, ,86.7382,
147.0638, ,87.0741,
149.2235, ,87.4061,
150.0272, ,87.7341,
157.7119, ,88.0607,
160.2735, ,88.3832,
162.835, ,88.7016,
164.1409, ,89.016,
165.8486, ,89.3301,
168.812, ,89.6399,
174.789, ,89.9454,
179.0583, ,90.2467,
181.1678, ,90.5482,
182.0217, ,90.8453,
184.1312, ,91.1378,
187.5465, ,91.4259,
189.2543, ,91.7143,
191.8159, ,91.998,
194.7792, ,92.277,
199.0987, ,92.5512,
200.3544, ,92.8256,
202.9662, ,93.095,
208.8929, ,93.3594,
211.0025, ,93.6189,
213.1622, ,93.8781,
215.7238, ,94.1321,
217.3813, ,94.3809,
227.3764, ,94.6244,
231.4949, ,94.8671,
232.7506, ,95.1044,
233.6045, ,95.3362,
234.4583, ,95.5625,
235.5131, ,95.7874,
236.5678, ,96.0066,
239.5815, ,96.22,
243.8507, ,96.4276,
250.6313, ,96.6333,
253.1929, ,96.8329,
256.2065, ,97.0266,
257.0603, ,97.2142,
260.0237, ,97.3991,
260.8776, ,97.5778,
269.4161, ,97.7502,
270.27, ,97.9163,
271.9777, ,98.0791,
274.8908, ,98.2354,
277.5026, ,98.385,
279.2103, ,98.5281,
279.6624, ,98.6673,
281.7719, ,98.7996,
282.6258, ,98.925,
282.7262, ,99.0435,
285.5891, ,99.1574,
286.443, ,99.2641,
293.2738, ,99.3637,
294.1277, ,99.4559,
295.4336, ,99.5429,
297.1413, ,99.6223,
300.5065, ,99.6942,
306.9354, ,99.7585,
307.3373, ,99.8166,
309.497, ,99.8667,
311.7,95.6522, ,
315.4741, ,99.9088,
318.8392, ,99.943,
324.4144, ,99.9699,
325.6701, ,99.9884,
328.6836, ,99.9984,
331.2452, ,100,
332.5009, ,99.9928,
332.9027, ,99.9766,
340.1856, ,99.9515,
342.2951, ,99.9174,
343.149, ,99.8723,
345.3087, ,99.8175,
347.9707, ,99.753,
349.9798, ,99.6789,
350.8337, ,99.5903,
353.797, ,99.4909,
354.2491, ,99.3809,
356.5092, ,99.2603,
360.226, ,99.1185,
362.24,91.3043, ,
362.3356, ,98.9644,
368.3125, ,98.798,
376.8511, ,98.6196,
382.5267, ,98.4024,
383.6317, ,98.1696,
384.4855, ,97.9215,
387.4992, ,97.6581,
390.2616, ,97.3579,
392.1702, ,97.0402,
393.878, ,96.7052,
395.1838, ,96.3531,
396.4395, ,96.3162,
399.0513, ,96.2792,
400.7088, ,96.242,
410.5029, ,96.2046,
412.78,86.9565, ,
413.5166, ,96.167,
414.3704, ,96.1293,
416.4297, ,96.0913,
417.3338, ,96.0532,
418.1876, ,95.8601,
419.8954, ,95.6627,
422.0049, ,95.4609,
427.5801, ,95.2547,
428.8357, ,95.2372,
430.5434, ,95.2197,
431.3973, ,95.2022,
432.2511, ,95.1846,
433.2055, ,95.1812,
439.4838, ,95.1777,
442.4974, ,95.1743,
443.3512, ,95.1708,
446.3146, ,95.1706,
449.18,82.6087, ,
449.278, ,95.1703,
