Time (min),per_ANIMO,per_ODE,
0,90,96.5035,
18.7345, ,96.7311,
20.4423, ,96.9531,
23.8,95, ,
31.1406, ,97.1694,
34.1039, ,97.3796,
38.3733, ,97.5933,
40.4827, ,97.7999,
43.0443, ,97.9991,
48.6194, ,98.1905,
50.4,100, ,
51.1308, ,98.3858,
53.6923, ,98.5715,
56.706, ,98.7473,
63.9386, ,98.9126,
64.7925, ,99.0562,
65.6463, ,99.1902,
71.6233, ,99.3146,
72.8789, ,99.429,
75.8926, ,99.5325,
81.8696, ,99.6258,
83.979, ,99.7089,
86.0886, ,99.7816,
89.1022, ,99.8368,
92.0656, ,99.8839,
93.7733, ,99.923,
95.0791, ,99.9541,
98.0425, ,99.9757,
102.3118, ,99.9905,
105.2752, ,99.9986,
107.435, ,100,
115.1197, ,99.9951,
118.083, ,99.984,
124.9139, ,99.9669,
127.2,95, ,
127.8773, ,99.9438,
129.5849, ,99.9151,
133.0003, ,99.8808,
138.1234, ,99.8408,
140.685, ,99.7953,
146.21, ,99.7443,
147.0638, ,99.6879,
149.2235, ,99.6261,
150.0272, ,99.5591,
157.7119, ,99.4864,
160.2735, ,99.4084,
162.835, ,99.3254,
164.1409, ,99.2373,
165.8486, ,99.1431,
168.812, ,99.0439,
174.789, ,98.9398,
179.0583, ,98.8308,
181.1678, ,98.7153,
182.0217, ,98.5949,
184.1312, ,98.4698,
187.5465, ,98.3401,
189.2543, ,98.2033,
191.8159, ,98.0619,
194.44,90, ,
194.7792, ,97.9158,
199.0987, ,97.7652,
200.3544, ,97.6073,
202.9662, ,97.4447,
208.8929, ,97.2777,
211.0025, ,97.1063,
213.1622, ,96.9271,
215.7238, ,96.7436,
217.3813, ,96.5556,
227.3764, ,96.3633,
230.44,85, ,
231.4949, ,96.163,
232.7506, ,95.9583,
233.6045, ,95.7494,
234.4583, ,95.5362,
235.5131, ,95.3147,
236.5678, ,95.0889,
239.5815, ,94.8589,
243.8507, ,94.6248,
250.6313, ,94.382,
253.1929, ,94.135,
256.2065, ,93.8838,
257.0603, ,93.6286,
260.0237, ,93.3644,
260.8776, ,93.096,
261.546,80, ,
269.4161, ,92.8235,
270.27, ,92.547,
271.9777, ,92.261,
274.8908, ,91.9708,
277.5026, ,91.6767,
279.2103, ,91.3785,
279.6624, ,91.0702,
281.7719, ,90.7578,
282.6258, ,90.4415,
282.7262, ,90.1211,
285.5891, ,89.7898,
286.443, ,89.4544,
293.2738, ,89.115,
294.1277, ,88.7717,
295.4336, ,88.4163,
297.1413, ,88.0568,
297.24,75, ,
300.5065, ,87.6934,
306.9354, ,87.3259,
307.3373, ,86.9449,
309.497, ,86.5597,
315.4741, ,86.1706,
318.8392, ,85.7775,
324.4144, ,85.3686,
325.6701, ,84.9557,
328.6836, ,84.5387,
331.2452, ,84.1176,
332.5009, ,83.6778,
332.9027, ,83.2338,
335.088,70, ,
340.1856, ,82.7856,
342.2951, ,82.3334,
343.149, ,81.8578,
345.3087, ,81.3778,
347.9707, ,80.8937,
349.9798, ,80.4053,
350.8337, ,79.8857,
353.797, ,79.3617,
354.2491, ,78.8332,
356.5092, ,78.3004,
360.226, ,77.7214,
362.24,65, ,
362.3356, ,77.1375,
368.3125, ,76.5489,
376.8511, ,75.9556,
382.5267, ,75.2767,
383.6317, ,74.592,
384.4855, ,73.9018,
386.38,60, ,
387.4992, ,73.2062,
390.2616, ,72.4524,
392.1702, ,71.6927,
393.878, ,70.9273,
395.1838, ,70.1565,
396.4395, ,70.0776,
399.0513, ,69.9987,
400.7088, ,69.9197,
410.5029, ,69.8406,
413.5166, ,69.7615,
414.3704, ,69.6824,
416.4297, ,69.6032,
417.3338, ,69.5239,
418.1876, ,69.1268,
419.204,55, ,
419.8954, ,68.7284,
422.0049, ,68.3288,
427.5801, ,67.9279,
428.8357, ,67.8942,
430.5434, ,67.8606,
431.3973, ,67.8269,
432.2511, ,67.7932,
433.2055, ,67.7866,
439.4838, ,67.78,
442.4974, ,67.7733,
443.3512, ,67.7667,
445.84,50, ,
