Time (min),tim_ANIMO,tim_ODE,
0,68.75,82.8,
18.7345, ,83.2878,
20.4423, ,83.7715,
23.38,75, ,
31.1406, ,84.251,
34.1039, ,84.7261,
38.3733, ,85.2192,
40.4827, ,85.7071,
43.0443, ,86.1895,
47.3,81.25, ,
48.6194, ,86.6662,
51.1308, ,87.1683,
53.6923, ,87.6633,
56.706, ,88.1509,
63.9386, ,88.6308,
64.7925, ,89.0682,
65.6463, ,89.4985,
71.6233, ,89.9215,
72.8789, ,90.337,
75.8926, ,90.742,
81.4,87.5, ,
81.8696, ,91.1392,
83.979, ,91.5284,
86.0886, ,91.9094,
89.1022, ,92.2368,
92.0656, ,92.5577,
93.7733, ,92.8721,
95.0791, ,93.18,
98.0425, ,93.4583,
102.3118, ,93.7309,
105.2752, ,93.9978,
107.435, ,94.2589,
115.1197, ,94.5054,
118.083, ,94.7465,
124.9139, ,94.9821,
126.4,93.75, ,
127.8773, ,95.2123,
129.5849, ,95.4341,
133.0003, ,95.6507,
138.1234, ,95.8618,
140.685, ,96.0676,
146.21, ,96.268,
147.0638, ,96.4631,
149.2235, ,96.6528,
150.0272, ,96.8371,
157.7119, ,97.0174,
160.2735, ,97.1923,
162.835, ,97.3617,
164.1409, ,97.5258,
165.8486, ,97.6863,
168.812, ,97.8414,
174.789, ,97.9909,
179.0583, ,98.1349,
181.1678, ,98.2754,
182.0217, ,98.4104,
184.1312, ,98.5397,
187.5465, ,98.6634,
189.2543, ,98.7834,
191.6,100, ,
191.8159, ,98.8977,
194.7792, ,99.0062,
199.0987, ,99.109,
200.3544, ,99.2078,
202.9662, ,99.3006,
208.8929, ,99.3875,
211.0025, ,99.4686,
213.1622, ,99.5452,
215.7238, ,99.6157,
217.3813, ,99.6803,
227.3764, ,99.7388,
231.4949, ,99.7922,
232.7506, ,99.8395,
233.6045, ,99.8807,
234.4583, ,99.9157,
235.5131, ,99.9451,
236.5678, ,99.9682,
239.5815, ,99.985,
243.8507, ,99.9956,
250.6313, ,100,
253.1929, ,99.998,
256.2065, ,99.9895,
257.0603, ,99.9748,
260.0237, ,99.9532,
260.8776, ,99.9251,
269.4161, ,99.8904,
270.27, ,99.8493,
271.9777, ,99.8008,
274.8908, ,99.7456,
277.5026, ,99.6837,
279.2103, ,99.6153,
279.6624, ,99.5387,
281.7719, ,99.4553,
282.6258, ,99.3652,
282.7262, ,99.2684,
285.5891, ,99.1625,
286.443, ,99.0498,
293.2738, ,98.9301,
294.1277, ,98.8037,
295.4336, ,98.6672,
297.1413, ,98.5236,
300.5065, ,98.373,
306.9354, ,98.2154,
307.3373, ,98.0464,
309.497, ,97.8702,
315.4741, ,97.6868,
318.8392, ,97.4962,
324.4144, ,97.2926,
325.6701, ,97.0814,
328.6836, ,96.8629,
331.2452, ,96.6369,
332.5009, ,96.3954,
332.9027, ,96.1461,
335.088,93.75, ,
340.1856, ,95.8891,
342.2951, ,95.6245,
343.149, ,95.3406,
345.3087, ,95.0485,
347.9707, ,94.7483,
349.9798, ,94.44,
350.8337, ,94.1063,
353.797, ,93.7639,
354.2491, ,93.4127,
356.5092, ,93.053,
360.226, ,92.6559,
362.3356, ,92.249,
368.3125, ,91.8325,
376.8511, ,91.4065,
382.5267, ,90.9116,
383.6317, ,90.4047,
384.4855, ,89.8862,
387.4992, ,89.3561,
390.2616, ,88.7735,
390.404,87.5, ,
392.1702, ,88.178,
393.878, ,87.5697,
395.1838, ,86.9491,
396.4395, ,86.8852,
399.0513, ,86.8211,
400.7088, ,86.7569,
410.5029, ,86.6925,
413.5166, ,86.6281,
414.3704, ,86.5635,
416.4297, ,86.4987,
417.3338, ,86.4339,
418.1876, ,86.1078,
419.8954, ,85.7787,
422.0049, ,85.4465,
427.5801, ,85.1113,
428.8357, ,85.0831,
430.5434, ,85.0548,
431.3973, ,85.0265,
432.2511, ,84.9982,
433.2055, ,84.9927,
439.4838, ,84.9871,
442.4974, ,84.9815,
443.3512, ,84.976,
446.3146, ,84.9756,
449.278, ,84.9752,
449.6798, ,84.9748,
449.73, ,84.9744,
450.1319, ,84.9742,
450.24,81.25, ,
451.8396, ,84.9739,
452.6934, ,84.9736,
454.4012, ,84.9733,
459.5242, ,84.973,
460.3781, ,84.9727,
462.5379, ,84.9724,
466.1542, ,84.9721,
471.0261, ,84.9706,
473.186, ,84.9692,
473.5877, ,84.9677,
478.7108, ,84.9662,
485.9435, ,84.9589,
490.2128, ,84.9515,
492.473, ,84.9441,
494.9341, ,84.9368,
500.459, ,84.9,
502.1668, ,84.8631,
503.2215, ,84.8263,
503.8744, ,84.7894,
506.436, ,84.6043,
511.1071, ,84.4183,
512.6139, ,84.2315,
514.1207, ,84.0439,
515.3764, ,83.7005,
516.632, ,83.3544,
519.6457, ,83.0056,
520.0474, ,82.654,
522.609, ,82.2882,
525.1705, ,81.9195,
528.1842, ,81.5481,
528.26,75, ,
529.4398, ,81.1739,
532.2023, ,80.7654,
535.8186, ,80.3537,
536.6725, ,79.939,
537.1245, ,79.5212,
538.8322, ,79.0606,
546.0649, ,78.5965,
546.9187, ,78.129,
552.4437, ,77.6581,
555.0053, ,77.1274,
556.3112, ,76.5926,
558.0188, ,76.0539,
558.4207, ,75.5113,
565.6533, ,74.8748,
566.9592, ,74.2334,
575.4977, ,73.5872,
575.8996, ,72.9364,
577.6073, ,72.0992,
578.21, ,71.2551,
578.9132, ,70.4044,
579.767, ,69.5473,
581.8765, ,68.6868,
583.9861, ,67.8207,
585.292, ,66.9493,
588.7074, ,66.0728,
590.8169, ,65.1927,
591.4699, ,64.3083,
593.8305, ,63.4199,
596.3921, ,62.5277,
598.5016, ,61.8053,
600.26,68.75, ,
601.0631, ,61.0808,
602.7709, ,60.3544,
604.4785, ,59.6263,
604.4785, ,58.9861,
605.7342, ,58.3449,
608.7478, ,57.7026,
610.8573, ,57.0595,
612.5651, ,56.4587,
612.5651, ,55.8573,
613.871, ,55.2554,
615.5285, ,54.6531,
621.9574, ,54.078,
622.8113, ,53.5026,
624.519, ,52.9271,
626.2267, ,52.3515,
628.7883, ,51.7957,
629.592, ,51.2401,
631.2996, ,50.6845,
635.5689, ,50.1291,
640.893, ,49.5892,
642.3997, ,49.0495,
643.7056, ,48.5101,
645.4134, ,47.9712,
646.2672, ,47.4447,
647.5228, ,46.9187,
647.9247, ,46.3932,
653.9016, ,45.8683,
656.9153, ,45.3536,
662.4402, ,44.8396,
663.7461, ,44.3264,
664.5497, ,43.8139,
665.4036, ,43.3099,
667.5633, ,42.8069,
673.9421, ,42.3047,
675.248, ,41.8034,
680.26,62.5, ,
682.0789, ,41.3095,
683.3345, ,40.8165,
684.5902, ,40.3245,
686.2979, ,39.8336,
691.0192, ,39.3491,
693.9825, ,38.8657,
694.8365, ,38.3834,
696.5441, ,37.9022,
