Time (min),VRI_ANIMO,VRI_ODE,
0,8.9744,29.7579,
11.58,7.6923, ,
18.7345, ,30.306,
20.4423, ,30.8581,
23.62,6.4103, ,
31.1406, ,31.4143,
34.1039, ,31.9745,
36.48,5.1282, ,
38.3733, ,32.566,
40.4827, ,33.1618,
43.0443, ,33.7617,
48.6194, ,34.3657,
49.24,3.8462, ,
51.1308, ,35.0145,
53.6923, ,35.6678,
56.706, ,36.3254,
62.92,2.5641, ,
63.9386, ,36.9872,
64.7925, ,37.6037,
65.6463, ,38.2237,
71.6233, ,38.8468,
72.8789, ,39.4732,
75.8926, ,40.0982,
77.26,1.2821, ,
81.8696, ,40.726,
83.979, ,41.3566,
86.0886, ,41.9899,
89.1022, ,42.5472,
92.0656, ,43.1063,
93.7733, ,43.6673,
95.0791, ,44.2299,
96.24,0, ,
98.0425, ,44.7507,
102.3118, ,45.2729,
105.2752, ,45.7962,
107.435, ,46.3207,
115.1197, ,46.8279,
118.083, ,47.336,
124.9139, ,47.845,
127.8773, ,48.3548,
129.5849, ,48.8588,
133.0003, ,49.3634,
138.1234, ,49.8686,
140.685, ,50.3744,
146.21, ,50.8805,
146.4,1.2821, ,
147.0638, ,51.3869,
149.2235, ,51.8937,
150.0272, ,52.4007,
157.7119, ,52.9118,
160.2735, ,53.4229,
162.835, ,53.9341,
164.1409, ,54.4453,
165.24,2.5641, ,
165.8486, ,54.9628,
168.812, ,55.48,
174.789, ,55.9971,
178.66,3.8462, ,
179.0583, ,56.5139,
181.1678, ,57.0382,
182.0217, ,57.5621,
184.1312, ,58.0855,
187.5465, ,58.6083,
188.36,5.1282, ,
189.2543, ,59.1394,
191.8159, ,59.6698,
194.7792, ,60.1993,
196.5,6.4103, ,
199.0987, ,60.7279,
200.3544, ,61.2652,
202.9662, ,61.8013,
204.02,7.6923, ,
208.8929, ,62.3362,
211.0025, ,62.8699,
211.18,8.9744, ,
213.1622, ,63.4122,
215.7238, ,63.9531,
217.3813, ,64.4924,
217.52,10.2564, ,
223.2,11.5385, ,
227.3764, ,65.03,
228.8,12.8205, ,
231.4949, ,65.576,
232.7506, ,66.1202,
233.6045, ,66.6625,
233.68,14.1026, ,
234.4583, ,67.2026,
235.5131, ,67.7509,
236.5678, ,68.2969,
238.62,15.3846, ,
239.5815, ,68.8404,
243.68,16.6667, ,
243.8507, ,69.3816,
248.44,17.9487, ,
250.6313, ,69.9303,
252.64,19.2308, ,
253.1929, ,70.4764,
256.2065, ,71.0196,
256.94,20.5128, ,
257.0603, ,71.5599,
260.0237, ,72.1075,
260.8776, ,72.6519,
261.06,21.7949, ,
265.46,23.0769, ,
269.4161, ,73.193,
269.54,24.359, ,
270.27, ,73.7307,
271.9777, ,74.2754,
273.1,25.641, ,
274.8908, ,74.8164,
277.24,26.9231, ,
277.5026, ,75.3536,
279.2103, ,75.8869,
279.6624, ,76.427,
281,28.2051, ,
281.7719, ,76.9628,
282.6258, ,77.4943,
282.7262, ,78.0214,
284.76,29.4872, ,
285.5891, ,78.5552,
286.443, ,79.0842,
288.56,30.7692, ,
292,32.0513, ,
293.2738, ,79.6082,
294.1277, ,80.1273,
295.34,33.3333, ,
295.4336, ,80.6533,
297.1413, ,81.1738,
298.8,34.6154, ,
300.5065, ,81.6888,
302.3,35.8974, ,
306.08,37.1795, ,
306.9354, ,82.1981,
307.3373, ,82.7148,
309.26,38.4615, ,
309.497, ,83.2253,
312.94,39.7436, ,
315.4741, ,83.7296,
316.22,41.0256, ,
318.8392, ,84.2276,
320.06,42.3077, ,
323.18,43.5897, ,
324.4144, ,84.7336,
325.6701, ,85.2326,
326.64,44.8718, ,
328.6836, ,85.7247,
330.38,46.1538, ,
331.2452, ,86.2097,
332.5009, ,86.7039,
332.9027, ,87.1903,
333.986,47.4359, ,
337.44,48.7179, ,
340.1856, ,87.6688,
340.88,50, ,
342.2951, ,88.1393,
343.149, ,88.621,
344.84,51.2821, ,
345.3087, ,89.0939,
347.9707, ,89.5577,
348.26,52.5641, ,
349.9798, ,90.0124,
350.8337, ,90.482,
352.02,53.8462, ,
353.797, ,90.9412,
354.2491, ,91.39,
355.98,55.1282, ,
356.5092, ,91.8282,
359.68,56.4103, ,
360.226, ,92.2884,
362.3356, ,92.7362,
363.896,57.6923, ,
367.86,58.9744, ,
368.3125, ,93.1713,
371.7,60.2564, ,
375.724,61.5385, ,
376.8511, ,93.5936,
380.132,62.8205, ,
382.5267, ,94.0574,
383.6317, ,94.5045,
384.38,64.1026, ,
384.4855, ,94.9348,
387.4992, ,95.3481,
389.04,65.3846, ,
390.2616, ,95.7734,
392.1702, ,96.1788,
393.744,66.6667, ,
393.878, ,96.5642,
395.1838, ,96.9294,
396.4395, ,96.9655,
398.1,67.9487, ,
399.0513, ,97.0014,
400.7088, ,97.0371,
402.74,69.2308, ,
408.06,70.5128, ,
410.5029, ,97.0726,
413.34,71.7949, ,
413.5166, ,97.1078,
414.3704, ,97.1429,
416.4297, ,97.1777,
417.3338, ,97.2123,
418.1876, ,97.3823,
418.608,73.0769, ,
419.8954, ,97.547,
422.0049, ,97.7063,
423.984,74.359, ,
427.5801, ,97.8604,
428.8357, ,97.873,
429.2,75.641, ,
430.5434, ,97.8857,
431.3973, ,97.8983,
432.2511, ,97.9108,
433.2055, ,97.9133,
434.72,76.9231, ,
439.4838, ,97.9158,
440.6,78.2051, ,
442.4974, ,97.9182,
443.3512, ,97.9207,
446.3146, ,97.9209,
446.68,79.4872, ,
449.278, ,97.921,
449.6798, ,97.9212,
449.73, ,97.9214,
450.1319, ,97.9215,
451.8396, ,97.9216,
452.6934, ,97.9217,
453.08,80.7692, ,
454.4012, ,97.9219,
459.5242, ,97.922,
459.62,82.0513, ,
460.3781, ,97.9221,
462.5379, ,97.9223,
466.1542, ,97.9224,
466.32,83.3333, ,
471.0261, ,97.923,
473.186, ,97.9237,
473.496,84.6154, ,
473.5877, ,97.9243,
478.7108, ,97.925,
480.16,85.8974, ,
485.9435, ,97.9282,
488.08,87.1795, ,
490.2128, ,97.9315,
492.473, ,97.9347,
494.9341, ,97.9379,
496.376,88.4615, ,
500.459, ,97.9541,
502.1668, ,97.9702,
503.2215, ,97.9862,
503.8744, ,98.0021,
504.58,89.7436, ,
506.436, ,98.0809,
511.1071, ,98.1581,
512.6139, ,98.2337,
513.536,91.0256, ,
514.1207, ,98.3078,
515.3764, ,98.4384,
516.632, ,98.5637,
519.6457, ,98.6838,
520.0474, ,98.7987,
522.116,92.3077, ,
522.609, ,98.9118,
525.1705, ,99.0193,
528.1842, ,99.1213,
529.4398, ,99.2176,
532.2023, ,99.3157,
532.44,93.5897, ,
535.8186, ,99.4072,
536.6725, ,99.4921,
537.1245, ,99.5704,
538.8322, ,99.6486,
543.2,94.8718, ,
546.0649, ,99.719,
546.9187, ,99.7815,
552.4437, ,99.8362,
554.36,96.1538, ,
555.0053, ,99.8881,
556.3112, ,99.9302,
558.0188, ,99.9625,
558.4207, ,99.9851,
565.6533, ,99.9991,
566.9592, ,100,
568.06,97.4359, ,
575.4977, ,99.9878,
575.8996, ,99.9626,
577.6073, ,99.9115,
578.21, ,99.8393,
578.9132, ,99.7463,
579.767, ,99.6325,
581.8765, ,99.4985,
582.42,98.7179, ,
583.9861, ,99.3442,
585.292, ,99.1697,
588.7074, ,98.9752,
590.8169, ,98.7612,
591.4699, ,98.5276,
593.8305, ,98.2747,
596.3921, ,98.0026,
598.5016, ,97.7692,
601.0631, ,97.5236,
601.38,100, ,
602.7709, ,97.2659,
604.4785, ,96.9963,
604.4785, ,96.75,
605.7342, ,96.4946,
608.7478, ,96.2303,
610.8573, ,95.9571,
612.5651, ,95.6943,
612.5651, ,95.424,
613.871, ,95.1462,
615.5285, ,94.861,
621.9574, ,94.5819,
622.8113, ,94.2963,
624.519, ,94.0041,
626.2267, ,93.7055,
628.7883, ,93.4112,
629.592, ,93.1109,
631.2996, ,92.8048,
635.5689, ,92.493,
640.893, ,92.1842,
642.3997, ,91.8701,
643.7056, ,91.5507,
645.4134, ,91.2262,
646.2672, ,90.9039,
647.5228, ,90.5767,
647.9247, ,90.2447,
653.9016, ,89.908,
656.9153, ,89.5729,
662.4402, ,89.2334,
663.7461, ,88.8895,
664.5497, ,88.5412,
665.4036, ,88.1941,
667.5633, ,87.8429,
673.9421, ,87.4877,
675.248, ,87.1284,
680.356,98.7179, ,
682.0789, ,86.77,
683.3345, ,86.4077,
684.5902, ,86.0418,
686.2979, ,85.6722,
691.0192, ,85.303,
693.9825, ,84.9303,
694.8365, ,84.5542,
696.5441, ,84.1747,
699.5075, ,83.7955,
702.5212, ,83.4129,
706.3384, ,83.0273,
708.046, ,82.6385,
711.0597, ,82.2497,
712.716,97.4359, ,
713.6212, ,81.8579,
714.8769, ,81.4632,
716.9864, ,81.0656,
718.6941, ,80.6679,
719.548, ,80.2674,
722.5616, ,79.8642,
723.2648, ,79.4584,
728.9404, ,79.0523,
731.502, ,78.6436,
732.38,96.1538, ,
733.511, ,78.2325,
734.0635, ,77.819,
734.9174, ,77.4051,
736.173, ,76.9889,
736.625, ,76.5704,
737.4789, ,76.1498,
739.1866, ,75.7287,
742.15, ,75.3056,
744.1591, ,74.8803,
746.0175, ,74.4531,
747.2731, ,74.0256,
749.196,94.8718, ,
750.2365, ,73.5961,
753.2501, ,73.1648,
754.8071, ,72.7317,
756.2135, ,72.706,
758.775, ,72.6803,
761.7886, ,72.6545,
762.1904, ,72.6288,
763.0443, ,72.6246,
763.42,93.5897, ,
764.752, ,72.6204,
765.4552, ,72.6162,
767.3136, ,72.612,
769.8751, ,72.6092,
771.5829, ,72.6064,
