Time (min),cwo_ANIMO,cwo_ODE,
0,0,59.0983,
18.7345, ,59.8622,
20.4423, ,60.6282,
31.1406, ,61.396,
34.1039, ,62.1653,
38.3733, ,62.9732,
40.4827, ,63.782,
43.0443, ,64.5914,
48.6194, ,65.4009,
51.1308, ,66.2644,
53.6923, ,67.127,
56.706, ,67.9881,
63.9386, ,68.8473,
64.7925, ,69.6407,
65.6463, ,70.4315,
71.6233, ,71.2192,
72.8789, ,72.0032,
75.8926, ,72.7777,
81.8696, ,73.5477,
83.979, ,74.3128,
86.0886, ,75.0726,
88.18,6.6667, ,
89.1022, ,75.734,
92.0656, ,76.3908,
93.7733, ,77.0425,
95.0791, ,77.6889,
98.0425, ,78.2809,
102.3118, ,78.8679,
105.2752, ,79.4498,
106.52,13.3333, ,
107.435, ,80.0264,
115.1197, ,80.5777,
118.083, ,81.1237,
124.54,20, ,
124.9139, ,81.6642,
127.8773, ,82.1991,
129.5849, ,82.7215,
133.0003, ,83.2381,
138.1234, ,83.7489,
140.22,26.6667, ,
140.685, ,84.2535,
146.21, ,84.7519,
147.0638, ,85.2439,
149.2235, ,85.7295,
150.0272, ,86.2085,
152.04,33.3333, ,
157.7119, ,86.6843,
160.2735, ,87.1532,
162.835, ,87.615,
164,40, ,
164.1409, ,88.0697,
165.8486, ,88.5225,
168.812, ,88.9677,
174.789, ,89.4053,
176.12,46.6667, ,
179.0583, ,89.835,
181.1678, ,90.2633,
182.0217, ,90.6833,
184.1312, ,91.0949,
187.02,53.3333, ,
187.5465, ,91.4981,
189.2543, ,91.8994,
191.8159, ,92.2918,
194.7792, ,92.6751,
198,60, ,
199.0987, ,93.0492,
200.3544, ,93.4208,
202.9662, ,93.7826,
208.8929, ,94.1348,
208.92,66.6667, ,
211.0025, ,94.4771,
213.1622, ,94.8157,
215.7238, ,95.1439,
217.3813, ,95.4618,
222.24,73.3333, ,
227.3764, ,95.7692,
231.4949, ,96.0715,
232.7506, ,96.3629,
233.6045, ,96.6433,
234.4583, ,96.9125,
235.26,80, ,
235.5131, ,97.1755,
236.5678, ,97.4268,
239.5815, ,97.6664,
243.8507, ,97.8944,
248.44,86.6667, ,
250.6313, ,98.1147,
253.1929, ,98.3229,
256.2065, ,98.5188,
257.0603, ,98.7025,
260.0237, ,98.8772,
260.8776, ,99.0392,
267.32,93.3333, ,
269.4161, ,99.1885,
270.27, ,99.3252,
271.9777, ,99.4514,
274.8908, ,99.5645,
277.5026, ,99.6645,
279.2103, ,99.7514,
279.6624, ,99.8266,
281.7719, ,99.8882,
282.6258, ,99.9363,
282.7262, ,99.9709,
285.5891, ,99.9924,
286.443, ,100,
290.36,100, ,
293.2738, ,99.9937,
294.1277, ,99.9737,
295.4336, ,99.939,
297.1413, ,99.89,
300.5065, ,99.8269,
306.9354, ,99.7498,
307.3373, ,99.6562,
309.497, ,99.548,
315.4741, ,99.4254,
318.8392, ,99.2885,
324.4144, ,99.1329,
325.6701, ,98.9624,
327.486,93.3333, ,
328.6836, ,98.7772,
331.2452, ,98.5775,
332.5009, ,98.3559,
332.9027, ,98.1191,
340.1856, ,97.8674,
342.2951, ,97.601,
343.149, ,97.3079,
345.3087, ,96.9993,
347.9707, ,96.6755,
349.9798, ,96.3367,
350.1,86.6667, ,
350.8337, ,95.9634,
353.797, ,95.574,
354.2491, ,95.1688,
356.5092, ,94.7483,
360.226, ,94.2781,
362.3356, ,93.7909,
368.3125, ,93.2869,
372.016,80, ,
376.8511, ,92.7667,
382.5267, ,92.157,
383.6317, ,91.5275,
384.4855, ,90.8789,
387.4992, ,90.2117,
390.2616, ,89.4745,
390.44,73.3333, ,
392.1702, ,88.7173,
393.878, ,87.9411,
395.1838, ,87.1465,
396.4395, ,87.0645,
399.0513, ,86.9823,
400.7088, ,86.9,
410.5029, ,86.8174,
413.34,66.6667, ,
413.5166, ,86.7347,
414.3704, ,86.6518,
416.4297, ,86.5688,
417.3338, ,86.4855,
418.1876, ,86.0667,
419.8954, ,85.6436,
422.0049, ,85.2163,
427.5801, ,84.785,
428.8357, ,84.7486,
430.5434, ,84.7123,
431.3973, ,84.6759,
432.2511, ,84.6395,
433.2055, ,84.6323,
439.4838, ,84.6251,
442.4974, ,84.618,
443.3512, ,84.6108,
445.88,60, ,
446.3146, ,84.6103,
449.278, ,84.6098,
449.6798, ,84.6093,
449.73, ,84.6089,
450.1319, ,84.6085,
451.8396, ,84.6081,
452.6934, ,84.6077,
454.4012, ,84.6073,
459.5242, ,84.607,
460.3781, ,84.6066,
462.5379, ,84.6062,
466.1542, ,84.6058,
471.0261, ,84.6039,
473.186, ,84.602,
473.5877, ,84.6001,
478.7108, ,84.5983,
485.9435, ,84.5888,
490.2128, ,84.5793,
492.473, ,84.5699,
494.9341, ,84.5604,
500.459, ,84.513,
502.1668, ,84.4656,
503.2215, ,84.4181,
503.8744, ,84.3706,
506.436, ,84.1324,
506.46,53.3333, ,
511.1071, ,83.893,
512.6139, ,83.6525,
514.1207, ,83.411,
515.3764, ,82.9691,
516.632, ,82.5238,
519.6457, ,82.0751,
520.0474, ,81.6231,
522.609, ,81.1531,
525.1705, ,80.6799,
528.1842, ,80.2035,
529.4398, ,79.7241,
532.2023, ,79.2013,
535.8186, ,78.6751,
536.6725, ,78.1458,
537.1245, ,77.6135,
538.8322, ,77.0275,
546.0649, ,76.4382,
546.9187, ,75.8458,
552.4437, ,75.2504,
555.0053, ,74.5809,
556.3112, ,73.9082,
558.0188, ,73.2323,
558.4207, ,72.5537,
561.46,46.6667, ,
565.6533, ,71.7602,
566.9592, ,70.9635,
575.4977, ,70.1639,
575.8996, ,69.3617,
577.6073, ,68.3349,
578.21, ,67.3051,
578.9132, ,66.273,
579.767, ,65.2393,
581.8765, ,64.2077,
583.9861, ,63.1758,
585.292, ,62.1439,
588.7074, ,61.1129,
590.8169, ,60.0844,
591.4699, ,59.0577,
593.8305, ,58.0333,
596.3921, ,57.0118,
598.5016, ,56.1899,
601.0631, ,55.3703,
602.7709, ,54.5534,
604.4785, ,53.7393,
604.4785, ,53.0276,
605.7342, ,52.3183,
608.7478, ,51.6117,
610.8573, ,50.9079,
612.5651, ,50.2538,
612.5651, ,49.6023,
613.871, ,48.9536,
615.5285, ,48.3078,
619.356,40, ,
621.9574, ,47.6941,
622.8113, ,47.0832,
624.519, ,46.4751,
626.2267, ,45.87,
628.7883, ,45.2885,
629.592, ,44.7099,
631.2996, ,44.1342,
635.5689, ,43.5615,
640.893, ,43.0073,
642.3997, ,42.456,
643.7056, ,41.9077,
645.4134, ,41.3624,
646.2672, ,40.8321,
647.5228, ,40.3048,
647.9247, ,39.7805,
653.9016, ,39.2593,
655.9,33.3333, ,
656.9153, ,38.7505,
662.4402, ,38.2448,
663.7461, ,37.7421,
664.5497, ,37.2425,
665.4036, ,36.7535,
667.5633, ,36.2675,
673.9421, ,35.7846,
675.248, ,35.3047,
682.0789, ,34.834,
683.3345, ,34.3664,
684.5902, ,33.9018,
686.2979, ,33.4403,
691.0192, ,32.9868,
693.9825, ,32.5364,
694.8365, ,32.089,
696.5441, ,31.6447,
699.5075, ,31.2075,
702.5212, ,30.7734,
