Time (min),AKT,Akt_data,Akt_data_StdDev,
0,20,20.1848,1.7923,
0.3522,23, , ,
0.7089,29, , ,
1.0655,37, , ,
1.42,45, , ,
1.7767,53, , ,
2.1356,59, , ,
2.472,63, , ,
2.8241,65, , ,
3.1808,67, , ,
4.059,66, , ,
4.4089,65, , ,
4.7137,64, , ,
5, ,77.8146,20.0974,
5.0636,63, , ,
5.3412,62, , ,
6.0501,61, , ,
6.4023,60, , ,
6.7499,59, , ,
7.0908,58, , ,
7.4114,57, , ,
8.118,56, , ,
8.4363,55, , ,
8.7681,54, , ,
9.477,53, , ,
9.7163,52, , ,
10.5448,51, , ,
10.7525,50, , ,
11.5561,49, , ,
11.9151,48, , ,
12.2673,47, , ,
13.0709,46, , ,
13.396,45, , ,
14.2019,44, , ,
14.5022,43, , ,
15, ,17.3971,5.3277,
15.3736,42, , ,
15.6896,41, , ,
16.6445,40, , ,
16.9764,39, , ,
17.9155,38, , ,
18.2519,37, , ,
19.2474,36, , ,
19.9044,35, , ,
20.6809,34, , ,
21.4553,33, , ,
22.2002,32, , ,
22.9249,31, , ,
23.6789,30, , ,
24.5052,29, , ,
25.2772,28, , ,
26.4105,27, , ,
27.3993,26, , ,
28.2187,25, , ,
29.1782,24, , ,
30, ,16.4082,9.6089,
30.4288,23, , ,
31.4583,22, , ,
32.35,21, , ,
33.5577,20, , ,
34.8264,19, , ,
36.1629,18, , ,
37.5738,17, , ,
39.066,16, , ,
40.9962,15, , ,
42.6893,14, , ,
44.1589,13, , ,
46.1117,12, , ,
48.5588,11, , ,
50.5319,10, , ,
53.0603,9, , ,
56.1034,8, , ,
59.0201,7, , ,
60, ,18.0392,2.2669,
62.6321,6, , ,
66.8536,5, , ,
71.9104,4, , ,
78.2539,3, , ,
86.697,2, , ,
90, ,16.8674,6.6049,
99.3841,1, , ,
120, ,20.0831,2.7635,
124.6681,0, , ,
240, ,27.4267,10.1067,
480, ,21.3801,10.336,
720, ,34.2334,8.1653,
960, ,36.4358,7.4014,
1200, ,26.3308,13.6081,
1440,0,32.2727,7.0328,
