Time (min),FKHR,FKHR_data,FKHR_data_StdDev,
0,0,0.1033,2.2089,
0.3522,1, , ,
0.7089,2, , ,
1.0655,4, , ,
1.42,6, , ,
1.7767,9, , ,
2.1356,11, , ,
2.472,14, , ,
2.8241,16, , ,
3.1808,19, , ,
3.5375,21, , ,
3.8648,23, , ,
4.2102,25, , ,
4.5647,26, , ,
4.9168,28, , ,
5, ,14.678,1.059,
5.2667,30, , ,
5.6234,31, , ,
5.9282,32, , ,
6.2059,33, , ,
6.5535,34, , ,
6.8109,35, , ,
7.4114,36, , ,
7.7094,37, , ,
8.5198,38, , ,
9.2761,39, , ,
10.2107,40, , ,
11.8767,41, , ,
15, ,56.7042,6.7772,
15.9289,40, , ,
18.2812,39, , ,
19.9044,38, , ,
21.602,37, , ,
23.0355,36, , ,
24.5052,35, , ,
26.108,34, , ,
27.4986,33, , ,
29.036,32, , ,
30, ,12.6391,9.6068,
30.4288,31, , ,
31.4583,30, , ,
33.0724,29, , ,
34.5623,28, , ,
36.1629,27, , ,
37.5738,26, , ,
39.066,25, , ,
40.653,24, , ,
42.3462,23, , ,
43.7503,22, , ,
45.3644,21, , ,
46.9695,20, , ,
48.8252,19, , ,
50.5319,18, , ,
52.4327,17, , ,
54.2974,16, , ,
56.1034,15, , ,
58.3609,14, , ,
60, ,4.3707,2.6964,
60.5236,13, , ,
62.6321,12, , ,
65.2733,11, , ,
67.7114,10, , ,
71.0525,9, , ,
74.0324,8, , ,
78.2539,7, , ,
82.0014,6, , ,
86.697,5, , ,
90, ,7.4147,1.2757,
91.5732,4, , ,
99.3841,3, , ,
106.0663,2, , ,
120, ,0,7.257,
124.6681,1, , ,
134.5786,0, , ,
240, ,3.0391,13.3405,
480, ,8.164,7.2443,
720, ,7.2893,0,
960, ,11.7682,0,
1200, ,3.8707,0,
1440,0,1.8072,0,
