Time (min),IKK,IKK_data,IKK_data_StdDev,
0,26,17.0694,3.3977,
3.8648,25, , ,
5, ,17.7827,4.2206,
7.4114,24, , ,
11.2062,23, , ,
15, ,18.3305,6.7801,
15.3736,22, , ,
19.4664,21, , ,
23.9385,20, , ,
28.5641,19, , ,
30, ,17.5622,8.6555,
33.0724,18, , ,
38.1969,17, , ,
43.7503,16, , ,
49.3715,15, , ,
55.8596,14, , ,
60, ,16.4424,8.7213,
62.1038,13, , ,
69.1923,12, , ,
76.8678,11, , ,
85.2657,10, , ,
90, ,15.2045,3.9259,
94.4989,9, , ,
104.748,8, , ,
116.2838,7, , ,
120, ,13.3407,4.8441,
129.4676,6, , ,
144.8637,5, , ,
163.3301,4, , ,
186.3566,3, , ,
217.0585,2, , ,
240, ,24.085,6.7692,
263.1115,1, , ,
355.4432,0, , ,
480, ,12.8127,2.8742,
720, ,16.7214,6.0415,
960, ,11.4339,3.851,
1200, ,16.4546,5.2986,
1440,0,13.6591,0.9564,
