Time (min),ERK,ERK_data,ERK_data_StdDev,
0,0,5.1821,3.0567,
2.9957,2, , ,
3.3546,4, , ,
3.7091,6, , ,
4.0635,10, , ,
4.4224,14, , ,
4.7724,18, , ,
5, ,12.3706,3.9483,
5.1313,22, , ,
5.4812,26, , ,
5.8379,30, , ,
6.1652,33, , ,
6.5219,36, , ,
6.8718,39, , ,
7.224,41, , ,
7.5626,42, , ,
7.9125,44, , ,
8.2534,45, , ,
8.6078,46, , ,
9.3935,47, , ,
10.3732,48, , ,
12.0167,47, , ,
12.94,46, , ,
13.2967,45, , ,
14.2358,44, , ,
14.5812,43, , ,
14.9176,42, , ,
15, ,51.7615,3.1464,
15.2426,41, , ,
15.9876,40, , ,
16.3398,39, , ,
16.6852,38, , ,
16.9583,37, , ,
17.166,36, , ,
17.9087,34, , ,
18.2474,33, , ,
18.5521,32, , ,
18.8772,31, , ,
19.2158,30, , ,
19.5703,29, , ,
19.9134,27, , ,
20.2656,26, , ,
20.6019,25, , ,
20.9383,24, , ,
21.2566,22, , ,
21.5546,21, , ,
21.8661,20, , ,
22.2183,19, , ,
22.5389,18, , ,
22.8436,17, , ,
23.1145,16, , ,
23.4554,15, , ,
24.0898,14, , ,
24.4397,13, , ,
24.7693,12, , ,
25.0605,11, , ,
25.5549,10, , ,
26.1622,9, , ,
26.8236,8, , ,
27.1171,7, , ,
28.0901,6, , ,
28.7176,5, , ,
29.6094,4, , ,
30, ,29.3586,2.467,
30.7223,3, , ,
31.8827,2, , ,
33.6187,1, , ,
36.9643,0, , ,
60, ,13.1237,1.9969,
90, ,12.3529,1.9939,
120, ,8.6652,1.9447,
240, ,9.3792,3.0951,
480, ,12.5731,0.2193,
720, ,13.9346,2.9854,
960, ,12.0246,1.0789,
1200, ,10.9621,2.1833,
1440,0,13.599,4.7529,
