Time (min),IRS1 (S),IRS1S_data,IRS1S_data_StdDev,
0,0,5.6055,1.0622,
3.6752,1, , ,
4.0206,3, , ,
4.3683,4, , ,
4.7159,6, , ,
5, ,9.8779,1.4635,
5.0703,9, , ,
5.4203,11, , ,
5.7544,14, , ,
6.0636,17, , ,
6.4158,20, , ,
6.7657,23, , ,
7.1179,25, , ,
7.4701,28, , ,
7.7432,30, , ,
8.0751,32, , ,
8.4024,33, , ,
8.7501,35, , ,
9.039,36, , ,
9.3935,38, , ,
9.714,39, , ,
10.0594,40, , ,
10.8202,41, , ,
11.1317,42, , ,
12.3282,43, , ,
14.7166,42, , ,
15, ,63.3835,2.9541,
15.9876,41, , ,
16.9109,40, , ,
17.7394,39, , ,
18.5115,38, , ,
18.8433,37, , ,
19.6154,36, , ,
19.9134,35, , ,
20.6968,34, , ,
21.0467,33, , ,
21.3966,32, , ,
21.7352,31, , ,
22.0896,30, , ,
22.7804,29, , ,
23.1145,28, , ,
23.4554,27, , ,
23.8076,26, , ,
24.0898,25, , ,
24.4397,24, , ,
24.7693,23, , ,
25.4804,22, , ,
25.5549,21, , ,
26.1622,20, , ,
26.5211,19, , ,
26.8236,18, , ,
27.5392,17, , ,
27.8982,16, , ,
28.0901,15, , ,
28.7176,14, , ,
29.0089,13, , ,
29.6094,12, , ,
30, ,51.1045,7.8235,
30.3634,11, , ,
30.7223,10, , ,
31.5282,9, , ,
31.8827,8, , ,
32.6954,7, , ,
33.6187,6, , ,
34.4088,5, , ,
35.3118,4, , ,
36.734,3, , ,
37.8402,2, , ,
39.574,1, , ,
42.757,0, , ,
60, ,22.6433,2.4375,
90, ,11.7516,4.0798,
120, ,11.4347,1.6586,
240, ,7.4837,1.1363,
480, ,8.7668,0.3097,
720, ,6.059,0.9291,
960, ,5.022,0.3288,
1200, ,4.3242,0.6419,
1440,0,2.661,0.2337,
