Time (min),JNK1,JNK1_data,JNK1_data_StdDev,
0,0,1.622,1.0763,
3.2982,4, , ,
3.6526,7, , ,
4.0025,12, , ,
4.3547,18, , ,
4.7114,25, , ,
5, ,14.7713,2.1803,
5.0703,32, , ,
5.4203,38, , ,
5.7544,44, , ,
6.0636,49, , ,
6.4158,54, , ,
6.7657,58, , ,
7.1179,62, , ,
7.4701,65, , ,
7.7432,67, , ,
8.0751,69, , ,
8.4024,71, , ,
8.7501,72, , ,
9.039,73, , ,
9.3935,74, , ,
10.3484,75, , ,
10.6893,76, , ,
12.1792,75, , ,
13.5789,74, , ,
13.922,73, , ,
14.983,72, , ,
15, ,89.58,6.4315,
15.7099,71, , ,
16.5723,70, , ,
16.929,69, , ,
17.604,68, , ,
17.9087,67, , ,
18.2474,66, , ,
19.0759,64, , ,
19.3806,63, , ,
19.7283,62, , ,
20.4281,61, , ,
20.6968,60, , ,
21.0467,59, , ,
21.3966,58, , ,
22.1551,56, , ,
22.4802,55, , ,
22.8369,54, , ,
23.5864,52, , ,
23.8166,51, , ,
24.0898,50, , ,
24.4397,48, , ,
24.7693,47, , ,
25.5549,45, , ,
25.8484,44, , ,
26.1622,43, , ,
26.5211,42, , ,
26.8236,40, , ,
27.1171,39, , ,
27.458,38, , ,
28.0901,37, , ,
28.3587,36, , ,
28.7176,34, , ,
29.8825,33, , ,
30, ,35.672,4.6093,
30.1828,32, , ,
30.4808,31, , ,
30.7223,30, , ,
31.3905,28, , ,
31.7359,27, , ,
31.8827,26, , ,
32.2326,25, , ,
32.5418,24, , ,
32.7811,23, , ,
33.1062,22, , ,
33.4358,21, , ,
33.7022,20, , ,
34.0499,19, , ,
34.4088,18, , ,
34.6887,17, , ,
35.3118,16, , ,
35.5172,15, , ,
36.0613,14, , ,
36.734,13, , ,
36.9643,12, , ,
37.8402,11, , ,
38.145,10, , ,
39.1112,9, , ,
39.9261,8, , ,
40.574,7, , ,
41.389,6, , ,
42.757,5, , ,
43.9422,4, , ,
45.8859,3, , ,
47.8229,2, , ,
51.2091,1, , ,
57.9816,0, , ,
60, ,2.628,0.7392,
90, ,4.836,1.1045,
120, ,4.204,0.9174,
240, ,7.4293,2.0419,
480, ,6.88,0.5417,
720, ,3.4747,0.0771,
960, ,1.9753,0.4849,
1200, ,1.682,0.7123,
1440,0,0.7893,0.3938,
