Time (min),MEK,MEK_data,MEK_data_StdDev,
0,0,6.6667,2.2339,
2.5758,3, , ,
2.9212,8, , ,
3.2553,13, , ,
3.6097,20, , ,
3.9642,27, , ,
4.3209,34, , ,
4.6798,40, , ,
5, ,9.9051,2.7743,
5.032,46, , ,
5.3525,50, , ,
5.6912,53, , ,
6.0411,56, , ,
6.3978,58, , ,
6.7477,59, , ,
7.0344,60, , ,
8.653,59, , ,
8.9916,58, , ,
9.714,57, , ,
10.4432,55, , ,
10.7096,54, , ,
11.4162,53, , ,
11.7413,52, , ,
12.0663,51, , ,
12.4185,49, , ,
12.7752,48, , ,
13.1341,46, , ,
13.4773,44, , ,
13.8272,43, , ,
14.1816,41, , ,
14.5135,39, , ,
14.8521,37, , ,
15, ,27.8122,3.5561,
15.1952,35, , ,
15.509,33, , ,
15.8657,32, , ,
16.2224,30, , ,
16.5723,29, , ,
16.929,28, , ,
17.166,27, , ,
17.4934,26, , ,
17.7688,24, , ,
18.0893,22, , ,
18.3422,20, , ,
18.6898,18, , ,
19.0172,17, , ,
19.3445,15, , ,
19.6154,14, , ,
19.9134,13, , ,
20.2656,12, , ,
20.6019,10, , ,
20.9383,9, , ,
21.6675,8, , ,
21.8661,7, , ,
22.2183,6, , ,
23.1145,5, , ,
23.4554,4, , ,
24.6158,3, , ,
25.5549,2, , ,
27.458,1, , ,
30, ,14.7312,3.5992,
30.7223,0, , ,
60, ,11.0034,2.4995,
90, ,11.1136,5.1572,
120, ,17.694,2.113,
240, ,17.4498,2.0185,
480, ,16.5723,3.4953,
720, ,12.924,0.81,
960, ,12.1672,2.2342,
1200, ,11.4652,0.1025,
1440,0,10.5806,0.5206,
