Time (min),Casp8,Casp8_data,Casp8_data_StdDev,
0,0,1.8106,0.4494,
5, ,2.2799,0.6514,
15, ,1.7205,0.5701,
22.7646,1, , ,
23.6721,0, , ,
30, ,0.193,0.3343,
39.2082,1, , ,
51.7554,2, , ,
60, ,1.2093,0.7543,
62.3025,3, , ,
72.5921,4, , ,
83.1798,5, , ,
90, ,1.8211,0.7965,
92.0969,6, , ,
101.1044,7, , ,
110.4346,8, , ,
119.4127,9, , ,
120, ,2.3292,0.5962,
127.3816,10, , ,
135.4409,11, , ,
143.7598,12, , ,
151.8304,13, , ,
160.2057,14, , ,
167.5426,15, , ,
175.0826,16, , ,
182.5775,17, , ,
190.2304,18, , ,
198.1994,19, , ,
205.8072,20, , ,
213.0989,21, , ,
219.9843,22, , ,
227.2421,23, , ,
234.5451,24, , ,
240, ,13.2292,2.2863,
241.9723,25, , ,
249.4898,26, , ,
257.3842,27, , ,
264.1229,28, , ,
271.1956,29, , ,
278.2729,30, , ,
285.5195,31, , ,
293.1972,32, , ,
300.3512,33, , ,
307.9364,34, , ,
315.6345,35, , ,
323.5087,36, , ,
331.3693,37, , ,
338.7061,38, , ,
346.1559,39, , ,
353.7185,40, , ,
361.5498,41, , ,
369.2501,42, , ,
377.2191,43, , ,
385.6237,44, , ,
393.5634,45, , ,
401.9613,46, , ,
410.5172,47, , ,
418.5087,48, , ,
426.6583,49, , ,
435.3248,50, , ,
443.4315,51, , ,
452.0777,52, , ,
460.9046,53, , ,
469.912,54, , ,
479.1226,55, , ,
480, ,40.665,4.0996,
488.7711,56, , ,
498.2436,57, , ,
507.2284,58, , ,
516.6603,59, , ,
526.056,60, , ,
535.831,61, , ,
545.8543,62, , ,
556.1259,63, , ,
566.691,64, , ,
577.5495,65, , ,
588.7242,66, , ,
600.2148,67, , ,
612.0667,68, , ,
624.2798,69, , ,
636.8766,70, , ,
648.9768,71, , ,
661.4834,72, , ,
674.5001,73, , ,
687.8735,74, , ,
701.9964,75, , ,
716.3406,76, , ,
720, ,62.1165,4.0557,
731.5065,77, , ,
747.2458,78, , ,
763.7481,79, , ,
781.0405,80, , ,
799.1908,81, , ,
817.0251,82, , ,
835.8526,83, , ,
856.1249,84, , ,
876.9617,85, , ,
899.6969,86, , ,
923.7099,87, , ,
948.3438,88, , ,
960, ,84.0318,8.4449,
974.6843,89, , ,
1001.7427,90, , ,
1031.3746,91, , ,
1063.0925,92, , ,
1097.9708,93, , ,
1136.3641,94, , ,
1180.6856,95, , ,
1200, ,81.5611,4.5441,
1231.389,96, , ,
1289.023,97, , ,
1359.4208,98, , ,
1440,98,92.9884,3.9795,
