Time (min),IRS1 (S),IRS1s_data,IRS1s_data_StdDev,
0,0,5.6055,1.0622,
1.7744,2, , ,
2.1333,3, , ,
2.481,6, , ,
2.8377,9, , ,
3.1944,12, , ,
3.5443,16, , ,
3.901,19, , ,
4.2554,23, , ,
4.5737,26, , ,
4.9078,29, , ,
5, ,35.3261,1.4635,
5.2667,31, , ,
5.6212,34, , ,
5.9621,36, , ,
6.2962,38, , ,
6.6461,39, , ,
6.9576,41, , ,
7.3166,42, , ,
7.6642,43, , ,
8.0096,44, , ,
8.8449,45, , ,
9.5718,46, , ,
11.5742,47, , ,
13.6082,46, , ,
15, ,54.3389,2.9541,
15.4187,45, , ,
17.1909,44, , ,
18.5002,43, , ,
19.4845,42, , ,
20.4191,41, , ,
21.0534,40, , ,
21.7804,39, , ,
22.1032,38, , ,
22.9701,37, , ,
23.329,36, , ,
24.0333,35, , ,
24.381,34, , ,
24.6316,33, , ,
25.3856,32, , ,
25.7152,31, , ,
25.9725,30, , ,
26.3179,29, , ,
26.6204,28, , ,
27.1916,27, , ,
27.5325,26, , ,
27.8824,25, , ,
28.221,24, , ,
28.5461,23, , ,
29.1962,22, , ,
29.3701,21, , ,
29.6793,20, , ,
30, ,44.8857,7.8235,
30.2798,19, , ,
30.5101,18, , ,
31.1738,17, , ,
31.4763,16, , ,
31.8127,15, , ,
32.5531,14, , ,
32.7337,13, , ,
33.56,12, , ,
33.8015,11, , ,
34.5962,10, , ,
34.8829,9, , ,
35.4789,8, , ,
36.4496,7, , ,
37.1946,6, , ,
38.0885,5, , ,
39.0615,4, , ,
40.4115,3, , ,
41.617,2, , ,
43.3079,1, , ,
46.3216,0, , ,
60, ,28.336,2.4375,
90, ,23.3265,4.0798,
120, ,12.3551,1.6586,
240, ,14.7172,1.1363,
480, ,12.4274,0.3097,
720, ,6.5847,0.9291,
960, ,5.8045,0.3288,
1200, ,3.7898,0.6419,
1440,0,3.4433,0.2337,
