Time (min),IRS1 (Y),IRS1y_data,IRS1y_data_StdDev,
0,0,3.0916,1.476,
0.3522,10, , ,
0.7089,29, , ,
1.0633,48, , ,
1.4177,62, , ,
1.7744,71, , ,
2.1333,77, , ,
2.481,80, , ,
2.8377,82, , ,
4.5737,81, , ,
5, ,37.6131,31.435,
5.4654,80, , ,
6.2962,79, , ,
7.3166,78, , ,
8.1089,77, , ,
8.4205,76, , ,
9.2919,75, , ,
9.6305,74, , ,
10.3235,73, , ,
10.6396,72, , ,
10.9872,71, , ,
11.3372,70, , ,
12.2424,69, , ,
12.581,68, , ,
12.9355,67, , ,
13.6624,66, , ,
14.01,65, , ,
14.369,64, , ,
14.6083,63, , ,
14.9446,62, , ,
15, ,20.3134,10.8487,
15.2494,61, , ,
15.588,60, , ,
15.9447,59, , ,
16.2382,58, , ,
16.5317,57, , ,
16.8861,56, , ,
17.1909,55, , ,
17.534,54, , ,
18.2316,53, , ,
18.5882,52, , ,
18.8998,51, , ,
19.2497,50, , ,
19.4845,49, , ,
20.1233,48, , ,
20.4191,47, , ,
20.7509,46, , ,
21.4778,45, , ,
21.7804,44, , ,
22.1032,43, , ,
22.8956,42, , ,
23.2432,41, , ,
23.5525,40, , ,
24.381,39, , ,
24.6316,38, , ,
25.4443,37, , ,
25.7152,36, , ,
26.5121,35, , ,
26.8462,34, , ,
27.5708,33, , ,
28.3497,32, , ,
28.6499,31, , ,
29.5755,30, , ,
30, ,12.3857,7.792,
30.2798,29, , ,
31.0045,28, , ,
31.7495,27, , ,
32.517,26, , ,
33.2033,25, , ,
33.8015,24, , ,
34.8829,23, , ,
35.8107,22, , ,
36.7498,21, , ,
37.6889,20, , ,
38.7319,19, , ,
39.7388,18, , ,
40.8562,17, , ,
41.8585,16, , ,
43.3079,15, , ,
44.396,14, , ,
46.0417,13, , ,
47.4097,12, , ,
49.1029,11, , ,
51.2972,10, , ,
52.9903,9, , ,
55.2387,8, , ,
57.7671,7, , ,
60, ,11.2919,9.9624,
60.6567,6, , ,
64.043,5, , ,
68.1065,4, , ,
73.2762,3, , ,
80.0667,2, , ,
90, ,8.2604,5.1049,
90.4264,1, , ,
110.4346,0, , ,
120, ,5.8033,1.2435,
240, ,5.6312,2.1599,
480, ,10.2829,4.3147,
720, ,7.5842,4.0968,
960, ,10.3723,8.9876,
1200, ,1.6197,0.9834,
1440,0,3.9153,2.8134,
