Time (min),MK2,MK2_data,MK2_data_StdDev,
0,0,0.5852,0.2058,
2.2394,2, , ,
2.5961,6, , ,
2.9506,10, , ,
3.2937,15, , ,
3.6368,21, , ,
3.9913,26, , ,
4.3502,30, , ,
4.6933,34, , ,
5, ,37.8175,7.0735,
5.0365,37, , ,
5.3954,39, , ,
5.7476,41, , ,
6.1043,43, , ,
6.8199,45, , ,
7.5604,46, , ,
9.1519,47, , ,
10.2016,46, , ,
11.6419,47, , ,
12.6984,46, , ,
14.141,47, , ,
15, ,56.344,9.604,
15.2223,46, , ,
18.744,45, , ,
20.1233,46, , ,
21.3289,45, , ,
23.4216,44, , ,
24.381,43, , ,
25.9725,42, , ,
27.5325,41, , ,
28.221,40, , ,
28.5461,39, , ,
29.6793,38, , ,
30, ,30.925,3.4362,
31.0045,37, , ,
31.8127,36, , ,
32.517,35, , ,
33.3704,34, , ,
34.2688,33, , ,
35.0161,32, , ,
35.375,31, , ,
36.1335,30, , ,
36.4496,28, , ,
36.795,27, , ,
37.4339,25, , ,
37.7589,24, , ,
38.0885,23, , ,
38.3843,22, , ,
38.7319,21, , ,
39.0615,20, , ,
39.3414,19, , ,
39.6801,18, , ,
40.0255,17, , ,
40.7366,15, , ,
41.0955,14, , ,
41.3867,13, , ,
42.1814,12, , ,
42.4929,11, , ,
43.0437,10, , ,
43.3079,9, , ,
44.1025,8, , ,
44.396,7, , ,
45.4705,6, , ,
46.807,5, , ,
47.4097,4, , ,
48.2179,3, , ,
48.5949,2, , ,
49.7101,1, , ,
51.7554,0, , ,
60, ,11.5117,1.0356,
90, ,10.262,0.8165,
120, ,7.5129,1.6661,
240, ,5.7656,0.7482,
480, ,6.2012,1.3308,
720, ,2.5068,0.412,
960, ,1.3488,0.1362,
1200, ,0.894,0.1832,
1440,0,0.9075,0.258,
