Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri,
0,67,100,6,0,68,71,84,65,100,2,7,24,14,5,69,51,
1.57, , , , , , ,84, , , , , , , , , ,
3.196, , , , , , ,83, , , , , , , , , ,
5.348, , , , , ,70, , , , , , , , , , ,
6.944, , , , , ,70, , , , , , , , , , ,
7.31, , , , , , , , , , , , , , ,70, ,
7.924, , , , , , , , , , , , , , , ,52,
8.2, , , , , , , , , ,1, , , , , , ,
11.42, , , , , , , , , , , , , ,6, , ,
12.56, , , , ,69, , , , , , , , , , , ,
12.83, ,99, , , , , , , , , , , , , , ,
13.17, , , , , , , , , , , , , , ,71, ,
13.334, , , , , , ,82, , , , , , , , , ,
13.92, , , , , , , ,66, , , , , , , , ,
14.218, , , , ,68, , , , , , , , , , , ,
14.62, , , , , ,69, , , , , , , , , , ,
15.12, , , , , , ,81, , , , , , , , , ,
15.528, , , , , , , , ,99, , , , , , , ,
15.91, , , , ,69, , , , , , , , , , , ,
16.846, , , , , , ,81, , , , , , , , , ,
17.02, ,100, , , , , , , , , , , , , , ,
17.28, , , , , , , , ,100,0, , , , , , ,
17.56, , , , , , , , , , , ,23, , , , ,
17.676, , , , ,68, , , , , , , , , , , ,
18.29, , , , , ,68, , , , , , ,13, , , ,
19.316, , , , , , , , , , , ,24, , , , ,
19.44, , , , ,69, , , , , , , , , , , ,
19.974, , , , , , , , , , , , ,14, , , ,
20.622, , , , , , ,82, , , , , , , , , ,
20.88, , , , , , , , , , , ,25, ,7, , ,
22.032, , , , , ,67, , , , , , , , , , ,
22.334, , ,5, , , ,81, , , , , , , , , ,
23.392, , , , , , , , , , , , , , , ,51,
23.76, , , , , , , , , , , , ,13, , , ,
24.338, , , , , , , , , , , , , , ,72, ,
25.12, , , , , , , , , , , , , , , ,52,
25.522, , , , , , , , , , , , ,14, , , ,
25.618, , , , , ,67, , , , , , , , , , ,
26.316, , , , , , ,80,65, , , , , , , , ,
28.08, , , , , , , ,66, , , , , , , , ,
28.464, , , , , , , , , ,1, , , , , , ,
29.306, , , , , , , , ,99, , , ,13, , , ,
29.83, , , , , , , , , , , , , , ,73, ,
31.09, , , , , , , , ,100, , , , , , , ,
31.238, , , , , ,66, , , , , , , , , , ,
31.47, , , , , , , , , , , , , ,8, , ,
32.652, , , , , , , , , ,0, ,24, , , , ,
32.918, , , , , , , , , , , , ,14, , , ,
33.21, , , , , , , , , , , , , ,7, , ,
33.968, , , , , , ,79, , , , , , , , , ,
34.42, ,99, , , , , , , , , ,25, , , , ,
34.608, , , , , , , , , , , , ,13, , , ,
35.19, , , , , ,65, , , , , , , , , , ,
37.68, , , , , , ,79, , , , , , , , , ,
38.886, , , , ,70, , , , , , , , , , , ,
39.8, ,100, , , , , , , , , , , , , , ,
40.32, , , , ,69, , , , , , , , , , , ,
40.98, , , , , ,64, , , , , , , , , , ,
41.304, , , , , , , , , , , , , , ,74, ,
41.366, , , , , , ,78, , , , , , , , , ,
41.83, , , , ,70, , , , , , , , , , , ,
42.598, , , , , , , , , , , ,26, , , , ,
43.094, , , , , , , , ,99, , , , , , , ,
43.536, , , , ,69, , , , , , , , , , , ,
44.024, , , , , , , , , ,0, , , , , , ,
44.64, ,99, , , ,63, , ,100, , , , , , , ,
45.138, , , , , , ,77, , , , , , , , , ,
45.328, , , , ,70, , , , , , , , , , , ,
45.796, , , , , , , , , ,1, , , , , , ,
46.274, ,100, , , , , , , , , , , , , , ,
46.8, , , , , , , , , , , , , , ,75, ,
47.272, , ,4, , , , , , , , ,25, , , , ,
47.52, , , , , , , , , ,0, , , , , , ,
48.512, , , , , , , , , , , , , , ,74, ,
48.67, , , , , , ,77, , , , , , , , , ,
49.312, , , , , , , , , ,1, , , , , , ,
50.73, , , , , ,62, , , , , , , , , , ,
50.97, , , , , , , , , ,0, , , , , , ,
51.33, , , , , , , , , , , ,26, , , , ,
52.094, , , , , , , ,65, , , , , , , , ,
52.188, , , , , , , , , , , , , ,8,75, ,
52.632, , , , , , ,75, , , , , , , , , ,
53.832, , , , , , , ,66, , , , , , , , ,
54.572, , , , , ,61, , , , , , , , , , ,
55.172, ,99, , , , , , , , , , , , , , ,
55.586, , , , , , , ,65, , , , , , , ,51,
56.16, , , , , , ,74, , , , , , , , , ,
56.52, , , , , , , , , , , , ,12, , , ,
56.79, , , , , , , , ,99, , , , , , , ,
56.88, , , , , , , , , ,1, , , , , , ,
57.302, , , , , , , , , , , , , , , ,52,
58.212, , , , , , , , , , , , , , ,76, ,
58.32, , , , , , , , , , , , ,13, , , ,
58.48, , , , , , , , ,100, , , , , , , ,
60.458, , , , , ,60, , , , , , , , , , ,
60.978, , , , , , , , , ,0, , , , , , ,
61.92, , , , , , , , , , , , ,12, , , ,
62.22, , , , , ,60, , , , , , , , , , ,
62.522, ,100, , , , , , , , , , , , , , ,
62.764, , , , , , , , , ,1, , , , , , ,
63.64, , , , , , ,72, , , , ,27, ,9, , ,
63.978, , , , , ,59, , , , , , , , , , ,
64.31, ,99, , , , , , , , , , , , , , ,
64.516, , , , , , , , , ,0, , , , , , ,
65.616, , , , , ,58, , , , , , , , , , ,
67.366, , , , , ,57, , , , , , , , , , ,
68.518, , , , , , , , , , , , , , , ,51,
69.12, , , , , ,58, , , , , , , , , , ,
69.492, , , , , , , , , , , , , , ,77, ,
69.772, , , , , , ,71, , , , , , , , , ,
70.004, ,100, , , , , , , , , , , , , , ,
70.31, , , , , , , , , , , , , ,8, , ,
70.636, , , , , , , , ,99, , , , , , , ,
70.704, , , , , ,57, , , , , , , , , , ,
71.524, , , , , , ,70, , , , , , , , , ,
72, , , , , , , , , , , , , ,7, , ,
