Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri
1000.008,,,,,,,13.2075471698,,,,,,,,,
1000.286,,,,68,,,,,,,,,,,,
1000.824,,90.9090909091,,,,,,,,,,,,,,
1002.03,,,96.8085106383,67,,,,,,,,,,,,
1002.75,,,,,,,,,,0,,,,,,
1003.47,,,,,,,,,,,,36.3636363636,,,,
1004.234,,,,,,1.9230769231,,,,,,,,,,
1005.856,,100,97.8723404255,,,,,,,,,,,,,
1005.976,,,,,,3.8461538462,,,,,,,,,,
1006.35,,,,66,,,,,,,,,,,,
1007.644,,,96.8085106383,,,,,,,,,,,,,
1007.826,,,,65,,,,,,,,27.2727272727,,,,
1008.78,,,,,,,15.0943396226,,,,,,,,,
1010.56,,,,,,,13.2075471698,,,,,,,,,
1011.732,,,,,,,,,8.8888888889,,,,,,,
1012.166,,,,64,,,15.0943396226,,,,,,,,,
1012.708,,,,,,,,,,9.0909090909,,,,,,
1013.424,,,,,,,,,,,,,,,22.2222222222,
1013.55,,,,,,,,,,,,,,,,6.4516129032
1013.956,,,,63,,,,,,,,,,,,
1016.244,,90.9090909091,,,,,,,,,,,,,,
1016.43,,,,,,5.7692307692,,,,,,,,,,
1018.116,,,,62,,,,,,,,,,,,
1018.302,,,,,,,13.2075471698,,,,,,,,,
1019.75,,,,61,,,,,,,,,,,,
1020.03,,,,,,,16.9811320755,5.1282051282,,,,,,,,
1021.19,,,,,,3.8461538462,,,,,,,,,,
1021.674,,,,,,,15.0943396226,,,,,,,,,
1022.516,,,96.8085106383,,,,,,,,,,,,,
1022.804,100,,,,,,,,,,,,,,,
1023.4,,,,,,,16.9811320755,,,,,,,,,
1023.956,,,,,,,,,,,,,18.1818181818,,,
1024.024,,,,60,,,,,,,,,,,,
1024.576,88.8888888889,,,,,,,,,,,,,,,
1025.07,,,,,,5.7692307692,,,,,,,,,,
1025.79,,,,59,,,,,,,,,,,,
1026.324,100,100,,,,,,,,,,,,,,
1026.632,,,95.7446808511,,,,,,,,,,,,,
1027.95,88.8888888889,,,,,,,,,,,18.1818181818,,,,
1028.414,,,96.8085106383,,,,,,,,,,,,,
1029.432,,,,,,,15.0943396226,,,,,,,,,
1029.948,,,,58,,,,,,,,,,,,
1030.284,,,,,,,,,6.6666666667,,,,,,,
1031.1,,,,,,,16.9811320755,,,,,,,,,
1031.716,,90.9090909091,,57,,,,,,,,,,,,
1032.022,,,95.7446808511,,,,,,,,,,,,,
1033.362,,,,,,7.6923076923,,,,,,,,,,
1035.782,,,,56,,,,,,,,,,,,
1036.626,,,,,,,18.8679245283,2.5641025641,,,,,,,16.6666666667,
1037.16,,,,,,,,,,18.1818181818,,,,,,
1037.516,,,,55,,,,,,,,,,,,
1038.03,,,,,,5.7692307692,,,,,,,,,,
1038.394,,,,,,,,5.1282051282,,,,,,,22.2222222222,
1038.914,,,,,,,,,,9.0909090909,,,,,,9.6774193548
1039.238,,,,,,,,,,,,27.2727272727,,,,
1039.828,,,,,,7.6923076923,,,,,,,,,,
1041.454,,,95.7446808511,,,,,,,,,,,,,
1041.636,,,,54,,,,,,,,,,,,
1043.326,,,,53,,,18.8679245283,,,,,,,,,
1045.092,,,,,,,20.7547169811,,,,,,,,,
1045.726,,,94.6808510638,,,,,,,,,,,,,
1046.792,,81.8181818182,,,,,,,,,,,,,,
1047.39,,,95.7446808511,,,,,,,,,,,,,
1047.586,,,,52,,,,,,,,,,,,
1047.886,,,,,,,,,,,,18.1818181818,,,,
1049.326,,,,51,,,,,,,,,,,,
1049.404,,,,,,,,,4.4444444444,,,,,,,
1051.178,,,94.6808510638,,,,,,,,,,,,,
1051.518,,,,,,,18.8679245283,,,,,,,,,
1053.224,,,,,,,20.7547169811,,,,,,,,,
1053.326,,,,50,,,,,,,,,,,,
1055.016,,,,,,,20.7547169811,,,,,,,,,
1055.102,,,,49,,,,,,,,,,,,
1056.75,,,,,,,22.641509434,,,,,,9.0909090909,,,
1058.008,,,,,,,,7.6923076923,6.6666666667,18.1818181818,,,,,,
1059.36,,,,48,,,,,,,,,,,,
1060.08,,,,,,,,,,,,,,,16.6666666667,
1060.15,,,,,,,,,,,,,,,,12.9032258065
1060.56,,,93.6170212766,,,,,,,,,,,,,
1061.07,,,,47,,,,,,,,,,,,
1061.79,,,,,,9.6153846154,,,,,,,,,,
1061.828,,,,,,,,,,,,27.2727272727,,,,9.6774193548
1062.874,,72.7272727273,,,,,,,,,,,,,,
1063.23,,,,,,,20.7547169811,,,,,,,,,
1064.138,,,94.6808510638,,,,,,,,,,,,,
1065.024,,,,,,,24.5283018868,,,,,,,,,
1065.206,,,,46,,,,,,,,,,,,
1065.596,,,,,,,,,,,,,18.1818181818,,,
1066.796,,,,,,,22.641509434,,,,,,,,,
1066.83,,,,45,,,,,,,,,,,,
1067.652,,,93.6170212766,,,,,,,,,,,,,
1067.816,,,,,,,,,,,,18.1818181818,,,,
1068.094,,,,,,11.5384615385,,,,,,,,,,
1068.444,,81.8181818182,,,,,,,,,,,,,,
1068.588,,,,,,,24.5283018868,,4.4444444444,,,,,,,
1071.15,,,,44,,,,,,,,,,,,
1072.942,,,,43,,,,,,,,,,,,
1073.374,,,,,,,,10.2564102564,,,,,,,,
1074.636,,,93.6170212766,,,,,,,,,,,,,
1074.75,,,,,,,22.641509434,,,,,27.2727272727,,,,
1076.354,,,,,,,24.5283018868,,,,,,,,,
1076.938,,,,42,,,,,,,,,,,,
1078.056,,,,,,,22.641509434,,,,,,,,,
1078.384,,,,,,,,,,,,,,,,12.9032258065
1078.534,,72.7272727273,,41,,,,,,,,,,,,
1078.936,,,92.5531914894,,,,,,,,,,,,,
1079.306,,,,,2.6315789474,13.4615384615,,7.6923076923,,,,,,,,
1079.79,,,,,,,24.5283018868,,,,,,,,,
1082.67,,,93.6170212766,,,,,,,,,,,,,
1082.964,,,,40,,,,,,,,,,,,
1083.42,,,,,,,26.4150943396,,,,,,,,,
1083.648,,,,,,,,,,,,,,,11.1111111111,
1084.452,,,92.5531914894,,,,,,,,,,,,,
1084.686,,,,39,,,,,,,,,,,,
1085.09,,,,,,,26.4150943396,,,,,,,,,
1086.846,,,,,,,26.4150943396,,,,,,,,,
1087.728,,,,,,,,,,,,18.1818181818,,,,
1088.192,,,,,,,,,2.2222222222,,,,,,,
1088.37,,,,,,,,10.2564102564,,,,,,,,
1088.456,,,91.4893617021,,,,26.4150943396,,,,,,,,,9.6774193548
1088.81,,,,38,,,,,,,,,,,,
1090.152,,,,,,,26.4150943396,,,,,,,,,
1090.59,,,,37,,,,,,,,,,,,
1090.652,,81.8181818182,,,,,,,,,,,,,,
1090.818,88.8888888889,,,,,,,,,,,,,,,
1091.902,,,,,,,28.3018867925,,,,,,,,,
1092.114,,,92.5531914894,,,,,,,,,,,,,
