Time (min),clk_data,CLK_data,CLK/CYC_data,per_data,PER_data,tim_data,TIM_data,PER/TIM_data,cwo_data,CWO_data,pdp1_data,PDP1_data,vri_data,VRI_data,CRY_data
1087.078706,23.0721654221,44.9290391466,51.3613057094,27.2788670075,0.471709526,10.5212615489,3.5967702546,3.0333883873,2.0213548272,14.8205181941,4.6537204653,0.0541130365,10.4449467899,3.0297423785,99.870884921
1087.136031,22.5054668465,44.2320763477,52.0038111628,28.0232078259,0.5694269562,10.9430329309,3.8425079976,2.8380471814,2.1529028888,14.4368159495,4.9360136614,0.0281642969,10.8622765283,2.8126389614,99.825342382
1087.19361,21.9417040143,43.5338800847,52.6476824427,28.777811969,0.6770316347,11.3748196016,4.0977281142,2.6487913395,2.2896987183,14.0555538974,5.2275806658,0.0105531668,11.2895504169,2.6023718964,99.7728869661
1087.25119,21.3834901025,42.8376818265,53.2899483964,29.5390799368,0.7941547277,11.8147320057,4.3613746805,2.4665760315,2.4312258743,13.6784738253,5.5271477521,0.0014233252,11.7249049314,2.3999638886,99.713770712
1087.30877,20.8309022936,42.1436039787,53.9305035277,30.3067038417,0.9208399316,12.2627385339,4.6334667362,2.2914741888,2.5775452977,13.3056003312,5.8346792677,0.0007841547,12.1683149922,2.2054535448,99.6480561297
1087.366349,20.2840162565,41.4517678177,54.5692433877,31.080368519,1.057129298,12.7188050792,4.9140225002,2.1235613442,2.7287197241,12.936958617,6.1501390074,0.0086450381,12.6197534778,2.0188795606,99.5758042293
1087.424465,19.7378959904,40.755885029,55.2119851214,31.8670351746,1.2044674647,13.1872540122,5.2057903335,1.9614545873,2.8862904199,12.56920168,6.4765379071,0.0252079905,13.0835065212,1.8386552586,99.4963109351
1087.482581,19.1977369329,40.06253023,55.8526678566,32.6591913152,1.3616699352,13.6638365808,5.5062135795,1.806834872,3.0489407879,12.2058093225,6.8109367965,0.050449351,13.5553758685,1.6665949442,99.4102778792
1087.540697,18.6636147532,39.3718246033,56.4911881914,33.4564951566,1.5287741411,14.1485099127,5.8153066499,1.6597889728,3.2167408764,11.8468094624,7.1532960617,0.084378584,14.0353266471,1.5027383829,99.3177629616
1087.598812,18.1356042556,38.6838877318,57.1274443531,34.2585999398,1.7058152429,14.6412285472,6.1330825425,1.5204063586,3.3897624944,11.4922306216,7.5035750754,0.1270052354,14.5233214963,1.3471252812,99.218822666
1087.65766,17.6072513013,37.9902349633,57.7692984838,35.0753329046,1.8952439093,15.1482967853,6.4637169869,1.3871728421,3.5703576609,11.137724066,7.8662901957,0.1790402743,15.0256139438,1.1979940873,99.1121462298
1087.716507,17.0853165969,37.2996643496,58.4086254378,35.8962609112,2.0949270915,15.6635112844,6.8032751757,1.2619909589,3.7564605427,10.7878120746,8.2370390235,0.2400122778,15.5360690579,1.0573970175,98.9989937913
1087.775354,16.569875379,36.6122965086,59.045324218,36.7210137366,2.3048939986,16.1868156386,7.1517641788,1.1449629989,3.9481514127,10.4425270926,8.6157766939,0.309930547,16.0546397569,0.9253752344,98.8794197516
1087.834201,16.0610018032,35.9282505528,59.6792955727,37.5492189676,2.5251715688,16.7181502174,7.509189054,1.0361945038,4.1455124396,10.1019021692,9.0024569599,0.3888044647,16.5812760398,0.801969752,98.7534771231
1087.847552,15.9464743001,35.7735340791,59.822736413,37.7375576418,2.5765840068,16.8398065054,7.5915228553,1.0126786134,4.1910859394,10.0252757468,9.0912845942,0.4079460466,16.7018723023,0.7751758336,98.7240232717
1087.860903,15.8322892534,35.6189958979,59.9660307222,37.9260503527,2.6285286303,16.9618721229,7.6743166928,0.9895946445,4.2369566284,9.9488913819,9.1805180412,0.4275491792,16.8228803644,0.7488279871,98.6942449024
1087.874254,15.7184479605,35.4646376086,60.1091774143,38.1146928309,2.6810056742,17.0843463432,7.7575706208,0.9669439907,4.2831254545,9.8727493762,9.2701567479,0.447613944,16.9442995503,0.7229266881,98.6641425704
1087.887604,15.60495107,35.3104604343,60.252175287,38.3034806211,2.73401553,17.207228349,7.8412846394,0.9447279526,4.3295934671,9.7968503335,9.3602001618,0.4681404226,17.0661292272,0.6974724122,98.6337169146
1087.900955,15.4917992303,35.1564658805,60.395023293,38.4924093797,2.7875582761,17.3305174134,7.9254586942,0.9228560396,4.3763616144,9.7211944045,9.4506478221,0.4891287781,17.1883687192,0.6724656347,98.6029684626
1087.914306,15.3789937388,35.0026550761,60.5377203852,38.6814747627,2.8416342258,17.4542126737,8.0100928394,0.9012200157,4.4234309797,9.645782193,9.5414989919,0.5105790106,17.3110173648,0.647906861,98.571897853
1087.927657,15.2665350277,34.8490295265,60.6802654776,38.8706723524,2.8962436138,17.5783134032,8.0951870209,0.8798048301,4.4708025448,9.5706140007,9.6327531184,0.5324912833,17.4340744594,0.6237965072,98.5405056413
1087.941008,15.1544241782,34.6955906431,60.8226575616,39.0599978047,2.9513866752,17.7028187389,8.1807411841,0.8586086248,4.5184773253,9.4956901295,9.724409741,0.5548656778,17.5575393271,0.6001351082,98.5087924106
1087.956798,15.0222768096,34.5143555388,60.9908708075,39.2840788324,3.0172953728,17.8505968161,8.2825228388,0.8338284652,4.575256798,9.4073913773,9.8333339893,0.5819253372,17.7040910319,0.5727300216,98.4708704343
1087.972589,14.8906184795,34.3333856623,61.1588668941,39.508325406,3.0839512131,17.9989383629,8.3849478044,0.8093627006,4.6324636366,9.3194357914,9.9428193736,0.6096318366,17.851210996,0.5459543812,98.4325011419
1087.988379,14.759450701,34.1526829892,61.3266440761,39.7327303229,3.1513545093,18.1478420621,8.4880159723,0.7852135607,4.6900995001,9.2318242771,10.052865065,0.6379851758,17.9988980546,0.5198089596,98.3936854776
1088.00417,14.6287747714,33.9722498718,61.4942006857,39.9572863437,3.2195055746,18.2973064606,8.591727288,0.7613830896,4.7481661152,9.1445572872,10.1634699578,0.6669855997,18.1471509998,0.4942945595,98.3544243578
1088.062133,14.1533298414,33.3122645566,62.1073477133,40.7827627222,3.4760883592,18.850742062,8.977940344,0.676673708,4.9650376174,8.8271858746,10.5742554003,0.7789898281,18.6961872789,0.4060585915,98.2065013717
