Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri,
0,67,98,93,69,9,21,29,11,35,5,4,18,4,0,32,9,
0.0373, , , , , ,22, , , , , , , , , , ,
0.0407, , , ,68, , , , , , , , , , , , ,
0.062, , , , , , ,30, , , , , , , , , ,
0.0679, , ,93, , ,23,29, , , , , , , , , ,
0.0764, , , ,67, , , , , , , , , , , , ,
0.0806, , , , , , ,29, , , , , , , , , ,
0.0857, , ,93, , , , ,12, , , , , , , , ,
0.0968, , , , , , ,30, , ,6, , , , , , ,
0.1018, , ,92, , , , , , , , , , , , , ,
0.1069, , ,93, , , , , , , , , , , , ,10,
0.1129, , ,92,66, , , , , , , , , , , , ,
0.1273, , ,93, , , , , , , , , , , , , ,
0.129, , , , , ,24, , , , , , , , , , ,
0.1307, , ,92, ,10, ,30, , , , , , , , , ,
0.1426, , , , , , ,31, , , , , , , , , ,
0.1451, , , ,65, , ,30, , , , , , , , , ,
0.1511, , , , , , ,31, , , , , , , , , ,
0.163, , , , , , , ,13, , , , , , , , ,
0.1672, , , , , , ,30, , , , , , , , , ,
0.1714, , , , , , ,31, ,36, , , , , , , ,
0.1774, , , , , ,23,30, , , , , , , , , ,
0.1833, , , ,64, ,24,31, , , , , , , , , ,
0.1867, , , , , , , , , ,6, , , , , , ,
0.1893, , , , , , ,32, , , , , , , , , ,
0.1952, , , , , , ,31, , , , , ,5, , , ,
0.2037, , , , , , , , , , , , , , , ,11,
0.2096, , , , , , ,31, , , , , , , , , ,
0.2139, , , ,63, ,25, , , , , , , , , , ,
0.2292, , , , , , ,32, , , , , , , , , ,
0.2351, , , , , , , , ,35, , , , , , , ,
0.2487, , , , ,11, , , , , , , , , , , ,
0.2546, , , ,62, , , , , , , , , , , , ,
0.258, , , , , , , , , , , ,17, , , , ,
0.2648, ,99, , , , , , , , , , , , , , ,
0.275, , , , , ,26, , , , , , , , , , ,
0.2801, , , , , , ,33, , ,7, , , , , , ,
0.2911, , , ,61, , , , , , , , , , , , ,
0.2928, ,98, , , , , , , , , , , , , ,12,
0.2971, , , , , ,26, , , , , , , , ,33, ,
0.2987, , , , , , ,33, , , , , , , , , ,
0.314, , , , , , ,32,14, , , , , , , , ,
0.3191, , , , , , ,33, , , , , , , , , ,
0.3242, , , , , , ,34, , , , , , , , , ,
0.3268, , , ,60, , , , ,36, , , , , , , ,
0.3302, , , , , , ,33, , , , , , , , , ,
0.3361, , , , ,10, ,34, , , , , , , , , ,
0.348, , , , , , ,33, , , , , , , , , ,
0.3565, , , , , ,27, , , , , , , , , , ,
0.3607, , ,92, ,11, ,33, , ,6, , , , , ,11,
0.3624, , , ,59, , , , , , , , , , , , ,
0.3666, , , , , , ,34, , ,7, , , , , , ,
0.3734, , , , , , , , , , , , ,6, , , ,
0.3768, , ,91, , , , , , , , , , , , , ,
0.3819, , ,92, , ,28, ,15, , , , , , , ,12,
0.3878, , ,91, , , , , , , , , , , , , ,
0.3964, , , ,58, , , , , , , , , , , , ,
0.3989, , ,92, , ,27, , , , , , , , , , ,
0.4041, , ,91, , ,28, , , , , , , , , , ,
0.4159, , , , , , ,35, , , , , ,5, , , ,
0.4201, , ,91, , , , , , , , , , , , , ,
0.4244, , , , , ,27, , , , , , , , , , ,
0.4295, , , , , ,28, , , , , , , , ,32, ,
0.4328, , , ,57, , , , , , , ,18, , , , ,
0.4527, , , , , , , , , ,8, , , , , , ,
0.4609, , , , , ,28, , , , , , , , , , ,
0.4634, , , , , , , , ,35, , , , , , , ,
0.4651, , , , ,12, , , , , , , , , , , ,
0.4668, , , , , , , , , , , , , , , ,13,
0.4689, , , ,56, , , , ,36, , , , , , , ,
0.471, , , , , , ,36, , , , , , , , , ,
0.477, , , , , , ,35, , , , , , , , , ,
0.4855, , ,91, , ,29,36, , , , , , , , , ,
0.499, , , , , , ,35, , , , , , , , , ,
0.5041, , , ,55, , ,37, , , , , , , , , ,
0.5101, , , , , , ,36, , , , ,17, , , , ,
0.5118, , , , , ,30, , , ,7, , , , , , ,
0.5177, ,99, , , , , , , , , , , , , , ,
0.5194, , ,91, , , , ,16, , , , , , , , ,
0.5364, , ,91, , , , , , ,8, , , , , , ,
0.5381, , , ,54, , , , , , , , , , , , ,
0.5415, , , , , , , , , , , , ,6, , , ,
0.5473, , , , , ,29, , , , , , , , , , ,
0.5525, , ,90, , , , , , , , , , , , , ,
0.5559, , , , , , ,37, , , , , , , , , ,
0.5568, , ,91, , , , , , , , , , , , , ,
0.561, , , , , , ,37, , , , , , , , , ,
0.5627, , , , , ,30, , , , , , , , , , ,
0.5629, , , , ,13, , , , , , , , , ,33, ,
0.5686, , ,90, , , , , , , , , , , , , ,
0.5703, ,98,91,53, , , , , , , , , , , , ,
0.5839, , ,90, , , , , , , , , , , , , ,
0.5856, , , , , ,31, ,17, , , , , , , , ,
0.5882, , ,91, , , , , , , , , , , , , ,
0.5916, , , , , ,30, , , , , , , , , , ,
0.5983, , ,90, , , ,38, ,37, , , , ,0, , ,
0.6111, , , , , ,31, , , , , , , , , , ,
0.6119, , , ,52,12, , , , ,9, , , , , , ,
0.6162, , , , , , ,38, , , , , , , , , ,
0.6281, , , , , , , , , , , , , , , ,14,
0.6348, , , , , ,32,38, , , , , , , , , ,
0.6459, , , ,51, , ,38, , , , , , , , , ,
0.6484, , , , , , , ,17, , , , , , , , ,
0.6544, , , , ,13,31, , , ,8, , , , , ,13,
0.6595, , , , , , ,39, , , , , , , , , ,
0.662,68, , , , , , , , , , , , , , , ,
0.6628,67, , , , , ,38, , , , , , , , , ,
0.6773, , , , , , ,39, , , , , , , , , ,
0.6815, , , , , ,32, , , , , , , , , , ,
0.6832, , , ,50, , ,38, , , , , , , , , ,
0.6875, , , , , , ,39, ,36, , , , , , , ,
0.6928, , , , , , ,40, , , , , , , , , ,
0.6968, , , , , , , , , , , , ,7, , , ,
0.6985, , , , , , ,39, , , , , , , , , ,
0.7044, , , , , ,33, , , , , , , , , , ,
0.7053, , , , , , , , , , , , , , , ,14,
0.7098, , , , , , , ,18, , , , , , , , ,
0.7172, , , ,49, , , , ,37, , , , , , , ,
0.7214, , , , , ,33, , , , , , , , , , ,
0.7333, , , , , , ,40, , , , , , , , , ,
0.7503, , , ,48,14,34, , , , , , ,6, , , ,
0.7616, ,99, , , , , , , , , , , , , , ,
0.7638, , , , , , , , , ,9, , , , , , ,
0.7655, , , , , ,33, , , , , , , , , , ,
0.7715, , , , , ,34, ,19, , , , , , , , ,
0.777, , , , , ,33, , , , , ,16, , , , ,
0.7808, , , , , , , , , , , , , , , ,15,
0.7842, , , , , , ,41, , , , , , , , , ,
0.7868, , , , , , , , , ,8, , , , , , ,
0.7893, , , ,47, , , , , , , , , , , , ,
0.7945, , , , , ,34, , , , , , , , , , ,
0.7978, , , , , , , , , , , , , , ,34, ,
0.8173, , , , , ,35, , , , , , , , , , ,
0.8233, , , , , , , ,18, , , , , , , , ,
0.825, , , ,46, , , , , , , , , , , , ,
0.8291, , , , , , , ,19, , , , , , , , ,
0.8309, , , , , , ,42, , , , , , , , , ,
0.8326, , , , , , , , ,38,9, , , , , , ,
0.836, , , , ,15, ,41, , , , , , , , , ,
0.8402, , , , , , ,42, , , , , ,7,1,33, ,
0.8513, , ,89, , , , , , , , , , , , , ,
0.8538, , , , , , , , , , , , , , , ,16,
0.8572, ,98,90, ,14, , , , , , , , , , , ,
0.8589, , , , , ,36,42, , , , , , ,0, , ,
0.8606, , , ,45, , , , , , , , , , , , ,
0.8625, , ,89, , ,35, , , , , ,17, , , , ,
0.875, , ,90, , , , , , , , , , , , , ,
