Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri
0,90,88.8888888889,97.8723404255,69,7.2463768116,25,32.2222222222,16.1764705882,0,29.4117647059,20,10,23.5294117647,0,0,16.9811320755
0.0044551647,,,,,,26.1904761905,,,,,,,,,,
0.0048612655,,,,68,,,,,,,,,,,,
0.0074053676,,,,,,,33.3333333333,,,,,,,,,
0.0081100719,,,97.8723404255,,,27.380952381,32.2222222222,,,,,,,,,
0.0091253239,,,,67,,,,,,,,,,,,
0.0096269778,,,,,,,32.2222222222,,,,,,,,,
0.0102361291,,,97.8723404255,,,,,17.6470588235,,,,,,,,
0.0115619287,,,,,,,33.3333333333,,,35.2941176471,,,,,,
0.0121591358,,,96.8085106383,,,,,,,,,,,,,
0.012768287,,,97.8723404255,,,,,,,,,,,,,18.8679245283
0.0134849355,,,96.8085106383,66,,,,,,,,,,,,
0.0152048918,,,97.8723404255,,,,,,,,,,,,,
0.0154079422,,,,,,28.5714285714,,,,,,,,,,
0.0156109926,,,96.8085106383,,8.6956521739,,33.3333333333,,,,,,,,,
0.0170323454,,,,,,,34.4444444444,,,,,,,,,
0.017330949,,,,65,,,33.3333333333,,,,,,,,,
0.0180475974,,,,,,,34.4444444444,,,,,,,,,
0.0194689502,,,,,,,,19.1176470588,,,,,,,,
0.0199706042,,,,,,,33.3333333333,,,,,,,,,
0.0204722581,,,,,,,34.4444444444,,1.5384615385,,,,,,,
0.0211889066,,,,,,27.380952381,33.3333333333,,,,,,,,,
0.0218936109,,,,64,,28.5714285714,34.4444444444,,,,,,,,,
0.0222997117,,,,,,,,,,35.2941176471,,,,,,
0.0226102594,,,,,,,35.5555555556,,,,,,,,,
0.0233149637,,,,,,,34.4444444444,,,,,,29.4117647059,,,
0.0243302157,,,,,,,,,,,,,,,,20.7547169811
0.0250349201,,,,,,,34.4444444444,,,,,,,,,
0.0255485181,,,,63,,29.7619047619,,,,,,,,,,
0.0273759717,,,,,,,35.5555555556,,,,,,,,,
0.0280806761,,,,,,,,,0,,,,,,,
0.0297050793,,,,,10.1449275362,,,,,,,,,,,
0.0304097836,,,,62,,,,,,,,,,,,
0.0308158844,,,,,,,,,,,,5,,,,
0.031628086,,94.4444444444,,,,,,,,,,,,,,
0.0328463884,,,,,,30.9523809524,,,,,,,,,,
0.0334555396,,,,,,,36.6666666667,,,41.1764705882,,,,,,
0.0347693952,,,,61,,,,,,,,,,,,
0.0349724456,,88.8888888889,,,,,,,,,,,,,,22.641509434
0.0354860437,,,,,,30.9523809524,,,,,,,,,1.7543859649,
0.0356771499,,,,,,,36.6666666667,,,,,,,,,
0.0375046035,,,,,,,35.5555555556,20.5882352941,,,,,,,,
0.0381137547,,,,,,,36.6666666667,,,,,,,,,
0.0387229059,,,,,,,37.7777777778,,,,,,,,,
0.0390334536,,,,60,,,,,1.5384615385,,,,,,,
0.0394395544,,,,,,,36.6666666667,,,,,,,,,
0.0401442587,,,,,8.6956521739,,37.7777777778,,,,,,,,,
0.0415656116,,,,,,,36.6666666667,,,,,,,,,
0.0425808636,,,,,,32.1428571429,,,,,,,,,,
0.0430825175,,,96.8085106383,,10.1449275362,,36.6666666667,,,35.2941176471,,,,,,20.7547169811
0.0432855679,,,,59,,,,,,,,,,,,
0.0437872218,,,,,,,37.7777777778,,,41.1764705882,,,,,,
0.0445994234,,,,,,,,,,,,,35.2941176471,,,
0.0450055242,,,95.7446808511,,,,,,,,,,,,,
0.0456146754,,,96.8085106383,,,33.3333333333,,22.0588235294,,,,,,,,22.641509434
0.0463193798,,,95.7446808511,,,,,,,,,,,,,
0.0473465759,,,,58,,,,,,,,,,,,
0.0476451794,,,96.8085106383,,,32.1428571429,,,,,,,,,,
0.0482662748,,,95.7446808511,,,33.3333333333,,,,,,,,,,
0.0496756835,,,,,,,38.8888888889,,,,,,29.4117647059,,,
0.0501773374,,,95.7446808511,,,,,,,,,,,,,
0.0506909355,,,,,,32.1428571429,,,,,,,,,,
0.0513000867,,,,,,33.3333333333,,,,,,,,,0,
0.0516942433,,,,57,,,,,,,,10,,,,
0.0540711274,,,,,,,,,,47.0588235294,,,,,,
0.055050547,,,,,,33.3333333333,,,,,,,,,,
0.0553491506,,,,,,,,,0,,,,,,,
0.055552201,,,,,11.5942028986,,,,,,,,,,,
0.0557552514,,,,,,,,,,,,,,,,24.5283018868
0.0560060783,,,,56,,,,,1.5384615385,,,,,,,
0.0562569053,,,,,,,40,,,,,,,,,
0.0569735538,,,,,,,38.8888888889,,,,,,,,,
0.0579888058,,,95.7446808511,,,34.5238095238,40,,,,,,,,,
0.0596012648,,,,,,,38.8888888889,,,,,,,,,
0.060210416,,,,55,,,41.1111111111,,,,,,,,,
0.0609270645,,,,,,,40,,,,,5,,,,
0.0611301149,,,,,,35.7142857143,,,,41.1764705882,,,,,,
0.0618348193,,94.4444444444,,,,,,,,,,,,,,
0.0620378697,,,95.7446808511,,,,,23.5294117647,,,,,,,,
0.0640683737,,,95.7446808511,,,,,,,47.0588235294,,,,,,
0.0642714241,,,,54,,,,,,,,,,,,
0.0646775249,,,,,,,,,,,,,35.2941176471,,,
0.0653702851,,,,,,34.5238095238,,,,,,,,,,
0.0659913804,,,94.6808510638,,,,,,,,,,,,,
0.0663974812,,,,,,,41.1111111111,,,,,,,,,
0.0665049785,,,95.7446808511,,,,,,,,,,,,,
0.0670066324,,,,,,,41.1111111111,,,,,,,,,
0.0672096828,,,,,,35.7142857143,,,,,,,,,,
0.0672335711,,,,,13.0434782609,,,,,,,,,,1.7543859649,
0.0679143871,,,94.6808510638,,,,,,,,,,,,,
0.0681174375,,88.8888888889,95.7446808511,53,,,,,,,,,,,,
0.0697418408,,,94.6808510638,,,,,,,,,,,,,
0.0699448912,,,,,,36.9047619048,,25,,,,,,,,
0.0702554388,,,95.7446808511,,,,,,,,,,,,,
0.0706615396,,,,,,35.7142857143,,,,,,,,,,
0.0714617971,,,94.6808510638,,,,42.2222222222,,3.0769230769,,,,,0,,
0.0729906472,,,,,,36.9047619048,,,,,,,,,,
0.0730862003,,,,52,11.5942028986,,,,,52.9411764706,,,,,,
0.0735997984,,,,,,,42.2222222222,,,,,,,,,
0.0750211512,,,,,,,,,,,,,,,,26.4150943396
0.0758214087,,,,,,38.0952380952,42.2222222222,,,,,,,,,
0.0771472083,,,,51,,,42.2222222222,,,,,,,,,
0.0774458119,,,,,,,,25,,,,,,,,
