Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri,clk_data,CLK_data,CLK/CYC_data,per_data,PER_data,tim_data,TIM_data,PER/TIM_data,cwo_data,CWO_data,pdp1_data,PDP1_data,vri_data,VRI_data,CRY_data
0,90,88.8888888889,97.8723404255,69,7.2463768116,25,32.2222222222,16.1764705882,0,29.4117647059,20,10,23.5294117647,0,0,16.9811320755,23.0721654221,44.9290391466,51.3613057094,27.2788670075,0.471709526,10.5212615489,3.5967702546,3.0333883873,2.0213548272,14.8205181941,4.6537204653,0.0541130365,10.4449467899,3.0297423785,99.870884921
0.0373,,,,,,26.1904761905,,,,,,,,,,,22.5054668465,44.2320763477,52.0038111628,28.0232078259,0.5694269562,10.9430329309,3.8425079976,2.8380471814,2.1529028888,14.4368159495,4.9360136614,0.0281642969,10.8622765283,2.8126389614,99.825342382
0.0407,,,,68,,,,,,,,,,,,,21.9417040143,43.5338800847,52.6476824427,28.777811969,0.6770316347,11.3748196016,4.0977281142,2.6487913395,2.2896987183,14.0555538974,5.2275806658,0.0105531668,11.2895504169,2.6023718964,99.7728869661
0.062,,,,,,,33.3333333333,,,,,,,,,,21.3834901025,42.8376818265,53.2899483964,29.5390799368,0.7941547277,11.8147320057,4.3613746805,2.4665760315,2.4312258743,13.6784738253,5.5271477521,0.0014233252,11.7249049314,2.3999638886,99.713770712
0.0679,,,97.8723404255,,,27.380952381,32.2222222222,,,,,,,,,,20.8309022936,42.1436039787,53.9305035277,30.3067038417,0.9208399316,12.2627385339,4.6334667362,2.2914741888,2.5775452977,13.3056003312,5.8346792677,0.0007841547,12.1683149922,2.2054535448,99.6480561297
0.0764,,,,67,,,,,,,,,,,,,20.2840162565,41.4517678177,54.5692433877,31.080368519,1.057129298,12.7188050792,4.9140225002,2.1235613442,2.7287197241,12.936958617,6.1501390074,0.0086450381,12.6197534778,2.0188795606,99.5758042293
0.0806,,,,,,,32.2222222222,,,,,,,,,,19.7378959904,40.755885029,55.2119851214,31.8670351746,1.2044674647,13.1872540122,5.2057903335,1.9614545873,2.8862904199,12.56920168,6.4765379071,0.0252079905,13.0835065212,1.8386552586,99.4963109351
0.0857,,,97.8723404255,,,,,17.6470588235,,,,,,,,,19.1977369329,40.06253023,55.8526678566,32.6591913152,1.3616699352,13.6638365808,5.5062135795,1.806834872,3.0489407879,12.2058093225,6.8109367965,0.050449351,13.5553758685,1.6665949442,99.4102778792
0.0968,,,,,,,33.3333333333,,,35.2941176471,,,,,,,18.6636147532,39.3718246033,56.4911881914,33.4564951566,1.5287741411,14.1485099127,5.8153066499,1.6597889728,3.2167408764,11.8468094624,7.1532960617,0.084378584,14.0353266471,1.5027383829,99.3177629616
0.1018,,,96.8085106383,,,,,,,,,,,,,,18.1356042556,38.6838877318,57.1274443531,34.2585999398,1.7058152429,14.6412285472,6.1330825425,1.5204063586,3.3897624944,11.4922306216,7.5035750754,0.1270052354,14.5233214963,1.3471252812,99.218822666
