Time (min),CLK,clk,CLK/CYC_data,clk_data,CLK_data,CRY,cry,CRY_data,CWO,cwo,cwo_data,CWO_data,CYC/CLK,pdp1,PDP1,pdp1_data,PDP1_data,per,PER,PER/TIM-p,PER/TIM_data,per_data,PER_data,tim,TIM,tim_data,TIM_data,VRI,vri,vri_data,VRI_data,
0,90,88.8889,99.3635,5.4093,0.0038,97.8723,69,65.1737,7.2464,25,59.0983,7.175,32.2222,16.1765,0,68.8157,44.4646,29.4118,20,10,24.7411,96.5035,60.4062,23.5294,0,82.8,68.3538,0,16.9811,83.3336,29.7579,
0.0045, , , , , , , , , ,26.1905, , , , , , , , , , , , , , , , , , , , , ,
0.0049, , , , , , ,68, , , , , , , , , , , , , , , , , , , , , , , , ,
0.0074, , , , , , , , , , , , ,33.3333, , , , , , , , , , , , , , , , , , ,
0.0081, , , , , ,97.8723, , , ,27.381, , ,32.2222, , , , , , , , , , , , , , , , , , ,
0.0091, , , , , , ,67, , , , , , , , , , , , , , , , , , , , , , , , ,
0.0096, , , , , , , , , , , , ,32.2222, , , , , , , , , , , , , , , , , , ,
0.0102, , , , , ,97.8723, , , , , , , ,17.6471, , , , , , , , , , , , , , , , , ,
0.0116, , , , , , , , , , , , ,33.3333, , , , ,35.2941, , , , , , , , , , , , , ,
0.0122, , , , , ,96.8085, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.0128, , , , , ,97.8723, , , , , , , , , , , , , , , , , , , , , , ,18.8679, , ,
0.0135, , , , , ,96.8085,66, , , , , , , , , , , , , , , , , , , , , , , , ,
0.0152, , , , , ,97.8723, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.0154, , , , , , , , , ,28.5714, , , , , , , , , , , , , , , , , , , , , ,
0.0156, , , , , ,96.8085, , ,8.6957, , , ,33.3333, , , , , , , , , , , , , , , , , , ,
0.017, , , , , , , , , , , , ,34.4444, , , , , , , , , , , , , , , , , , ,
0.0173, , , , , , ,65, , , , , ,33.3333, , , , , , , , , , , , , , , , , , ,
0.018, , , , , , , , , , , , ,34.4444, , , , , , , , , , , , , , , , , , ,
0.0195, , , , , , , , , , , , , ,19.1176, , , , , , , , , , , , , , , , , ,
0.02, , , , , , , , , , , , ,33.3333, , , , , , , , , , , , , , , , , , ,
0.0205, , , , , , , , , , , , ,34.4444, ,1.5385, , , , , , , , , , , , , , , , ,
0.0212, , , , , , , , , ,27.381, , ,33.3333, , , , , , , , , , , , , , , , , , ,
0.0219, , , , , , ,64, , ,28.5714, , ,34.4444, , , , , , , , , , , , , , , , , , ,
0.0223, , , , , , , , , , , , , , , , , ,35.2941, , , , , , , , , , , , , ,
0.0226, , , , , , , , , , , , ,35.5556, , , , , , , , , , , , , , , , , , ,
0.0233, , , , , , , , , , , , ,34.4444, , , , , , , , , , ,29.4118, , , , , , , ,
0.0243, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20.7547, , ,
0.025, , , , , , , , , , , , ,34.4444, , , , , , , , , , , , , , , , , , ,
0.0255, , , , , , ,63, , ,29.7619, , , , , , , , , , , , , , , , , , , , , ,
0.0274, , , , , , , , , , , , ,35.5556, , , , , , , , , , , , , , , , , , ,
0.0281, , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , ,
0.0297, , , , , , , , ,10.1449, , , , , , , , , , , , , , , , , , , , , , ,
0.0304, , , , , , ,62, , , , , , , , , , , , , , , , , , , , , , , , ,
0.0308, , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,
0.0316, ,94.4444, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
