Time (min),CLK,clk,CLK/CYC_data,clk_data,CLK_data,CRY,cry,CRY_data,CWO,cwo,cwo_data,CWO_data,CYC/CLK,pdp1,PDP1,pdp1_data,PDP1_data,per,PER,PER/TIM-p,PER/TIM_data,per_data,PER_data,tim,TIM,tim_data,TIM_data,VRI,vri,vri_data,VRI_data
0,90,88.8889,99.3635,5.4093,0.0038,97.8723,69,65.1737,7.2464,25,59.0983,7.175,32.2222,16.1765,0,68.8157,44.4646,29.4118,20,10,24.7411,96.5035,60.4062,23.5294,0,82.8,68.3538,0,16.9811,83.3336,29.7579
2.8247602441, , , , , , , , , ,26.1905, , , , , , , , , , , , , , , , , , , , , 
3.0758500436, , , , , , ,68, , , , , , , , , , , , , , , , , , , , , , , , 
4.6451612903, , , , , , , , , , , , ,33.3333, , , , , , , , , , , , , , , , , , 
5.0845684394, , , , , ,97.8723, , , ,27.381, , ,32.2222, , , , , , , , , , , , , , , , , , 
5.7122929381, , , , , , ,67, , , , , , , , , , , , , , , , , , , , , , , , 
6.0261551874, , , , , , , , , , , , ,32.2222, , , , , , , , , , , , , , , , , , 
6.4027898867, , , , , ,97.8723, , , , , , , ,17.6471, , , , , , , , , , , , , , , , , 
7.2816041848, , , , , , , , , , , , ,33.3333, , , , ,35.2941, , , , , , , , , , , , , 
7.658238884, , , , , ,96.8085, , , , , , , , , , , , , , , , , , , , , , , , , 
8.0348735833, , , , , ,97.8723, , , , , , , , , , , , , , , , , , , , , , ,18.8679, , 
8.4742807323, , , , , ,96.8085,66, , , , , , , , , , , , , , , , , , , , , , , , 
9.5414123801, , , , , ,97.8723, , , , , , , , , , , , , , , , , , , , , , , , , 
9.6669572799, , , , , , , , , ,28.5714, , , , , , , , , , , , , , , , , , , , , 
9.7925021796, , , , , ,96.8085, , ,8.6957, , , ,33.3333, , , , , , , , , , , , , , , , , , 
10.6713164778, , , , , , , , , , , , ,34.4444, , , , , , , , , , , , , , , , , , 
10.8596338274, , , , , , ,65, , , , , ,33.3333, , , , , , , , , , , , , , , , , , 
11.2990409765, , , , , , , , , , , , ,34.4444, , , , , , , , , , , , , , , , , , 
12.2406277245, , , , , , , , , , , , , ,19.1176, , , , , , , , , , , , , , , , , 
12.5544899738, , , , , , , , , , , , ,33.3333, , , , , , , , , , , , , , , , , , 
12.8683522232, , , , , , , , , , , , ,34.4444, ,1.5385, , , , , , , , , , , , , , , , 
13.3077593723, , , , , , , , , ,27.381, , ,33.3333, , , , , , , , , , , , , , , , , , 
13.7471665214, , , , , , ,64, , ,28.5714, , ,34.4444, , , , , , , , , , , , , , , , , , 
13.9982563208, , , , , , , , , , , , , , , , , ,35.2941, , , , , , , , , , , , , 
14.1865736704, , , , , , , , , , , , ,35.5556, , , , , , , , , , , , , , , , , , 
14.6259808195, , , , , , , , , , , , ,34.4444, , , , , , , , , , ,29.4118, , , , , , , 
15.2537053182, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20.7547, , 
15.6931124673, , , , , , , , , , , , ,34.4444, , , , , , , , , , , , , , , , , , 
