Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri
1000.008, , , , , , ,7, , , , , , , , , 
1000.286, , , ,68, , , , , , , , , , , , 
1000.824, ,89, , , , , , , , , , , , , , 
1002.03, , ,92,67, , , , , , , , , , , , 
1002.75, , , , , , , , , ,0, , , , , , 
1003.47, , , , , , , , , , , ,20, , , , 
1004.234, , , , , ,1, , , , , , , , , , 
1005.856, ,90,93, , , , , , , , , , , , , 
1005.976, , , , , ,2, , , , , , , , , , 
1006.35, , , ,66, , , , , , , , , , , , 
1007.644, , ,92, , , , , , , , , , , , , 
1007.826, , , ,65, , , , , , , ,19, , , , 
1008.78, , , , , , ,8, , , , , , , , , 
1010.56, , , , , , ,7, , , , , , , , , 
1011.732, , , , , , , , ,37, , , , , , , 
1012.166, , , ,64, , ,8, , , , , , , , , 
1012.708, , , , , , , , , ,1, , , , , , 
1013.424, , , , , , , , , , , , , , ,50, 
1013.55, , , , , , , , , , , , , , , ,2
1013.956, , , ,63, , , , , , , , , , , , 
1016.244, ,89, , , , , , , , , , , , , , 
1016.43, , , , , ,3, , , , , , , , , , 
1018.116, , , ,62, , , , , , , , , , , , 
1018.302, , , , , , ,7, , , , , , , , , 
1019.75, , , ,61, , , , , , , , , , , , 
1020.03, , , , , , ,9,2, , , , , , , , 
1021.19, , , , , ,2, , , , , , , , , , 
1021.674, , , , , , ,8, , , , , , , , , 
1022.516, , ,92, , , , , , , , , , , , , 
1022.804,64, , , , , , , , , , , , , , , 
1023.4, , , , , , ,9, , , , , , , , , 
1023.956, , , , , , , , , , , , ,2, , , 
1024.024, , , ,60, , , , , , , , , , , , 
1024.576,63, , , , , , , , , , , , , , , 
1025.07, , , , , ,3, , , , , , , , , , 
1025.79, , , ,59, , , , , , , , , , , , 
1026.324,64,90, , , , , , , , , , , , , , 
1026.632, , ,91, , , , , , , , , , , , , 
