t,CLK,CLK/CYC,per,PER,tim,TIM,PER/TIM,cwo,CWO,pdp1,PDP1,vri,VRI,clk,CRY
1087.078706,44.83614432,21.06710649,15.3602917,10.40172901,15.52867536,9.908901487,11.78641107,0.56394527,1.1214207,13.56385189,17.267962,5.419352675,6.488247646,16.23829092,74.5096653
1087.136031,44.76206691,21.23276317,15.56078088,10.41420751,15.62154493,9.954086969,11.76538546,0.567830772,1.118878087,13.59449415,17.26478159,5.448373231,6.480942759,16.21207882,74.49326528
1087.19361,44.6878584,21.398772,15.7640345,10.42794861,15.71661976,10.00101604,11.74501485,0.571871276,1.116351644,13.62614306,17.26262308,5.47808529,6.473867895,16.18600251,74.47437591
1087.25119,44.61386225,21.56436693,15.96908303,10.44290521,15.81348379,10.04949454,11.72540205,0.576051528,1.113852913,13.65866036,17.26150408,5.508359265,6.467057465,16.16018286,74.45308795
1087.30877,44.54009147,21.72952076,16.17584354,10.45908289,15.91213006,10.09952597,11.70655491,0.580373328,1.111382057,13.69204218,17.26142574,5.539193412,6.460512768,16.13462344,74.42942391
1087.366349,44.46655895,21.89420656,16.38423114,10.47648702,16.01255106,10.15111368,11.68848156,0.584838529,1.108939243,13.72628459,17.26238921,5.570585845,6.454235106,16.10932775,74.40340576
1087.424465,44.39259633,22.05992416,16.59612084,10.49530208,16.11569853,10.20476303,11.67103315,0.589492655,1.106502292,13.76171442,17.26441925,5.602834616,6.448171092,16.08406748,74.37477996
1087.482581,44.3189024,22.22511089,16.80948914,10.51537681,16.22063694,10.26000391,11.65439061,0.594296818,1.104094263,13.79801263,17.26751296,5.635647784,6.442381772,16.05908294,74.34379917
1087.540697,44.24549004,22.38974009,17.02424398,10.53671599,16.32735685,10.31683897,11.63856328,0.599253087,1.101715341,13.83517492,17.2716715,5.669022924,6.436868484,16.03437763,74.31048424
1087.598812,44.17237196,22.55378552,17.24029196,10.55932411,16.43584825,10.3752706,11.62356079,0.604363583,1.099365715,13.87319688,17.27689604,5.702957438,6.431632564,16.00995501,74.27485551
1087.65766,44.09864636,22.71927427,17.46028006,10.58351412,16.54749928,10.43606662,11.60922016,0.609697777,1.097016568,13.91256875,17.28327372,5.737886188,6.426614741,15.98551655,74.23644097
1087.716507,44.02524835,22.88411144,17.6813981,10.60901363,16.66094403,10.49850351,11.59574617,0.615194651,1.094697867,13.95281266,17.29074676,5.773382559,6.421884066,15.96137496,74.1956944
1087.775354,43.95219075,23.04827099,17.90354636,10.63582637,16.77617008,10.56258257,11.58314983,0.620856576,1.092409827,13.99392374,17.2993163,5.809443277,6.417441924,15.93753372,74.15263539
1087.834201,43.87948622,23.21172733,18.12662453,10.66395578,16.8931643,10.62830473,11.5714425,0.626685979,1.090152667,14.03589697,17.30898349,5.846064865,6.413289695,15.91399626,74.10728303
